domain,level,name
gov.my,central,
johor.gov.my,central-1,Johor
kedah.gov.my,central-1,Kedah
kelantan.gov.my,central-1,Kelantan
melaka.gov.my,central-1,Malacca
ns.gov.my,central-1,Negeri Sembilan
pahang.gov.my,central-1,Pahang
penang.gov.my,central-1,Penang
perak.gov.my,central-1,Perak
perlis.gov.my,central-1,Perlis
sabah.gov.my,central-1,Sabah
sarawak.gov.my,central-1,Sarawak
selangor.gov.my,central-1,Selangor
terengganu.gov.my,central-1,Terengganu
