hostname,score,sources,label,level
cssst.gouv.qc.ca,5,wikidata,Centre de services scolaire de Sorel-Tracy,
csstl.gouv.qc.ca,5,wikidata,Centre de services scolaire des Trois-Lacs,
cssvdc.gouv.qc.ca,5,wikidata,Centre de services scolaire du Val-des-Cerfs,
data.geology.gov.yk.ca,5,wikidata,Yukon Geological Survey,
ecoledespompiers.gouv.qc.ca,5,wikidata,Q16507824,
education.gov.yk.ca,5,wikidata,Yukon Department of Education,
env.gov.nl.ca,5,wikidata,Department of Environment and Conservation,
gouv.qc.ca,5,linkgraph,Linked from 3 public-sector domains,
gov.nt.ca,5,wikidata,Northwest Territories Department of Environment and Climate Change,
hss.gov.yk.ca,5,wikidata,Yukon Health and Social Services,
iti.gov.nt.ca,5,wikidata,"Industry, Tourism and Investment",
nr.gov.nl.ca,5,wikidata,Geological Survey of Newfoundland and Labrador,
nwtpls.gov.nt.ca,5,wikidata,Northwest Territories Public Library Services,
ofrb.gov.on.ca,5,wikidata,Ontario Film Review Board,
rnc.gov.nl.ca,5,wikidata,Royal Newfoundland Constabulary,
taq.gouv.qc.ca,5,wikidata,Tribunal administratif du Québec,
tmf.gouv.qc.ca,5,wikidata,Q86664095,
web.cssdn.gouv.qc.ca,5,wikidata,Centre de services scolaire des Navigateurs,
adsb.on.ca,4,wikidata,Algoma District School Board,
advancededucation.alberta.ca,4,wikidata,Alberta Advanced Education and Technology,
aer.ca,4,wikidata,Alberta Energy Regulator,
ags.aer.ca,4,wikidata,Alberta Geological Survey,
aibc.ca,4,wikidata,Architectural Institute of British Columbia,
albertainnovates.ca,4,wikidata,Alberta Innovates,
albertaparks.ca,4,wikidata,Alberta Parks,
alcdsb.on.ca,4,wikidata,Algonquin and Lakeshore Catholic District School Board,
ambamali.ca,4,wikidata,embassy of Mali in Canada,central
ambardcongocanada.ca,4,wikidata,"Embassy of Democratic Republic of the Congo, Ottawa",central
ambasadabih.ca,4,wikidata,embassy of Bosnia and Herzegovina in Canada,central
ambassade-haiti.ca,4,wikidata,Embassy of Haiti in Canada,central
ambassadegabon.ca,4,wikidata,embassy of Gabon in Canada,central
ambe.ca,4,wikidata,Ahkwesahsne Mohawk Board of Education,
amdsb.ca,4,wikidata,Avon Maitland District School Board,
amherstburg.ca,4,wikidata,Amherstburg Police Service,
amii.ca,4,wikidata,Alberta Machine Intelligence Institute,
arts.on.ca,4,wikidata,Ontario Arts Council,
artscouncil.mb.ca,4,wikidata,Manitoba Arts Council,
artsnb.ca,4,wikidata,New Brunswick Arts Board,
artsns.ca,4,wikidata,Arts Nova Scotia,
autorites-valeurs-mobilieres.ca,4,wikidata,Canadian Securities Administrators,
bahighco.ca,4,wikidata,high commission of the Bahamas in Canada,central
bankofcanada.ca,4,wikidata,Bank of Canada,
banqueducanada.ca,4,wikidata,Bank of Canada,
bccancer.bc.ca,4,wikidata,BC Cancer Agency,
bcic.ca,4,wikidata,Innovate BC,
bcparks.ca,4,wikidata,BC Parks,
bcrenal.ca,4,wikidata,BC Renal,
bctreaty.ca,4,wikidata,British Columbia Treaty Commission,
bcwildfire.ca,4,wikidata,BC Wildfire Service,
bdhcottawa.ca,4,wikidata,"High Commission of Bangladesh, Ottawa",central
bhncdsb.ca,4,wikidata,Brant Haldimand Norfolk Catholic District School Board,
bolivianembassy.ca,4,wikidata,Embassy of Bolivia in Canada,central
bwdsb.on.ca,4,wikidata,Bluewater District School Board,
cadth.ca,4,wikidata,Canada's Drug Agency,central
calgary.ca,4,wikidata,Calgary Fire Department,
calgarypolice.ca,4,wikidata,Calgary Police Service,
campussafety.utoronto.ca,4,wikidata,University of Toronto Campus Safety,
cancercare.on.ca,4,wikidata,Cancer Care Ontario,
capcinfo.ca,4,wikidata,Canadian Automotive Partnership Council,
capo.ca,4,wikidata,Canadian Association of Psychosocial Oncology,
cbe.ab.ca,4,wikidata,Calgary Board of Education,
cch.novascotia.ca,4,wikidata,"Department of Communities, Culture and Heritage",
cchst.ca,4,wikidata,Canadian Centre for Occupational Health and Safety,
cciquebec.ca,4,wikidata,Chambre de commerce et d'industrie de Québec,
ccohs.ca,4,wikidata,Canadian Centre for Occupational Health and Safety,
ccsa.ca,4,wikidata,Canadian Centre on Substance Abuse,
cdic.ca,4,wikidata,Canada Deposit Insurance Corporation,
cdsbeo.on.ca,4,wikidata,Catholic District School Board of Eastern Ontario,
cecm.qc.ca,4,wikidata,Montreal Catholic School Commission,
cefsk.ca,4,wikidata,Conseil des écoles fransaskoises,
centrenord.ab.ca,4,wikidata,Greater North Central Francophone Education Region No. 2,
cepeo.on.ca,4,wikidata,Conseil des écoles publiques de l'Est de l'Ontario,
cesd73.ca,4,wikidata,Chinook's Edge School Division,
