hostname,score,sources,label,level
gnb.ca,10,wikidata;wikidata;wikidata;wikidata;linkgraph;directory,Court of King's Bench of New Brunswick | Government of New Brunswick | Department of Education and Early Childhood Development,central-1
gov.mb.ca,10,wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;linkgraph,"Minister of Labour and Immigration | Legislative Assembly of Manitoba | Manitoba Agriculture, Food and Rural Initiatives | Manitoba Health | Department of Infrastructure",central-1
ontario.ca,10,wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;linkgraph,"Ministry of Education | Ministry of Colleges and Universities | Ministry of Transportation | Ontario Ministry of Natural Resources and Forestry | Office of the Chief Coroner for Ontario | Government of Ontario | Ministry of Economic Development, Trade and Employment | Ministry of the Environment, Conservation and Parks",central-1
quebec.ca,10,wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;linkgraph,"Correctional Service of Quebec | Q136231595 | Services Québec | Q110616906 | Q138574035 | Ministry of Immigration, Francisation and Integration",central-1
saskatchewan.ca,10,wikidata;wikidata;wikidata;linkgraph,Ministry of Health | Ministry of Agriculture of Saskatchewan,central-1
yukon.ca,10,wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;linkgraph,Yukon Archives | Government of Yukon | Yukon Parks | Yukon Department of Environment | Yukon Department of Tourism and Culture,central-1
education.gouv.qc.ca,8,wikidata;wikidata,Ministry of Education and Higher Education | Ministry of Higher Education,central-1
environnement.gouv.qc.ca,8,wikidata;wikidata,Ministry of Environment and Fight Against Climate Change,central-1
gov.nu.ca,8,wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata,Corrections Directorate | Department of Justice | Nunavut Liquor Commission | Government of Nunavut,central-1
mce.gouv.qc.ca,8,wikidata;wikidata,Q3315432,central-1
omafra.gov.on.ca,8,wikidata;wikidata,"Agricultural Research Institute of Ontario | Ministry of Agriculture, Food and Rural Affairs",central-1
premier.gouv.qc.ca,8,wikidata;wikidata;wikidata;wikidata,Executive Council of Quebec,central-1
www2.gov.bc.ca,8,wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata,"Provincial Emergency Program | Ministry of Agriculture | Ministry of Public Safety and Solicitor General | Ministry of Technology, Innovation & Citizens' Services | B.C. Conservation Data Centre | Ministry of Education | Ministry of Jobs, Tourism and Skills Training | British Columbia Ministry of Transportation and Infrastructure",central-1
albertacourts.ca,7,wikidata;wikidata,Court of King's Bench of Alberta | Court of Appeal of Alberta,central-1
assembly.ab.ca,7,wikidata;wikidata;wikidata,Legislative Assembly of Alberta,central-1
assembly.nl.ca,7,wikidata;wikidata;wikidata,Newfoundland and Labrador House of Assembly,central-1
assembly.nu.ca,7,wikidata;wikidata;wikidata;wikidata,6th Nunavut Legislature | Legislative Assembly of Nunavut,central-1
assembly.pe.ca,7,wikidata;wikidata;wikidata,Legislative Assembly of Prince Edward Island,central-1
assnat.qc.ca,7,wikidata;wikidata;wikidata;wikidata;wikidata;wikidata,National Assembly of Quebec,central-1
