hostname,score,sources,label,level,http_status,mx
travail.gouv.qc.ca,8,wikidata;wikidata,Ministry of Labour,central-1,,
www2.gov.bc.ca,8,wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata,"Provincial Emergency Program | Ministry of Agriculture | Ministry of Public Safety and Solicitor General | Ministry of Technology, Innovation & Citizens' Services | B.C. Conservation Data Centre | Ministry of Education | Ministry of Jobs, Tourism and Skills Training | British Columbia Ministry of Transportation and Infrastructure",central-1,,
yow.ca,8,wikidata;directory,Ottawa Macdonald-Cartier International Airport,,,
yqr.ca,8,wikidata;directory,Regina Airport Authority,,,
affta.ab.ca,7,wikidata;wikidata,Alberta Foundation for the Arts,,,
albertacourts.ca,7,wikidata;wikidata,Court of King's Bench of Alberta | Court of Appeal of Alberta,central-1,,
assembly.ab.ca,7,wikidata;wikidata;wikidata,Legislative Assembly of Alberta,central-1,,
assembly.nl.ca,7,wikidata;wikidata;wikidata,Newfoundland and Labrador House of Assembly,central-1,,
assembly.nu.ca,7,wikidata;wikidata;wikidata;wikidata,6th Nunavut Legislature | Legislative Assembly of Nunavut,central-1,,
assembly.pe.ca,7,wikidata;wikidata;wikidata,Legislative Assembly of Prince Edward Island,central-1,,
assnat.qc.ca,7,wikidata;wikidata;wikidata;wikidata;wikidata;wikidata,National Assembly of Quebec,central-1,,
banq.qc.ca,7,wikidata;wikidata;wikidata,Bibliothèque et Archives nationales du Québec | BAnQ Québec,central-1,,
ccog-cocg.ca,7,wikidata;wikidata,Canadian Council on Geomatics,,,
cdpdj.qc.ca,7,wikidata;wikidata,Commission des droits de la personne et des droits de la jeunesse,central-1,,
court.nl.ca,7,wikidata;wikidata;wikidata,Supreme Court of Newfoundland and Labrador | Provincial Court of Newfoundland and Labrador | Court of Appeal of Newfoundland and Labrador,central-1,,
cpr.ca,7,wikidata;wikidata,Canadian Pacific Railway Police Service,,,
cqsb.qc.ca,7,wikidata;wikidata,Central Quebec School Board,central-1,,
crrf-fcrr.ca,7,wikidata;wikidata,Canadian Race Relations Foundation,,,
csdla.qc.ca,7,wikidata;wikidata,Centre de services scolaire du Lac-Abitibi | Q52149481,,,
cslt.qc.ca,7,wikidata;wikidata,Q52149637 | Centre de services scolaire du Lac-Témiscamingue,,,
csvt.qc.ca,7,wikidata;wikidata,Commission scolaire de la Vallée-des-Tisserands | Centre de services scolaire de la Vallée-des-Tisserands,,,
flysudbury.ca,7,wikidata;wikidata,Sudbury Airport,,,
greatlakes-seaway.com,7,wikidata;directory,St. Lawrence Seaway Management Corporation,,,
hamilton.ca,7,wikidata;wikidata,Hamilton Fire Department | Hamilton Street Railway,,,
health.alberta.ca,7,wikidata;wikidata,Alberta Health,central-1,,
iae.alberta.ca,7,wikidata;wikidata,Ministry of Advanced Education,,,
jesuites.ca,7,wikidata;wikidata,Canada Province of the Society of Jesus,,,
jesuits.ca,7,wikidata;wikidata,Canada Province of the Society of Jesus,,,
leduc.ca,7,wikidata;wikidata,Leduc,,,
leg.bc.ca,7,wikidata;wikidata;wikidata,Legislative Assembly of British Columbia,central-1,,
legassembly.sk.ca,7,wikidata;wikidata;wikidata;wikidata;wikidata;wikidata,Legislative Assembly of Saskatchewan,central-1,,
legnb.ca,7,wikidata;wikidata;wikidata,Legislative Assembly of New Brunswick,central-1,,
montreal.ca,7,wikidata;wikidata;wikidata,Saint-Leonard borough council | Accès culture,central-1,,
nfsb.qc.ca,7,wikidata;wikidata,New Frontiers School Board,,,
nslegislature.ca,7,wikidata;wikidata;wikidata;wikidata;wikidata;wikidata,Nova Scotia House of Assembly,central-1,,
ntassembly.ca,7,wikidata;wikidata;wikidata,Legislative Assembly of the Northwest Territories,central-1,,
nunavutcourts.ca,7,wikidata;wikidata,Nunavut Court of Justice | Nunavut Court of Appeal,central-1,,
parl.ca,7,wikidata;wikidata,Parliament of Canada,central,,
port-montreal.com,7,wikidata;directory,Montreal Port Authority,,,
portstoronto.com,7,wikidata;directory,PortsToronto,,,
princeedwardisland.ca,7,wikidata;wikidata,Government of Prince Edward Island,central-1,,
reginahousing.ca,7,wikidata;wikidata,Regina Housing Authority,,,
revenuquebec.ca,7,wikidata;wikidata,Revenu Québec,central-1,,
rsb.qc.ca,7,wikidata;wikidata,Riverside School Board,,,
sasklawcourts.ca,7,wikidata;wikidata;wikidata,Provincial Court of Saskatchewan | Court of Appeal for Saskatchewan | Court of King's Bench for Saskatchewan,central-1,,
scc-csc.ca,7,directory,Registrar of the Supreme Court of Canada,,,
stl.laval.qc.ca,7,wikidata;wikidata,Société de transport de Laval,,,
studentlife.utoronto.ca,7,wikidata;wikidata,University of Toronto Division of Student Life,,,
swlauriersb.qc.ca,7,wikidata;wikidata,Sir Wilfrid Laurier School Board,,,
thunderbay.ca,7,wikidata;wikidata,Thunder Bay Police Service | Thunder Bay Fire Rescue,,,
torontohousing.ca,7,wikidata;wikidata,Toronto Community Housing,,,
torontopearson.com,7,wikidata;directory,Toronto Pearson Fire and Emergency Services,,,
tribunaux.qc.ca,7,wikidata;wikidata,Superior Court of Quebec | Court of Quebec,central-1,,
vancouver.ca,7,wikidata;wikidata,Vancouver Police Department | Vancouver Fire and Rescue Services,,,
ville.quebec.qc.ca,7,wikidata;wikidata,Service de protection contre l'incendie de la Ville de Québec | Service de police de la Ville de Québec,,,
westernquebec.ca,7,wikidata;wikidata,Western Québec School Board,,,
wsib.ca,7,wikidata;wikidata,Workplace Safety and Insurance Board,,,
www1.toronto.ca,7,wikidata;wikidata,Toronto Public Health | Toronto Fire Services,,,
www2.gnb.ca,7,wikidata;wikidata,"Department of Agriculture, Aquaculture and Fisheries",central-1,,
