field,text
country_name,"Republic of Nauru"
government_type,"parliamentary republic"
capital,"no official capital; government offices in the Yaren District"
chief_of_state,"President David ADEANG (since 30 October 2023)"
head_of_government,"President David ADEANG (since 30 October 2023)"
judicial_highest_courts,"Supreme Court (consists of the chief justice and several justices)"
constitution_history,"effective 29 January 1968"
