qid,label
Q1061368,Oruro Department
Q233169,Beni Department
Q233917,Cochabamba Department
Q233933,Tarija Department
Q235106,Santa Cruz Department
Q235110,Chuquisaca Department
Q235362,Pando Department
Q238079,Potosí Department
Q272784,La Paz Department
