qid,label
Q15529552,Ranilug Municipality
Q16036965,Lipjan Municipality
Q2043104,Istog Municipality
Q2043130,Kaçanik Municipality
Q2043136,Kamenica Municipality
Q2043155,Štrpce Municipality
Q2048354,Leposavić Municipality
Q2048755,Ferizaj Municipality
Q2347012,Elez Han Municipality
Q2447449,Fushë Kosovë Municipality
Q2500688,Zubin Potok Municipality
Q2507200,Prizren Municipality
Q2507287,Peja Municipality
Q2513453,Gjilan Municipality
Q3191420,Dragash Municipality
Q3625575,Prishtina Municipality
Q3655958,Gračanica Municipality
Q3656386,Gjakova Municipality
Q3657833,Vushtrri Municipality
Q4329229,Obiliq Municipality
Q794039,Rahovec Municipality
Q794044,Suhareka Municipality
Q794063,Malishevë Municipality
Q794068,Junik Municipality
Q794116,Mamusha Municipality
Q860148,Deçan Municipality
Q860157,Klina Municipality
Q860303,Viti Municipality
Q860365,Drenas Municipality
Q860399,Podujeva Municipality
