hostname,score,sources,label,level
mfa.somaligov.net,6,wikidata;wikidata,Ministry of Foreign Affairs and International Cooperation of the Federal Republic of Somalia,central
dns.org.so,4,wikidata,Directorate of National Statistics,central
mofaic.gov.ae,4,wikidata,"Embassy of the United Arab Emirates, Mogadishu",central
pha.pl.so,4,wikidata,Puntland Highway Authority,
pmpf.so,4,wikidata,Puntland Maritime Police Force,
so.usembassy.gov,4,wikidata,"Embassy of the United States, Mogadishu",central
eeas.europa.eu,3,wikidata,Delegation of the European Union to Somalia,
mict.govsomaliland.org,3,wikidata,Ministry of Information and Communication Technology,
moesomalia.net,1,wikidata;wikidata;wikidata;wikidata,"Ministry of Education, Culture and Higher Education | Ministry of Education (Somalia)",central
