field,text
country_name,"Republic of Burundi"
government_type,"presidential republic"
capital,"Gitega (political capital), Bujumbura (commercial capital)"
chief_of_state,"President Evariste NDAYISHIMIYE (since 18 June 2020)"
head_of_government,"Prime Minister Nestor NTAHONTUYE (since 5 August 2025)                "
judicial_highest_courts,"Supreme Court (consists of 9 judges and organized into judicial, administrative, and cassation chambers); Constitutional Court (consists of 7 members)"
constitution_history,"several previous, ratified by referendum 28 February 2005"
