hostname,score,sources,label,level
cbs.sc,7,wikidata;wikidata,Central Bank of Seychelles,central
esa.egov.sc,7,wikidata;wikidata,Ministry of Industry and Enterprise,central
nationalassembly.sc,7,wikidata;wikidata;wikidata;wikidata,National Assembly of Seychelles | National Assembly,central
sfa.sc,7,wikidata;wikidata,Seychelles Fisheries Authority,central
egov.sc,6,un_desa,UN/DESA national portal,
judiciary.sc,6,wikidata,Supreme Court of Seychelles,central
seychellescultureinstitute.org,6,wikidata;wikidata,"Culture, Art and National Heritage Department | Seychelles National Institute of Culture, Heritage & the Arts",central
ago.sc,4,wikidata,Department of Legal Affairs,central
curatelleoffice.sc,4,wikidata,Curatelle Office,central
drdm.sc,4,wikidata,Department of Risk and Disaster Management,central
ecs.sc,4,wikidata,Electoral Commission of Seychelles,central
infocom.sc,4,wikidata,Information Commission,central
meteo.sc,4,wikidata,Seychelles Meteorological Authority,central
mofaic.gov.ae,4,wikidata,"Embassy of the United Arab Emirates, Victoria",central
nacseychelles.sc,4,wikidata,National Arts and Crafts Council,central
national-library.edu.sc,4,wikidata,National Library of the Seychelles,
nsc.sc,4,wikidata,National Sports Council,central
ntb.sc,4,wikidata,National Tender Board,central
pemc.sc,4,wikidata,Public Enterprise Monitoring Commission,central
saa.sc,4,wikidata,Seychelles Airports Authority,central
sbs.sc,4,wikidata,Seychelles Bureau of Standards,central
sc.usembassy.gov,4,wikidata,"Embassy of the United States, Victoria",central
scaa.sc,4,wikidata,Seychelles Civil Aviation Authority,central
scra.sc,4,wikidata,Seychelles Communications Regulatory Authority,central
sdf.sc,4,wikidata,Department of Defense,central
seyport.sc,4,wikidata,Seychelles Port Authority,central
shf.sc,4,wikidata,Seychelles National Heritage Research Council,central
slta.sc,4,wikidata,Seychelles Land Transport Agency,central
smsa.sc,4,wikidata,Seychelles Maritime Safety Authority,central
snyc.sc,4,wikidata,Seychelles National Youth Council,central
spa.sc,4,wikidata,Seychelles Port Authority,central
sptc.sc,4,wikidata,Seychelles Public Transport Corporation,central
sqa.sc,4,wikidata,Seychelles Qualifications Authority,central
urc.sc,4,wikidata,Utilities Regulatory Commission,central
investinseychelles.com,3,wikidata,Seychelles Investment Board,central
mayorsofficeseychelles.com,3,wikidata,Office of the Mayor of Victoria,central
misiones.cubaminrex.cu,3,wikidata,embassy of Cuba in Seychelles,central
sc.ambafrance.org,3,wikidata,"Embassy of France, Victoria",central
sc.china-embassy.org,3,wikidata,"Embassy of the People's Republic of China, Victoria",central
seychelles.mid.ru,3,wikidata,embassy of Russia in Seychelles,central
seychellesnewsagency.com,3,wikidata,Seychelles News Agency,
seychellespostalregulator.com,3,wikidata,Postal Regulatory Secretariat,central
