subdomain,parent_domain,http_status
mail.meteo.gov.sc,gov.sc,Could not resolve host: mail.meteo.gov.sc
mail.nihss.gov.sc,gov.sc,301
mail.polls.src.gov.sc,gov.sc,Could not resolve host: mail.polls.src.gov.sc
mail.publicsale.src.gov.sc,gov.sc,Could not resolve host: mail.publicsale.src.gov.sc
mail.siah.gov.sc,gov.sc,Could not resolve host: mail.siah.gov.sc
mail.snpa.gov.sc,gov.sc,Could not resolve host: mail.snpa.gov.sc
mail.spga.gov.sc,gov.sc,301
mail.srcaeoiuat.src.gov.sc,gov.sc,SSL: no alternative certificate subject name matches target hostname 'mail.srcaeoiuat.src.gov.sc'
mail.stagingauction.src.gov.sc,gov.sc,Could not resolve host: mail.stagingauction.src.gov.sc
mail.stagingpublicsale.src.gov.sc,gov.sc,Could not resolve host: mail.stagingpublicsale.src.gov.sc
mail.teacherscouncil.gov.sc,gov.sc,Could not resolve host: mail.teacherscouncil.gov.sc
mail.ysd.gov.sc,gov.sc,Could not resolve host: mail.ysd.gov.sc
marketsurveillance.gov.sc,gov.sc,Operation timed out after 3001 milliseconds with 0 bytes received
meteo.gov.sc,gov.sc,301
mfa.gov.sc,gov.sc,200
mhat.gov.sc,gov.sc,SSL: no alternative certificate subject name matches target hostname 'mhat.gov.sc'
mhsca.gov.sc,gov.sc,200
mia.gov.sc,gov.sc,TLS connect error: error:0A000438:SSL routines::tlsv1 alert internal error
miei.gov.sc,gov.sc,Could not resolve host: miei.gov.sc
mlh.gov.sc,gov.sc,404
mofa.gov.sc,gov.sc,200
mofbe.gov.sc,gov.sc,200
monservis.gov.sc,gov.sc,Resolving timed out after 3000 milliseconds
nba.gov.sc,gov.sc,404
nbgf.gov.sc,gov.sc,200
nbs.gov.sc,gov.sc,301
ncc.gov.sc,gov.sc,Operation timed out after 3001 milliseconds with 0 bytes received
nihss.gov.sc,gov.sc,301
niscc.gov.sc,gov.sc,Could not resolve host: niscc.gov.sc
permits.ics.gov.sc,gov.sc,301
poec.gov.sc,gov.sc,Could not resolve host: poec.gov.sc
police.gov.sc,gov.sc,200
polls.src.gov.sc,gov.sc,Could not resolve host: polls.src.gov.sc
portal.mfa.gov.sc,gov.sc,200
portal.mfa.gov.sc.csinnovative.com,gov.sc,200
pou.gov.sc,gov.sc,404
preview-sign.seyid.gov.sc,gov.sc,302
pridistrikkiltirel.gov.sc,gov.sc,SSL: no alternative certificate subject name matches target hostname 'pridistrikkiltirel.gov.sc'
prisonservice.gov.sc,gov.sc,404
psab.gov.sc,gov.sc,403
psb.gov.sc,gov.sc,301
publicsale.src.gov.sc,gov.sc,Could not resolve host: publicsale.src.gov.sc
publicsale1.auction.src.gov.sc,gov.sc,Could not resolve host: publicsale1.auction.src.gov.sc
qa.permits.ics.gov.sc,gov.sc,301
qa.vwayaz.ics.gov.sc,gov.sc,Operation timed out after 3001 milliseconds with 0 bytes received
qld-counselling.gov.sc,gov.sc,200
rcoc.gov.sc,gov.sc,Could not resolve host: rcoc.gov.sc
registrationdivision.gov.sc,gov.sc,200
registry.gov.sc,gov.sc,403
saa.gov.sc,gov.sc,Connection timed out after 3000 milliseconds
sals.edu.gov.sc,gov.sc,Could not resolve host: sals.edu.gov.sc
sbfa.gov.sc,gov.sc,404
scrpc.gov.sc,gov.sc,Could not resolve host: scrpc.gov.sc
scts.gov.sc,gov.sc,Connection timed out after 3001 milliseconds
sebs.ics.gov.sc,gov.sc,Could not resolve host: sebs.ics.gov.sc
seyblueeconomy.gov.sc,gov.sc,Connection timed out after 3001 milliseconds
seychellesmade.gov.sc,gov.sc,Operation timed out after 3000 milliseconds with 0 bytes received
seychellespost.gov.sc,gov.sc,Could not resolve host: seychellespost.gov.sc
seygovpowerbi.gov.sc,gov.sc,404
seyid.gov.sc,gov.sc,200
