hostname,indegree,indegree_tech
portal.gov.cz,9,0
mpsv.cz,7,0
vlada.gov.cz,6,0
justice.cz,4,0
mdcr.cz,4,0
mfcr.cz,4,0
mmr.gov.cz,4,0
mzcr.cz,4,0
msmt.gov.cz,3,0
mzd.gov.cz,3,0
sbirkapp.gov.cz,3,0
smlouvy.gov.cz,3,0
uzemniplanovani.gov.cz,3,0
aopk.gov.cz,2,0
cenia.gov.cz,2,0
cizp.gov.cz,2,0
data.gov.cz,2,0
dluhopisy.gov.cz,2,0
frs.gov.cz,2,0
hzscr.gov.cz,2,0
mf.gov.cz,2,0
mk.gov.cz,2,0
mmr.cz,2,0
mo.gov.cz,2,0
mpo.gov.cz,2,0
msmt.cz,2,0
policie.gov.cz,2,0
rzp.gov.cz,2,0
senat.cz,2,0
statnipokladna.gov.cz,2,0
suip.gov.cz,2,0
up.gov.cz,2,0
uradprace.cz,2,0
uzis.cz,2,0
72h.gov.cz,1,0
apiagentura.gov.cz,1,0
ares.gov.cz,1,0
cgs.gov.cz,1,0
chcidatovku.gov.cz,1,0
cmi.gov.cz,1,0
coi.gov.cz,1,0
cpi.gov.cz,1,0
cuzk.gov.cz,1,0
cuzzs.gov.cz,1,0
czechinvest.gov.cz,1,0
czechtrade.gov.cz,1,0
dfmv-p.gov.cz,1,0
dip.gov.cz,1,0
edu.gov.cz,1,0
fau.gov.cz,1,0
financnigramotnost.gov.cz,1,0
geoportal.gov.cz,1,0
gov.cz,1,0
grita.gov.cz,1,0
identita.gov.cz,1,0
mojedane.gov.cz,1,0
mpsv.gov.cz,1,0
msp.gov.cz,1,1
mze.gov.cz,1,0
mzp.cz,1,0
mzp.gov.cz,1,0
mzv.gov.cz,1,0
nli.gov.cz,1,0
nsoud.cz,1,0
nssoud.cz,1,0
ogibeta2.gov.cz,1,0
olomouc.eu,1,0
opendata.gov.cz,1,0
ostrava.cz,1,0
planobnovy.gov.cz,1,0
plzen.eu,1,0
plzensky-kraj.cz,1,0
punc.gov.cz,1,0
repr.gov.cz,1,0
sei.gov.cz,1,0
sfzp.gov.cz,1,0
spu.gov.cz,1,0
sukl.gov.cz,1,0
surao.gov.cz,1,0
szpi.gov.cz,1,0
ukzuz.gov.cz,1,0
unmz.gov.cz,1,0
usoud.cz,1,0
vlada.cz,1,0
voda.gov.cz,1,0
vuk.gov.cz,1,0
