qid,label
Q16575,Cerro Largo Department
Q16576,Paysandú Department
Q16577,Canelones Department
Q16578,Flores Department
Q16579,San José Department
Q16580,Colonia Department
Q16582,Rocha Department
Q16584,Soriano Department
Q16587,Tacuarembó Department
Q16591,Durazno Department
Q16593,Florida Department
Q16594,Montevideo Department
Q16595,Salto Department
Q16596,Río Negro Department
Q16603,Artigas Department
Q16609,Rivera Department
Q16610,Treinta y Tres Department
Q331196,Maldonado Department
Q460435,Lavalleja Department
