subdomain,mx
credentials.ncfhe.gov.mt,none
credentials.notariesregister.gov.mt,none
crl.qca.gov.mt,none
crl1.csca.gov.mt,none
crl2.csca.gov.mt,none
crossborderehealth.gov.mt,none
crossborderehealth.ppt.gov.mt,none
crossborderhealthcaremaltabeta.gov.mt,none
crt.qca.gov.mt,none
css.intra.gov.mt,none
ctms.gov.mt,none
ctmstest.gov.mt,none
culturalheritagegozo.gov.mt,none
culturalheritagegozobeta.gov.mt,none
culturebeta.gov.mt,none
curriculum.gov.mt,none
curriculumbeta.gov.mt,none
customs.gov.mt,none
customsadfs.gov.mt,none
cva.gov.mt,none
cybersecurity.gov.mt,5 alt1.aspmx.l.google.com.; 1 aspmx.l.google.com.; 10 alt4.aspmx.l.google.com.; 10 alt3.aspmx.l.google.com.; 5 alt2.aspmx.l.google.com.
dakar.mfh.gov.mt,none
data.gov.mt,none
datainfo.gov.mt,none
datainfobeta.gov.mt,none
dbadapter.s1.cloud.gov.mt,none
de.eidasmw.gov.mt,none
de.stgeidasmw.gov.mt,none
dementia.gov.mt,none
departmentofjusticebeta.gov.mt,none
dev.customs.gov.mt,none
dev.cva.gov.mt,none
dier.gov.mt,none
dierbeta.gov.mt,none
digicertguesttes1.gov.mt,none
digicerttest08032023.gov.mt,none
digicerttest11.gov.mt,none
digicerttest18112022.gov.mt,none
digicerttest2.gov.mt,none
digicerttest3.gov.mt,none
digicerttest5multidomain.gov.mt,none
digicerttest6wildcard.gov.mt,none
digicerttest7.gov.mt,none
digicerttest9winsha12048.gov.mt,none
digicourts.gov.mt,none
digitalhealth.gov.mt,none
digitalhealtheid.gov.mt,none
digitaljustice.gov.mt,none
digitaljusticebeta.gov.mt,none
digitalmalta.gov.mt,none
dinglibeta.gov.mt,none
dinglilc.gov.mt,none
dipartimenttalgustizzjabeta.gov.mt,none
diplomaticpassport.identita.gov.mt,none
djalogusocjalibeta.gov.mt,none
dms.fms.gov.mt,none
domain1.gov.mt,none
domain2.gov.mt,none
domain3.gov.mt,none
domain4.gov.mt,none
domain5.gov.mt,none
domibus-blue.staging.sdg.gov.mt,none
domibus-red.staging.sdg.gov.mt,none
domibus.staging.sdg.gov.mt,none
dvisa.identita.gov.mt,none
ebuild.bicc.gov.mt,none
ecards.gov.mt,none
ecobuild.gov.mt,none
ecobuildbeta.gov.mt,none
ecodex.gov.mt,none
economicpolicy.gov.mt,none
economicpolicybeta.gov.mt,none
economybeta.gov.mt,none
edev.mita.gov.mt,none
edg02-lk-vm.gov.mt,none
education.gov.mt,none
educationbeta.gov.mt,none
eeanorwaygrants.gov.mt,none
eeart-api.gov.mt,none
eeart.gov.mt,none
eessi-acc.gov.mt,none
eessi.gov.mt,none
eevidence.gov.mt,none
eff.mrra.gov.mt,none
eflmalta.gov.mt,none
eforms-bk.identita.gov.mt,none
eforms.gov.mt,none
eforms.service.gov.mt,none
eformsopm.gov.mt,none
egis.transport.gov.mt,none
ehealth.gov.mt,none
eid-aloahaeforms.gov.mt,none
eid-les.gov.mt,none
eid-singlepermit.gov.mt,none
eid-sso.accountancyboard.gov.mt,none
eid-sso.data.gov.mt,none
eid-sso.diplomaticpassport.gov.mt,none
eid-sso.eessi.gov.mt,none
eid-sso.eforms.gov.mt,none
eid-sso.eid.gov.mt,none
eid-sso.electoral.gov.mt,none
eid-sso.ereg.gov.mt,none
eid-sso.familybusiness.gov.mt,none
eid-sso.familybusinessportal.gov.mt,none
eid-sso.freechildcare.gov.mt,none
eid-sso.freedomofinformation.gov.mt,none
eid-sso.gozochanneleticketing.gov.mt,none
eid-sso.gwardjani.gov.mt,none
eid-sso.hcstandardsregistration.gov.mt,none
eid-sso.identitymaltaeforms.gov.mt,none
eid-sso.inidismalta.gov.mt,none
eid-sso.jobsplus.gov.mt,none
eid-sso.licenzji-xufiera.gov.mt,none
eid-sso.lifelonglearningcourses.gov.mt,none
eid-sso.maltacrafts.gov.mt,none
eid-sso.mcastapiclasster.gov.mt,none
eid-sso.medicalcouncil.gov.mt,none
eid-sso.medicalsac.gov.mt,none
eid-sso.mgozservices.gov.mt,none
eid-sso.mis.edu.gov.mt,none
eid-sso.myscholarship-apply.gov.mt,none
eid-sso.notarialacts.gov.mt,none
eid-sso.nursesandmidwivesregistration.gov.mt,none
eid-sso.organdonation.gov.mt,none
eid-sso.pharmacycouncilregistration.gov.mt,none
eid-sso.poyc.hss.gov.mt,none
eid-sso.prolineidentitymalta.gov.mt,none
eid-sso.rentregistration.gov.mt,none
eid-sso.schoolbusnet.gov.mt,none
eid-sso.srs.gov.mt,none
eid-sso.vetpress.gov.mt,none
eid-sso.wbrugrs.gov.mt,none
eid.gov.mt,none
eidas.kondotti.gov.mt,none
eidwsrv.gov.mt,none
eltcouncil.gov.mt,none
emd2013.gov.mt,none
emn.gov.mt,none
emnbeta.gov.mt,none
employeecontractsbeta.gov.mt,none
energyandprojects.gov.mt,none
energywateragency.gov.mt,none
enterpriseregistration.communityservicesfs-dev.aacc.gov.mt,none
enterpriseregistration.communityservicesfs-test.aacc.gov.mt,none
enterpriseregistration.communityservicesfs.aacc.gov.mt,none
enterpriseregistration.inline-test.gov.mt,none
enterpriseregistration.inlinefs.gov.mt,none
epatientrecords-phc.gov.mt,none
epatientrecords-phcportal.gov.mt,none
epatientrecords-phctest.gov.mt,none
ereg.gov.mt,none
erihs.gov.mt,none
erihsbeta.gov.mt,none
erlbeta.gov.mt,none
etenders.gov.mt,none
eu2017.medicinesauthority.gov.mt,none
euforum.gov.mt,none
eufundsbeta.gov.mt,none
eufundsmalta.gov.mt,none
eurdms.gov.mt,none
euroguidance.gov.mt,none
eventhub.s4.cloud.gov.mt,dig error
eventhub.s5.cloud.gov.mt,none
ewa.aquadot.gov.mt,none
exams.gov.mt,none
export.ces.gov.mt,none
familjabeta.gov.mt,none
familybeta.gov.mt,none
fes.gov.mt,none
fesbeta.gov.mt,none
fgurabeta.gov.mt,none
fguralc.gov.mt,none
filter.gov.mt,none
financebeta.gov.mt,none
financetest.gov.mt,none
financialcapability.gov.mt,none
fisheries.gov.mt,none
fitabeta.gov.mt,none
fleetweb.gov.mt,none
florianabeta.gov.mt,none
florianalc.gov.mt,none
fmsbeta.gov.mt,none
foibeta.gov.mt,none
fontanabeta.gov.mt,none
fontanalc.gov.mt,none
forms.transport.gov.mt,none
fpmaltabeta.gov.mt,none
fs.mita.gov.mt,none
fss-oos.gov.mt,none
fsws.gov.mt,none
fswscrm.gov.mt,none
ftp.appservice.s1.cloud.gov.mt,none
ftp.appservice.s2.cloud.gov.mt,none
ftp.appservice.s3.cloud.gov.mt,none
ftp.appservice.s5.cloud.gov.mt,none
funding360.gov.mt,none
gemma.gov.mt,none
geoservices.transport.gov.mt,none
ggpbeta.gov.mt,none
ghajn.gov.mt,none
ghajnsielembeta.gov.mt,none
ghajnsielemlc.gov.mt,none
gharbbeta.gov.mt,none
gharblc.gov.mt,none
gharghurlc.gov.mt,none
ghargurbeta.gov.mt,none
ghasribeta.gov.mt,none
ghasrilc.gov.mt,none
ghaxaqbeta.gov.mt,none
ghaxaqlc.gov.mt,none
ghrc.gov.mt,none
go-mdhwifi.gov.mt,none
godata.cloud.gov.mt,none
godata.gov.mt,none
gov.mt,none
gozoalbum.gov.mt,none
gozobeta.gov.mt,none
gpp.gov.mt,none
gprsfisheries.gov.mt,none
gsmtp1-lk-vm.serversdns.gov.mt,none
gsmtp1.serversdns.gov.mt,none
gsmtp2-lk-vm.serversdns.gov.mt,none
gsmtp2.serversdns.gov.mt,none
gsmtp3-lk-vm.serversdns.gov.mt,none
gsmtp3.serversdns.gov.mt,none
gsmtp4-lk-vm.serversdns.gov.mt,none
gsmtp4.serversdns.gov.mt,none
gsmtp5-lk-vm.serversdns.gov.mt,none
gsmtp5.serversdns.gov.mt,none
gsmtp6-lk-vm.serversdns.gov.mt,none
gsmtp6.serversdns.gov.mt,none
gsmtp7.serversdns.gov.mt,none
guardianship.gov.mt,none
guardianshipbeta.gov.mt,none
gudjabeta.gov.mt,none
gudjalc.gov.mt,none
gustizzja.gov.mt,none
gvernlokalibeta.gov.mt,none
gwardjani.gov.mt,none
gwardjanitest.gov.mt,none
gzira.gov.mt,none
gzirabeta.gov.mt,none
gziralc.gov.mt,none
halqormi.gov.mt,none
hamrunbeta.gov.mt,none
hamrunlc.gov.mt,none
hattardbeta.gov.mt,none
hattardlc.gov.mt,none
hcstandardsregistrationeid.intra.gov.mt,none
healthbeta.gov.mt,none
healthcrm.gov.mt,none
helpdesk.mgoz.gov.mt,none
homeaffairsbeta.gov.mt,none
hosting.s1.cloud.gov.mt,dig error
hosting.s2.cloud.gov.mt,none
hosting.s3.cloud.gov.mt,dig error
hosting.s4.cloud.gov.mt,dig error
hosting.s5.cloud.gov.mt,none
housingauthority.gov.mt,none
hpdp.gov.mt,none
hss.gov.mt,none
humanrightsbeta.gov.mt,none
iaidbeta.gov.mt,none
ichmaltabeta.gov.mt,none
icis.gov.mt,none
id.gov.mt,none
identity.consularplus-test.gov.mt,none
identity.consularplus.gov.mt,none
identity.gov.mt,none
identity.health.gov.mt,none
identitysps.gov.mt,none
ife.portal.gov.mt,none
iip.gov.mt,none
iklinbeta.gov.mt,none
iklinlc.gov.mt,none
imdinabeta.gov.mt,none
imdinalc.gov.mt,none
import.ces.gov.mt,none
inclusion.gov.mt,none
inclusionbeta.gov.mt,none
infrastructurebeta.gov.mt,none
inginierawarrantbeta.gov.mt,none
inline-test.gov.mt,none
inline.gov.mt,none
inlinefs-test.gov.mt,none
inlinefs.gov.mt,none
inlinereporting-test.gov.mt,none
inlinereporting.gov.mt,none
instituteforeducationbeta.gov.mt,none
integration-blue.staging.sdg.gov.mt,none
integration-red.staging.sdg.gov.mt,none
integritysupport.gov.mt,none
internal.cva.gov.mt,none
internbeta.gov.mt,none
internet.auth.gov.mt,none
internet2.auth.gov.mt,none
internetauth.gov.mt,none
internetauth2.gov.mt,none
internetauth3.gov.mt,none
intra.gov.mt,none
intraapps.gov.mt,none
intragovtest.gov.mt,none
intralecam.gov.mt,none
investinginyourfuture.gov.mt,none
ipmaltapinubot.gov.mt,none
ips-certification.gov.mt,none
ipsys.gov.mt,none
islabeta.gov.mt,none
islalc.gov.mt,none
iwhs.intra.gov.mt,none
iwhstest.intra.gov.mt,none
jesuitbeta.gov.mt,none
judiciarybeta.gov.mt,none
justicebeta.gov.mt,none
kalkarabeta.gov.mt,none
kalkaralc.gov.mt,none
kercembeta.gov.mt,none
kercemlc.gov.mt,none
kirkopbeta.gov.mt,none
kirkoplc.gov.mt,none
komunita.gov.mt,10 komunita-gov-mt.mail.protection.outlook.com.
kondotti.gov.mt,none
kondottitest.gov.mt,none
kulturabeta.gov.mt,none
kunsillmalti.gov.mt,none
kunsillmaltibeta.gov.mt,none
landregistrationbeta.gov.mt,none
landregistryplans.gov.mt,none
lawyersregister.gov.mt,none
leave.transport.gov.mt,none
legalaidmalta.gov.mt,none
legalaidmaltabeta.gov.mt,none
lemis.gpd.gov.mt,none
les.gov.mt,0 les-gov-mt.mail.protection.outlook.com.
licenzji-tal-bahar.gov.mt,none
lifelonglearning.gov.mt,none
lifelonglearningcourses.gov.mt,none
lijabeta.gov.mt,none
lijalc.gov.mt,none
livedemosp.gov.mt,none
livemsdemonode.gov.mt,none
lo.formstaging.gov.mt,none
localgovernmentbeta.gov.mt,none
localpermits.gov.mt,none
luqabeta.gov.mt,none
luqalc.gov.mt,none
mail.birgu.gov.mt,none
mail.gov.mt,none
mail.halqormi.gov.mt,none
mail.lifelonglearning.gov.mt,none
mail.myexams.gov.mt,none
mail.naxxar.gov.mt,none
mail.sustainabledevelopment.gov.mt,none
maltabotanicgardensbeta.gov.mt,none
maltacrafts.gov.mt,none
maltafreeport.gov.mt,none
maltafreeportbeta.gov.mt,none
maltalibraries.gov.mt,none
maltalibrariesbeta.gov.mt,none
maltanationalparkbeta.gov.mt,none
maltavisa.gov.mt,none
malteselivingabroadbeta.gov.mt,none
management.s1.cloud.gov.mt,none
management.s2.cloud.gov.mt,dig error
management.s3.cloud.gov.mt,none
management.s4.cloud.gov.mt,none
management.s5.cloud.gov.mt,none
manifest.ces.gov.mt,none
manifesto.gov.mt,none
marsabeta.gov.mt,none
marsalc.gov.mt,none
marsaskalabeta.gov.mt,none
marsaskalalc.gov.mt,none
marsaxlokkbeta.gov.mt,none
marsaxlokklc.gov.mt,none
mavc.gov.mt,none
mcanet.gov.mt,none
mcesd.gov.mt,none
mcst.gov.mt,none
mdbbeta.gov.mt,none
mdhnmelearning.gov.mt,none
mdia.gov.mt,none
mdiabeta.gov.mt,none
measuresimplementation.gov.mt,none
mediainfo.gov.mt,none
mediation.gov.mt,none
mediationbeta.gov.mt,none
meib.gov.mt,none
mellieha.gov.mt,none
melliehabeta.gov.mt,none
melliehalc.gov.mt,none
mepa.gov.mt,none
meusac.gov.mt,none
mew.aquadot.gov.mt,none
mfa.intra.gov.mt,none
mfaa.gov.mt,none
mfaabeta.gov.mt,none
mfin.gov.mt,none
mfss.gov.mt,none
mfst.gov.mt,none
mfstbeta.gov.mt,none
mftbeta.gov.mt,none
mftpservices.gov.mt,none
mgarrbeta.gov.mt,none
