hostname,score,sources,label,level
vilnius.lt,7,wikidata;wikidata,Vilnius City Municipality Administration,central-1
jonava.lt,4,wikidata,Jonava District Municipality Council,central-1
kauno.teismai.lt,4,wikidata,Kėdainiai Region District Court,central-1
klaipeda.lt,4,wikidata,Klaipeda City Municipality Council,central-1
lsmu.lt,7,wikidata;wikidata,Lithuanian University of Health Sciences,university
ku.lt,4,wikidata,Klaipėda University,university
lka.lt,4,wikidata,General Jonas Žemaitis Military Academy of Lithuania,university
lmta.lt,4,wikidata,Lithuanian Academy of Music and Theatre,university
lsu.lt,4,wikidata,Lithuanian Sports University,university
vdu.lt,4,wikidata,Vytautas Magnus University,university
vgtu.lt,4,wikidata,Vilnius Gediminas Technical University,university
vu.lt,4,wikidata,Vilnius University,university
ktu.edu,3,wikidata,Kaunas University of Technology,university
mruni.eu,3,wikidata,Mykolas Romeris University,university
klat.teismas.lt,4,wikidata,Klaipėda Regional Court,local
lithuanianculture.lt,4,wikidata,Lithuanian Culture Institute,local
eige.europa.eu,3,wikidata,European Institute for Gender Equality,local
