field,text
country_name,"Kingdom of Belgium"
government_type,"federal parliamentary democracy under a constitutional monarchy"
capital,"Brussels"
chief_of_state,"King PHILIPPE (since 21 July 2013)"
head_of_government,"Prime Minister Bart DE WEVER (since 3 February 2025)"
judicial_highest_courts,"Constitutional Court or Grondwettelijk Hof (in Dutch) and Cour Constitutionelle (in French) (consists of 12 judges - 6 Dutch-speaking and 6 French-speaking); Supreme Court of Justice or Hof van Cassatie (in Dutch) and Cour de Cassation (in French) (court organized into 3 chambers: civil and commercial; criminal; social, fiscal, and armed forces; each chamber includes a Dutch division and a French division, each with a chairperson and 5-6 judges)"
constitution_history,"drafted 25 November 1830, approved 7 February 1831, entered into force 26 July 1831, revised 14 July 1993 (creating a federal state)"
