domain,level,source,name
abiastate.gov.ng,central-1,manual,Abia State
adamawastate.gov.ng,central-1,manual,Adamawa State
akwaibomstate.gov.ng,central-1,manual,Akwa Ibom State
anambrastate.gov.ng,central-1,manual,Anambra State
bauchistate.gov.ng,central-1,manual,Bauchi State
bayelsastate.gov.ng,central-1,manual,Bayelsa State
benuestate.gov.ng,central-1,manual,Benue State
bornostate.gov.ng,central-1,manual,Borno State
crossriverstate.gov.ng,central-1,manual,Cross River State
deltastate.gov.ng,central-1,manual,Delta State
ebonyistate.gov.ng,central-1,manual,Ebonyi State
edostate.gov.ng,central-1,manual,Edo State
ekitistate.gov.ng,central-1,manual,Ekiti State
enugustate.gov.ng,central-1,manual,Enugu State
gombestate.gov.ng,central-1,manual,Gombe State
gov.ng,central,manual,
imostate.gov.ng,central-1,manual,Imo State
jigawastate.gov.ng,central-1,manual,Jigawa State
kadunastate.gov.ng,central-1,manual,Kaduna State
kanostate.gov.ng,central-1,manual,Kano State
katsinastate.gov.ng,central-1,manual,Katsina State
kebbistate.gov.ng,central-1,manual,Kebbi State
kogistate.gov.ng,central-1,manual,Kogi State
kwarastate.gov.ng,central-1,manual,Kwara State
lagosstate.gov.ng,central-1,manual,Lagos State
nasarawastate.gov.ng,central-1,manual,Nasarawa State
nigerstate.gov.ng,central-1,manual,Niger State
ogunstate.gov.ng,central-1,manual,Ogun State
ondostate.gov.ng,central-1,manual,Ondo State
osunstate.gov.ng,central-1,manual,Osun State
oyostate.gov.ng,central-1,manual,Oyo State
plateaustate.gov.ng,central-1,manual,Plateau State
riversstate.gov.ng,central-1,manual,Rivers State
sokotostate.gov.ng,central-1,manual,Sokoto State
tarabastate.gov.ng,central-1,manual,Taraba State
yobestate.gov.ng,central-1,manual,Yobe State
zamfarastate.gov.ng,central-1,manual,Zamfara State
