domain,level,name
abiastate.gov.ng,central-1,Abia State
adamawastate.gov.ng,central-1,Adamawa State
akwaibomstate.gov.ng,central-1,Akwa Ibom State
anambrastate.gov.ng,central-1,Anambra State
bauchistate.gov.ng,central-1,Bauchi State
bayelsastate.gov.ng,central-1,Bayelsa State
benuestate.gov.ng,central-1,Benue State
bornostate.gov.ng,central-1,Borno State
crossriverstate.gov.ng,central-1,Cross River State
deltastate.gov.ng,central-1,Delta State
ebonyistate.gov.ng,central-1,Ebonyi State
edostate.gov.ng,central-1,Edo State
ekitistate.gov.ng,central-1,Ekiti State
enugustate.gov.ng,central-1,Enugu State
gombestate.gov.ng,central-1,Gombe State
gov.ng,central,
imostate.gov.ng,central-1,Imo State
jigawastate.gov.ng,central-1,Jigawa State
kadunastate.gov.ng,central-1,Kaduna State
kanostate.gov.ng,central-1,Kano State
katsinastate.gov.ng,central-1,Katsina State
kebbistate.gov.ng,central-1,Kebbi State
kogistate.gov.ng,central-1,Kogi State
kwarastate.gov.ng,central-1,Kwara State
lagosstate.gov.ng,central-1,Lagos State
lg.gov.ng,local,Local government areas (LGA de Lagos — hôtes <lga>.lg.gov.ng)
nasarawastate.gov.ng,central-1,Nasarawa State
nigerstate.gov.ng,central-1,Niger State
ogunstate.gov.ng,central-1,Ogun State
ondostate.gov.ng,central-1,Ondo State
osunstate.gov.ng,central-1,Osun State
oyostate.gov.ng,central-1,Oyo State
plateaustate.gov.ng,central-1,Plateau State
riversstate.gov.ng,central-1,Rivers State
sokotostate.gov.ng,central-1,Sokoto State
tarabastate.gov.ng,central-1,Taraba State
yobestate.gov.ng,central-1,Yobe State
zamfarastate.gov.ng,central-1,Zamfara State
