type,label,website,hostname,provenance,level
research_institute,CEA (Alternative Energies and Atomic Energy Commission),https://www.cea.fr/,cea.fr,research-audit:2026-08-13;fixes-P1001-regional-delegations,central
agency,French National Research Agency (ANR),https://anr.fr/,anr.fr,research-audit:2026-08-13;wikidata-typing-gap,central
research_institute,Ifremer (French Research Institute for Exploitation of the Sea),https://www.ifremer.fr/,ifremer.fr,research-audit:2026-08-13;wikidata-typing-gap,central
