domain,label,level,name
gov.lk,wp,central-1,Western Province
gov.lk,cp,central-1,Central Province
gov.lk,sp,central-1,Southern Province
gov.lk,nw,central-1,North Western Province
gov.lk,nc,central-1,North Central Province
gov.lk,ep,central-1,Eastern Province
gov.lk,np,central-1,Northern Province
gov.lk,up,central-1,Uva Province
gov.lk,sg,central-1,Sabaragamuwa Province
gov.lk,ps,local,Pradeshiya sabhas (conseils de division)
gov.lk,mc,local,Municipal councils
gov.lk,uc,local,Urban councils
