domain,level,name
anr.fr,central,French National Research Agency (ANR)
cea.fr,central,CEA (Alternative Energies and Atomic Energy Commission)
gouv.fr,central,
ifremer.fr,central,Ifremer (French Research Institute for Exploitation of the Sea)
