subdomain,parent_domain,http_status,mx
alize.dgtresor.gouv.fr,gouv.fr,Could not resolve host: alize.dgtresor.gouv.fr,none
alsace.safire.fonction-publique.gouv.fr,gouv.fr,Could not resolve host: alsace.safire.fonction-publique.gouv.fr,none
amelia.aviation-civile.gouv.fr,gouv.fr,Connection timed out after 3002 milliseconds,none
amendes.gouv.fr,gouv.fr,200,none
amia.phm.education.gouv.fr,gouv.fr,302,none
amiagest.in.phm.education.gouv.fr,gouv.fr,Could not resolve host: amiagest.in.phm.education.gouv.fr,none
ampere.industrie.gouv.fr,gouv.fr,Could not resolve host: ampere.industrie.gouv.fr,none
anah-demo.beta.gouv.fr,gouv.fr,Could not resolve host: anah-demo.beta.gouv.fr,none
anah-staging.beta.gouv.fr,gouv.fr,Could not resolve host: anah-staging.beta.gouv.fr,none
anah.beta.gouv.fr,gouv.fr,Could not resolve host: anah.beta.gouv.fr,none
animjdc.sga.defense.gouv.fr,gouv.fr,Could not resolve host: animjdc.sga.defense.gouv.fr,none
annuaire-igf.finances.gouv.fr,gouv.fr,Could not resolve host: annuaire-igf.finances.gouv.fr,none
annuaire-pprd.agricoll.agriculture.gouv.fr,gouv.fr,Could not resolve host: annuaire-pprd.agricoll.agriculture.gouv.fr,none
annuaire.agricoll.agriculture.gouv.fr,gouv.fr,302,none
anr.fr,anr.fr,,
antai.gouv.fr,gouv.fr,302,none
antilles-guyane.safire.fonction-publique.gouv.fr,gouv.fr,Could not resolve host: antilles-guyane.safire.fonction-publique.gouv.fr,none
ants.gouv.fr,gouv.fr,200,none
ape.franceconnect.gouv.fr,gouv.fr,Could not resolve host: ape.franceconnect.gouv.fr,none
apex.dgfip.finances.gouv.fr,gouv.fr,Connection timed out after 3002 milliseconds,none
apex.dgi.minefi.gouv.fr,gouv.fr,Connection timed out after 3002 milliseconds,none
api-adresse.data.gouv.fr,gouv.fr,404,none
api-sandbox.fps.antai.gouv.fr,gouv.fr,SSL certificate problem: unable to get local issuer certificate,none
api.2.consultation.etalab.gouv.fr,gouv.fr,Could not resolve host: api.2.consultation.etalab.gouv.fr,none
api.anah-demo.beta.gouv.fr,gouv.fr,Could not resolve host: api.anah-demo.beta.gouv.fr,none
api.anah-staging.beta.gouv.fr,gouv.fr,Could not resolve host: api.anah-staging.beta.gouv.fr,none
api.beta.gouv.fr,gouv.fr,Could not resolve host: api.beta.gouv.fr,none
api.consultation.etalab.gouv.fr,gouv.fr,Could not resolve host: api.consultation.etalab.gouv.fr,none
api.gouv.fr,gouv.fr,301,none
api.pprod-consult.etalab.gouv.fr,gouv.fr,Could not resolve host: api.pprod-consult.etalab.gouv.fr,none
api.staticweb-01.etalab.gouv.fr,gouv.fr,Could not resolve host: api.staticweb-01.etalab.gouv.fr,none
app.franceconnect.gouv.fr,gouv.fr,301,none
applet-pnij.justice.gouv.fr,gouv.fr,Could not resolve host: applet-pnij.justice.gouv.fr,none
appli.agriculture.gouv.fr,gouv.fr,Could not resolve host: appli.agriculture.gouv.fr,none
applications.dgfip.finances.gouv.fr,gouv.fr,Connection timed out after 3002 milliseconds,none
apps.diplomatie.gouv.fr,gouv.fr,Connection timed out after 3002 milliseconds,none
aquitaine.safire.fonction-publique.gouv.fr,gouv.fr,Could not resolve host: aquitaine.safire.fonction-publique.gouv.fr,none
arcep.fr,arcep.fr,,5 mx62.cloud.vadesecure.com.; 5 mx61.cloud.vadesecure.com.; 5 mx64.cloud.vadesecure.com.; 5 mx63.cloud.vadesecure.com.
archives.entreprises.gouv.fr,gouv.fr,Could not resolve host: archives.entreprises.gouv.fr,none
ariane.annuaire.travail.gouv.fr,gouv.fr,Connection timed out after 3002 milliseconds,none
ariane.sante.gouv.fr,gouv.fr,302,none
ariane.travail.gouv.fr,gouv.fr,Connection timed out after 3002 milliseconds,none
ariane.valid.sante.gouv.fr,gouv.fr,Failed to connect to ariane.valid.sante.gouv.fr port 443 after 36 ms: Could not connect to server,none
arquedi.extranet.jeunesse-sports.gouv.fr,gouv.fr,404,none
artemis.sante-sports.gouv.fr,gouv.fr,Could not resolve host: artemis.sante-sports.gouv.fr,none
article69.agencedunumerique.gouv.fr,gouv.fr,Could not resolve host: article69.agencedunumerique.gouv.fr,none
article69.consultation.etalab.gouv.fr,gouv.fr,Could not resolve host: article69.consultation.etalab.gouv.fr,none
asap.dsna.aviation-civile.gouv.fr,gouv.fr,Could not resolve host: asap.dsna.aviation-civile.gouv.fr,none
asile.dgef.interieur.gouv.fr,gouv.fr,Connection timed out after 3002 milliseconds,none
asp.renovation-info-service.gouv.fr,gouv.fr,Could not resolve host: asp.renovation-info-service.gouv.fr,none
asscap-qualif.ants.gouv.fr,gouv.fr,Could not resolve host: asscap-qualif.ants.gouv.fr,none
asscap.ants.gouv.fr,gouv.fr,Could not resolve host: asscap.ants.gouv.fr,none
assembl.consultation.etalab.gouv.fr,gouv.fr,Could not resolve host: assembl.consultation.etalab.gouv.fr,none
assistance.emploi.gouv.fr,gouv.fr,301,none
assoc.journal-officiel.gouv.fr,gouv.fr,Could not resolve host: assoc.journal-officiel.gouv.fr,none
associations-depot-comptes.journal-officiel.gouv.fr,gouv.fr,302,none
associes.faire-simple.gouv.fr,gouv.fr,Could not resolve host: associes.faire-simple.gouv.fr,none
ath-mnesys.aviation-civile.gouv.fr,gouv.fr,Could not resolve host: ath-mnesys.aviation-civile.gouv.fr,none
atlas.justice.gouv.fr,gouv.fr,Could not resolve host: atlas.justice.gouv.fr,none
aurige.application.developpement-durable.gouv.fr,gouv.fr,Could not resolve host: aurige.application.developpement-durable.gouv.fr,none
aurige.application.equipement.gouv.fr,gouv.fr,Could not resolve host: aurige.application.equipement.gouv.fr,none
aurige.ecole.application.developpement-durable.gouv.fr,gouv.fr,Could not resolve host: aurige.ecole.application.developpement-durable.gouv.fr,none
aurige.site-ecole.din.developpement-durable.gouv.fr,gouv.fr,Could not resolve host: aurige.site-ecole.din.developpement-durable.gouv.fr,none
aurige3.application.developpement-durable.gouv.fr,gouv.fr,Could not resolve host: aurige3.application.developpement-durable.gouv.fr,none
aurige3.din.developpement-durable.gouv.fr,gouv.fr,Could not resolve host: aurige3.din.developpement-durable.gouv.fr,none
auth-cactus-pra.application.developpement-durable.gouv.fr,gouv.fr,Could not resolve host: auth-cactus-pra.application.developpement-durable.gouv.fr,none
auth-cactus-pri.application.developpement-durable.gouv.fr,gouv.fr,Could not resolve host: auth-cactus-pri.application.developpement-durable.gouv.fr,none
auth-cactus.application.developpement-durable.gouv.fr,gouv.fr,Could not resolve host: auth-cactus.application.developpement-durable.gouv.fr,none
auth-dj.ij.justice.gouv.fr,gouv.fr,Could not resolve host: auth-dj.ij.justice.gouv.fr,none
auth-dj.preprod.ij.justice.gouv.fr,gouv.fr,Could not resolve host: auth-dj.preprod.ij.justice.gouv.fr,none
auth-gn.ij.justice.gouv.fr,gouv.fr,Could not resolve host: auth-gn.ij.justice.gouv.fr,none
auth-gn.preprod.ij.justice.gouv.fr,gouv.fr,Could not resolve host: auth-gn.preprod.ij.justice.gouv.fr,none
auth-pn.ij.justice.gouv.fr,gouv.fr,Could not resolve host: auth-pn.ij.justice.gouv.fr,none
auth-pn.preprod.ij.justice.gouv.fr,gouv.fr,Could not resolve host: auth-pn.preprod.ij.justice.gouv.fr,none
auth-pprd.agricoll.agriculture.gouv.fr,gouv.fr,Could not resolve host: auth-pprd.agricoll.agriculture.gouv.fr,none
auth.agricoll.agriculture.gouv.fr,gouv.fr,Could not resolve host: auth.agricoll.agriculture.gouv.fr,none
auth.ij.intranet.justice.gouv.fr,gouv.fr,Could not resolve host: auth.ij.intranet.justice.gouv.fr,none
auth.preprod.ij.intranet.justice.gouv.fr,gouv.fr,Could not resolve host: auth.preprod.ij.intranet.justice.gouv.fr,none
auth.secure.gendarmerie.interieur.gouv.fr,gouv.fr,200,none
auth.securite-routiere.gouv.fr,gouv.fr,SSL: no alternative certificate subject name matches target hostname 'auth.securite-routiere.gouv.fr',10 tigre.interieur.gouv.fr.
authentification-cactus.application.equipement.gouv.fr,gouv.fr,Could not resolve host: authentification-cactus.application.equipement.gouv.fr,none
authentification-cerbere.application.equipement.gouv.fr,gouv.fr,Could not resolve host: authentification-cerbere.application.equipement.gouv.fr,none
authentification-pra.application.developpement-durable.gouv.fr,gouv.fr,Could not resolve host: authentification-pra.application.developpement-durable.gouv.fr,none
authentification-pri.application.developpement-durable.gouv.fr,gouv.fr,Could not resolve host: authentification-pri.application.developpement-durable.gouv.fr,none
authentification.application.developpement-durable.gouv.fr,gouv.fr,Could not resolve host: authentification.application.developpement-durable.gouv.fr,none
authentification.din.developpement-durable.gouv.fr,gouv.fr,302,none
