domain,level,source,name
abc.gob.ar,central-1,manual,Dirección General de Cultura y Educación (Provincia de Buenos Aires)
agcba.gob.ar,central-1,manual,Auditoría General de la Ciudad de Buenos Aires
agip.gob.ar,central-1,manual,Administración Gubernamental de Ingresos Públicos (CABA)
apos.gob.ar,central-1,manual,Administración Provincial de Obra Social (La Rioja)
asip.gob.ar,central-1,manual,Agencia Santacruceña de Ingresos Públicos (Santa Cruz)
ater.gob.ar,central-1,manual,Administradora Tributaria de Entre Ríos
atm.gob.ar,central-1,manual,Administración Tributaria Mendoza
buenosaires.gob.ar,central-1,manual,Ciudad Autónoma de Buenos Aires
buenosairescompras.gob.ar,central-1,manual,Buenos Aires Compras - portal de compras del Gobierno de la Ciudad de Buenos Aires
cafesg.gob.ar,central-1,manual,Comisión Administradora para el Fondo Especial de Salto Grande (Entre Ríos)
catamarca.gob.ar,central-1,manual,Provincia de Catamarca
cba.gob.ar,central-1,manual,Provincia de Córdoba
cesba.gob.ar,central-1,manual,Consejo Económico y Social de la Ciudad de Buenos Aires
chaco.gob.ar,central-1,manual,Provincia del Chaco
chubut.gob.ar,central-1,manual,Provincia del Chubut
complejoteatral.gob.ar,central-1,manual,Complejo Teatral de Buenos Aires (Gobierno de la Ciudad de Buenos Aires)
comunicaciontucuman.gob.ar,central-1,manual,Secretaría de Comunicación Pública (Tucumán)
corrientes.gob.ar,central-1,manual,Provincia de Corrientes
corrientesexporta.gob.ar,central-1,manual,Corrientes Exporta (Gobierno de Corrientes)
corrientesprensa.gob.ar,central-1,manual,Prensa del Gobierno de Corrientes
corrientesturismo.gob.ar,central-1,manual,Turismo de la Provincia de Corrientes
defensoriaformosa.gob.ar,central-1,manual,Defensoría del Pueblo de Formosa
defensoriatucuman.gob.ar,central-1,manual,Defensoría del Pueblo de Tucumán
defensorsantiago.gob.ar,central-1,manual,Defensor del Pueblo de Santiago del Estero
digestomisiones.gob.ar,central-1,manual,Digesto Jurídico de la Provincia de Misiones
dondevotociudad.gob.ar,central-1,manual,Dónde Voto - elecciones de la Ciudad Autónoma de Buenos Aires
dprneuquen.gob.ar,central-1,manual,Dirección Provincial de Rentas del Neuquén
economianqn.gob.ar,central-1,manual,Ministerio de Economía de la Provincia del Neuquén
eleccionesciudad.gob.ar,central-1,manual,Elecciones de la Ciudad Autónoma de Buenos Aires
electoralsde.gob.ar,central-1,manual,Tribunal Electoral de Santiago del Estero
electoraltucuman.gob.ar,central-1,manual,Junta Electoral de Tucumán
energianeuquen.gob.ar,central-1,manual,Energía de la Provincia del Neuquén
entrerios.gob.ar,central-1,manual,Provincia de Entre Ríos
envdiputadossantafe.gob.ar,central-1,manual,Cámara de Diputados de la Provincia de Santa Fe
epec.gob.ar,central-1,manual,Empresa Provincial de Energía de Córdoba
espaciosantafesino.gob.ar,central-1,manual,Espacio Santafesino - Ministerio de Cultura de Santa Fe
estadisticaciudad.gob.ar,central-1,manual,Dirección General de Estadística y Censos (CABA)
formosa.gob.ar,central-1,manual,Provincia de Formosa
gba.gob.ar,central-1,manual,Provincia de Buenos Aires
gob.ar,central,manual,
haciendanqn.gob.ar,central-1,manual,Hacienda de la Provincia del Neuquén
hospitalsantojanni.gob.ar,central-1,manual,Hospital General de Agudos Donación Francisco Santojanni (CABA)
iasep.gob.ar,central-1,manual,Instituto de Asistencia Social para Empleados Públicos (Formosa)
infuetur.gob.ar,central-1,manual,Instituto Fueguino de Turismo (Tierra del Fuego)
insssep.gob.ar,central-1,manual,Instituto de Seguridad Social Seguros y Préstamos (Chaco)
iosper.gob.ar,central-1,manual,Instituto de Obra Social de la Provincia de Entre Ríos
ischigualasto.gob.ar,central-1,manual,Parque Provincial Ischigualasto (San Juan)
issn.gob.ar,central-1,manual,Instituto de Seguridad Social del Neuquén
issys.gob.ar,central-1,manual,Instituto de Seguridad Social y Seguros (Chubut)
jujuy.gob.ar,central-1,manual,Provincia de Jujuy
jusbaires.gob.ar,central-1,manual,Poder Judicial de la Ciudad Autónoma de Buenos Aires
jusrionegro.gob.ar,central-1,manual,Poder Judicial de Río Negro
jussantacruz.gob.ar,central-1,manual,Poder Judicial de Santa Cruz
justiciachaco.gob.ar,central-1,manual,Poder Judicial del Chaco
justiciacordoba.gob.ar,central-1,manual,Poder Judicial de Córdoba
justiciajujuy.gob.ar,central-1,manual,Poder Judicial de Jujuy
justicialapampa.gob.ar,central-1,manual,Poder Judicial de La Pampa
justicialarioja.gob.ar,central-1,manual,Poder Judicial de La Rioja
lapampa.gob.ar,central-1,manual,Provincia de La Pampa
larioja.gob.ar,central-1,manual,Provincia de La Rioja
legiscba.gob.ar,central-1,manual,Legislatura de la Provincia de Córdoba
legislaturadetucuman.gob.ar,central-1,manual,Legislatura de Tucumán
legislaturaformosa.gob.ar,central-1,manual,Legislatura de Formosa
legislaturaneuquen.gob.ar,central-1,manual,Legislatura de la Provincia del Neuquén
legislaturasde.gob.ar,central-1,manual,Legislatura de Santiago del Estero
legisrn.gob.ar,central-1,manual,Legislatura de Río Negro
legnqn.gob.ar,central-1,manual,Legislatura de la Provincia del Neuquén
loteriaderionegro.gob.ar,central-1,manual,Lotería de Río Negro
loteriadesantacruz.gob.ar,central-1,manual,Lotería de Santa Cruz
mendoza.gob.ar,central-1,manual,Provincia de Mendoza
minedujujuy.gob.ar,central-1,manual,Ministerio de Educación de Jujuy
misiones.gob.ar,central-1,manual,Provincia de Misiones
msalsgo.gob.ar,central-1,manual,Ministerio de Salud de Santiago del Estero
museobrigadierlopez.gob.ar,central-1,manual,Museo Histórico Provincial Brigadier Estanislao López (Santa Fe)
museomarc.gob.ar,central-1,manual,Museo Histórico Provincial Dr. Julio Marc (Santa Fe)
museorosagalisteo.gob.ar,central-1,manual,Museo Provincial de Bellas Artes Rosa Galisteo de Rodríguez (Santa Fe)
neuquen.gob.ar,central-1,manual,Provincia del Neuquén
patrimoniosde.gob.ar,central-1,manual,Patrimonio Cultural de Santiago del Estero
policialp.gob.ar,central-1,manual,Policía de La Pampa
policiamisiones.gob.ar,central-1,manual,Policía de Misiones
rentascordoba.gob.ar,central-1,manual,Rentas Córdoba - Dirección General de Rentas (Córdoba)
rentasjujuy.gob.ar,central-1,manual,Dirección Provincial de Rentas de Jujuy
rentasjujuyonline.gob.ar,central-1,manual,Dirección Provincial de Rentas de Jujuy (servicios en línea)
rionegro.gob.ar,central-1,manual,Provincia de Río Negro
salta.gob.ar,central-1,manual,Provincia de Salta
saludmentalragone.gob.ar,central-1,manual,Hospital de Salud Mental Dr. Miguel Ragone (Salta)
saludnqn.gob.ar,central-1,manual,Ministerio de Salud de la Provincia del Neuquén
sanjuan.gob.ar,central-1,manual,Provincia de San Juan
sanluis.gob.ar,central-1,manual,Provincia de San Luis
santacruz.gob.ar,central-1,manual,Provincia de Santa Cruz
santacruzpatagonia.gob.ar,central-1,manual,Portal turístico de la Provincia de Santa Cruz
santafe.gob.ar,central-1,manual,Provincia de Santa Fe
santafelavieja.gob.ar,central-1,manual,Parque Arqueológico Santa Fe La Vieja (Santa Fe)
sde.gob.ar,central-1,manual,Provincia de Santiago del Estero
senadodecatamarca.gob.ar,central-1,manual,Senado de Catamarca
sisanjuan.gob.ar,central-1,manual,Portal oficial del Gobierno de San Juan (Si San Juan)
tclarioja.gob.ar,central-1,manual,Tribunal de Cuentas de La Rioja
tcpsantafe.gob.ar,central-1,manual,Tribunal de Cuentas de la Provincia de Santa Fe
tcptdf.gob.ar,central-1,manual,Tribunal de Cuentas de la Provincia de Tierra del Fuego
tierradelfuego.gob.ar,central-1,manual,Provincia de Tierra del Fuego Antártida e Islas del Atlántico Sur
tramitescorrientes.gob.ar,central-1,manual,Portal de trámites del Gobierno de Corrientes
tribcuentasmendoza.gob.ar,central-1,manual,Tribunal de Cuentas de Mendoza
tucuman.gob.ar,central-1,manual,Provincia de Tucumán
turismocatamarca.gob.ar,central-1,manual,Turismo de la Provincia de Catamarca
tvrionegrina.gob.ar,central-1,manual,Radio y Televisión Río Negro
viviendacatamarca.gob.ar,central-1,manual,Instituto Provincial de la Vivienda (Catamarca)
