subdomain,parent_domain,http_status,mx
aulavirtual.policialp.gob.ar,gob.ar,Could not resolve host: aulavirtual.policialp.gob.ar,none
auth.afip.gob.ar,gob.ar,Could not resolve host: auth.afip.gob.ar,none
auth.tcptdf.gob.ar,gob.ar,Resolving timed out after 3000 milliseconds,none
authhomo-ext.afip.gob.ar,gob.ar,Could not resolve host: authhomo-ext.afip.gob.ar,none
autodiscover.anmat.gob.ar,gob.ar,Could not resolve host: autodiscover.anmat.gob.ar,none
autodiscover.anses.gob.ar,gob.ar,307,none
autodiscover.arg.gob.ar,gob.ar,302,none
autodiscover.bcra.gob.ar,gob.ar,Failed to connect to autodiscover.bcra.gob.ar port 443 after 250 ms: Could not connect to server,none
autodiscover.bienesdelestado.gob.ar,gob.ar,Resolving timed out after 3000 milliseconds,none
autodiscover.cnrt.gob.ar,gob.ar,301,none
autodiscover.complejoteatral.gob.ar,gob.ar,302,none
autodiscover.fesp.gob.ar,gob.ar,Could not resolve host: autodiscover.fesp.gob.ar,none
autodiscover.fffir.gob.ar,gob.ar,Could not resolve host: autodiscover.fffir.gob.ar,none
autodiscover.fiscaliageneral.gob.ar,gob.ar,Could not resolve host: autodiscover.fiscaliageneral.gob.ar,none
autodiscover.fiscalias.gob.ar,gob.ar,Operation timed out after 3000 milliseconds with 0 bytes received,none
autodiscover.gba.gob.ar,gob.ar,Could not resolve host: autodiscover.gba.gob.ar,none
autodiscover.gendarmeria.gob.ar,gob.ar,Connection timed out after 3000 milliseconds,none
autodiscover.gna.gob.ar,gob.ar,Connection timed out after 3000 milliseconds,none
autodiscover.jefatura.gob.ar,gob.ar,Could not resolve host: autodiscover.jefatura.gob.ar,none
autodiscover.migraciones.gob.ar,gob.ar,Could not resolve host: autodiscover.migraciones.gob.ar,none
autodiscover.puertobuenosaires.gob.ar,gob.ar,Failed to connect to autodiscover.puertobuenosaires.gob.ar port 443 after 549 ms: Could not connect to server,none
autodiscover.sgp.gob.ar,gob.ar,Connection timed out after 3001 milliseconds,none
autodiscover.sigen.gob.ar,gob.ar,302,none
autodiscover.srt.gob.ar,gob.ar,Could not resolve host: autodiscover.srt.gob.ar,none
autodiscover.turismo.gob.ar,gob.ar,Could not resolve host: autodiscover.turismo.gob.ar,none
autodiscover.uif.gob.ar,gob.ar,Failed to connect to autodiscover.uif.gob.ar port 443 after 273 ms: Could not connect to server,none
autogestion.mcrweb.gob.ar,gob.ar,Could not resolve host: autogestion.mcrweb.gob.ar,none
autogestion.santotome.gob.ar,gob.ar,Could not resolve host: autogestion.santotome.gob.ar,none
automation.profide.gob.ar,gob.ar,Could not resolve host: automation.profide.gob.ar,none
automotor.mcrweb.gob.ar,gob.ar,Could not resolve host: automotor.mcrweb.gob.ar,none
av.gna.gob.ar,gob.ar,Could not resolve host: av.gna.gob.ar,none
aw.enacom.gob.ar,gob.ar,Could not resolve host: aw.enacom.gob.ar,none
ayuda.slyt.gba.gob.ar,gob.ar,TLS connect error: error:0A000458:SSL routines::tlsv1 unrecognized name,none
back.argentina.gob.ar,gob.ar,403,none
back.preciosclaros.gob.ar,gob.ar,Connection timed out after 3002 milliseconds,none
bahia.gob.ar,gob.ar,301,10 bahia-gob-ar.mail.protection.outlook.com.; 20 concejobahia.gob.ar.
bahiaemprende.gob.ar,gob.ar,Could not resolve host: bahiaemprende.gob.ar,none
baldissera.gob.ar,gob.ar,Could not resolve host: baldissera.gob.ar,none
barilocheturismo.gob.ar,gob.ar,301,none
barriosindengue.gob.ar,gob.ar,Connection timed out after 3000 milliseconds,none
becar.gob.ar,gob.ar,Could not resolve host: becar.gob.ar,none
bellaitalia.gob.ar,gob.ar,200,none
bellasartes.gob.ar,gob.ar,200,none
beneficios.lapaz.gob.ar,gob.ar,Could not resolve host: beneficios.lapaz.gob.ar,none
bialetmasse.gob.ar,gob.ar,301,none
biblioargentina.gob.ar,gob.ar,301,0 mail.biblioargentina.gob.ar.; 20 mx1.biblioargentina.gob.ar.
biblioteca.eni.afi.gob.ar,gob.ar,Could not resolve host: biblioteca.eni.afi.gob.ar,none
bicentenario2016.gob.ar,gob.ar,Could not resolve host: bicentenario2016.gob.ar,none
bienesdelestado.gob.ar,gob.ar,Resolving timed out after 3000 milliseconds,none
bitacora.salta.gob.ar,gob.ar,Could not resolve host: bitacora.salta.gob.ar,none
boletindgri.gob.ar,gob.ar,Could not resolve host: boletindgri.gob.ar,none
boletinoficial.gob.ar,gob.ar,Could not resolve host: boletinoficial.gob.ar,none
boletoeducativo.gba.gob.ar,gob.ar,200,none
boletoestudiantil.gob.ar,gob.ar,Could not resolve host: boletoestudiantil.gob.ar,none
bot.argentina.gob.ar,gob.ar,Could not resolve host: bot.argentina.gob.ar,none
botin.argentina.gob.ar,gob.ar,Connection timed out after 3002 milliseconds,none
bovril.gob.ar,gob.ar,200,none
buenosaires.gob.ar,gob.ar,302,0 buenosaires-gob-ar.mail.protection.outlook.com.
buenosairescompras.gob.ar,gob.ar,200,none
bugs.ign.gob.ar,gob.ar,Could not resolve host: bugs.ign.gob.ar,none
buisir.buenosaires.gob.ar,gob.ar,Could not resolve host: buisir.buenosaires.gob.ar,none
busquedasapn.modernizacion.gob.ar,gob.ar,Connection timed out after 3002 milliseconds,none
cabalango.gob.ar,gob.ar,200,none
cabildonacional.gob.ar,gob.ar,301,10 mx.mailcultura.gob.ar.
cacti.bienesdelestado.gob.ar,gob.ar,Resolving timed out after 3000 milliseconds,none
cafesg.gob.ar,gob.ar,Could not resolve host: cafesg.gob.ar,none
calidad-alimentaria.apps.cordoba.gob.ar,gob.ar,Could not resolve host: calidad-alimentaria.apps.cordoba.gob.ar,none
camiloaldao.gob.ar,gob.ar,Could not resolve host: camiloaldao.gob.ar,none
campana.gob.ar,gob.ar,301,0 campana-gob-ar.mail.protection.outlook.com.
campogrande.gob.ar,gob.ar,TLS connect error: error:0A000410:SSL routines::ssl/tls alert handshake failure,none
campus.afip.gob.ar,gob.ar,302,none
campus.becar.gob.ar,gob.ar,Could not resolve host: campus.becar.gob.ar,none
campus2.inap.gob.ar,gob.ar,Could not resolve host: campus2.inap.gob.ar,none
campushmabb.gob.ar,gob.ar,303,none
canuelas.gob.ar,gob.ar,Could not resolve host: canuelas.gob.ar,none
capacitacion.inap.gob.ar,gob.ar,Could not resolve host: capacitacion.inap.gob.ar,none
capacitacion.slyt.gba.gob.ar,gob.ar,TLS connect error: error:0A000458:SSL routines::tlsv1 unrecognized name,none
casadelacuerdo.gob.ar,gob.ar,Could not resolve host: casadelacuerdo.gob.ar,10 mx.mailcultura.gob.ar.
casadelbicentenario.gob.ar,gob.ar,301,10 mx.mailcultura.gob.ar.
casademoneda.gob.ar,gob.ar,Could not resolve host: casademoneda.gob.ar,none
casadericardorojas.gob.ar,gob.ar,301,none
casaindependencia.gob.ar,gob.ar,301,none
casanatalsarmiento.gob.ar,gob.ar,301,none
casarosada.gob.ar,gob.ar,Could not resolve host: casarosada.gob.ar,none
casaverde.sintys.gob.ar,gob.ar,Could not resolve host: casaverde.sintys.gob.ar,none
catalogo.sgp.gob.ar,gob.ar,Could not resolve host: catalogo.sgp.gob.ar,none
catamarca.gob.ar,gob.ar,Could not resolve host: catamarca.gob.ar,5 alt2.aspmx.l.google.com.; 10 aspmx2.googlemail.com.
cba.gob.ar,cba.gob.ar,,
cccg.ign.gob.ar,gob.ar,HTTP/2 stream 1 was not closed cleanly: PROTOCOL_ERROR (err 1),none
ccrf.gob.ar,gob.ar,Could not resolve host: ccrf.gob.ar,none
cde.gob.ar,gob.ar,Could not resolve host: cde.gob.ar,none
cenareso.gob.ar,gob.ar,Could not resolve host: cenareso.gob.ar,none
cenpe.educacion.gob.ar,gob.ar,Could not resolve host: cenpe.educacion.gob.ar,none
cenpecapacitacion.educacion.gob.ar,gob.ar,Could not resolve host: cenpecapacitacion.educacion.gob.ar,none
cenpecontrol.educacion.gob.ar,gob.ar,Could not resolve host: cenpecontrol.educacion.gob.ar,none
cenpemail.educacion.gob.ar,gob.ar,Could not resolve host: cenpemail.educacion.gob.ar,none
cenpetk.educacion.gob.ar,gob.ar,Could not resolve host: cenpetk.educacion.gob.ar,none
centraldebalances.gob.ar,gob.ar,Could not resolve host: centraldebalances.gob.ar,none
centroaudiovisual.gob.ar,gob.ar,301,none
cenue.gob.ar,gob.ar,Could not resolve host: cenue.gob.ar,none
ceroveinticinco.gob.ar,gob.ar,Could not resolve host: ceroveinticinco.gob.ar,none
cerrocatedral.gob.ar,gob.ar,Could not resolve host: cerrocatedral.gob.ar,none
cesba.gob.ar,gob.ar,301,none
cetmic.gob.ar,gob.ar,Could not resolve host: cetmic.gob.ar,none
cgp-catamarca.gob.ar,gob.ar,Could not resolve host: cgp-catamarca.gob.ar,none
chaco.gob.ar,chaco.gob.ar,,
chubut.gob.ar,chubut.gob.ar,,
ci.pinamar.gob.ar,gob.ar,Could not resolve host: ci.pinamar.gob.ar,none
cificen.gob.ar,gob.ar,Could not resolve host: cificen.gob.ar,none
cipolletti.gob.ar,gob.ar,200,10 mail.cipolletti.gob.ar.
cippa.gob.ar,gob.ar,Could not resolve host: cippa.gob.ar,none
citc.gob.ar,gob.ar,Could not resolve host: citc.gob.ar,none
ciudadmalvinas.gob.ar,gob.ar,Could not resolve host: ciudadmalvinas.gob.ar,none
civetan-conicet.gob.ar,gob.ar,SSL: no alternative certificate subject name matches target hostname 'civetan-conicet.gob.ar',none
clic.gob.ar,gob.ar,Could not resolve host: clic.gob.ar,none
cloud.afip.gob.ar,gob.ar,Could not resolve host: cloud.afip.gob.ar,none
cloud.gendarmeria.gob.ar,gob.ar,Could not resolve host: cloud.gendarmeria.gob.ar,none
cloud.rosario-conicet.gob.ar,gob.ar,302,none
cloud1.oroverde.gob.ar,gob.ar,Could not resolve host: cloud1.oroverde.gob.ar,none
cloudint.mininterior.gob.ar,gob.ar,Could not resolve host: cloudint.mininterior.gob.ar,none
cluster.rosario-conicet.gob.ar,gob.ar,200,2 mail3.rosario-conicet.gov.ar.; 1 mail.rosario-conicet.gov.ar.
cnc.gob.ar,gob.ar,Could not resolve host: cnc.gob.ar,10 relay3.sicyt.gob.ar.; 5 relay4.sicyt.gob.ar.
cnmmlh.gob.ar,gob.ar,Could not resolve host: cnmmlh.gob.ar,none
cnrt.gob.ar,gob.ar,403,none
cnuggi.ign.gob.ar,gob.ar,Could not resolve host: cnuggi.ign.gob.ar,none
cofefup.gob.ar,gob.ar,Could not resolve host: cofefup.gob.ar,none
coirco.gob.ar,gob.ar,Could not resolve host: coirco.gob.ar,0 coirco.gob.ar.
coloniapellegrini.gob.ar,gob.ar,Could not resolve host: coloniapellegrini.gob.ar,none
coloniasarmiento.gob.ar,gob.ar,Could not resolve host: coloniasarmiento.gob.ar,none
comarb.gob.ar,gob.ar,301,none
comdoc.jus.gob.ar,gob.ar,403,none
comitecontralatrata.gob.ar,gob.ar,Could not resolve host: comitecontralatrata.gob.ar,20 pmg1.multidominio.gob.ar.; 10 pmg2.multidominio.gob.ar.
complejoastronomico.gob.ar,gob.ar,Could not resolve host: complejoastronomico.gob.ar,none
complejoteatral.gob.ar,gob.ar,200,none
comprar.gob.ar,gob.ar,Could not resolve host: comprar.gob.ar,none
compras.afip.gob.ar,gob.ar,Could not resolve host: compras.afip.gob.ar,none
comunadealejandra.gob.ar,gob.ar,Could not resolve host: comunadealejandra.gob.ar,none
comunadepilar.gob.ar,gob.ar,200,20 mx1.comunadepilar.gob.ar.; 0 mail.comunadepilar.gob.ar.
comunicaciontucuman.gob.ar,gob.ar,Could not resolve host: comunicaciontucuman.gob.ar,none
concejocdg.gob.ar,gob.ar,Could not resolve host: concejocdg.gob.ar,none
