subdomain,http_status,mx
fijianmade.gov.fj,Could not resolve host: fijianmade.gov.fj,none
fijifiu.gov.fj,Could not resolve host: fijifiu.gov.fj,none
fijindp.gov.fj,Could not resolve host: fijindp.gov.fj,none
fisheries.gov.fj,Could not resolve host: fisheries.gov.fj,10 cust62323-2.in.mailcontrol.com.; 10 cust62323-1.in.mailcontrol.com.
fleet.economy.gov.fj,Could not resolve host: fleet.economy.gov.fj,none
fls.gov.fj,Could not resolve host: fls.gov.fj,10 cust62323-2.in.mailcontrol.com.; 10 cust62323-1.in.mailcontrol.com.
forestry.gov.fj,Could not resolve host: forestry.gov.fj,none
forms.itc.gov.fj,Could not resolve host: forms.itc.gov.fj,none
fpo.gov.fj,Could not resolve host: fpo.gov.fj,10 cust62323-2.in.mailcontrol.com.; 10 cust62323-1.in.mailcontrol.com.
gov.fj,,10 imc4.govnet.gov.fj.; 20 imc5.govnet.gov.fj.; 10 imc7.govnet.gov.fj.; 20 imc6.govnet.gov.fj.; 10 imc9.govnet.gov.fj.; 10 imc8.govnet.gov.fj.
health.gov.fj,Could not resolve host: health.gov.fj,10 cust62323-1.in.mailcontrol.com.; 10 cust62323-2.in.mailcontrol.com.
helpdesk.mcttt.gov.fj,Could not resolve host: helpdesk.mcttt.gov.fj,none
housing.gov.fj,Could not resolve host: housing.gov.fj,10 govnet.gov.fj.
hris.mcttt.gov.fj,Could not resolve host: hris.mcttt.gov.fj,none
hris.mitt.gov.fj,Could not resolve host: hris.mitt.gov.fj,none
hrm.fhec.gov.fj,Could not resolve host: hrm.fhec.gov.fj,none
inventoryportal.economy.gov.fj,Could not resolve host: inventoryportal.economy.gov.fj,none
itaukeiaffairsboard.tab.gov.fj,Could not resolve host: itaukeiaffairsboard.tab.gov.fj,none
itc.gov.fj,Could not resolve host: itc.gov.fj,10 cust62323-1.in.mailcontrol.com.; 10 cust62323-2.in.mailcontrol.com.
judgments.ag.gov.fj,Could not resolve host: judgments.ag.gov.fj,none
judiciary.gov.fj,Could not resolve host: judiciary.gov.fj,none
justice.gov.fj,Could not resolve host: justice.gov.fj,none
keyentry.met.gov.fj,Could not resolve host: keyentry.met.gov.fj,none
lands.gov.fj,Could not resolve host: lands.gov.fj,10 cust62323-1.in.mailcontrol.com.; 10 cust62323-2.in.mailcontrol.com.
laws.gov.fj,Could not resolve host: laws.gov.fj,none
licence.mcttt.gov.fj,Could not resolve host: licence.mcttt.gov.fj,none
licence.mitt.gov.fj,Could not resolve host: licence.mitt.gov.fj,none
lms.met.gov.fj,Could not resolve host: lms.met.gov.fj,none
lpgtraining.fccc.gov.fj,Could not resolve host: lpgtraining.fccc.gov.fj,none
mail.ag.gov.fj,Could not resolve host: mail.ag.gov.fj,none
mail.commcomm.gov.fj,Could not resolve host: mail.commcomm.gov.fj,none
mail.dns.fccc.gov.fj,Could not resolve host: mail.dns.fccc.gov.fj,none
mail.education.gov.fj,Could not resolve host: mail.education.gov.fj,none
mail.fccc.gov.fj,Could not resolve host: mail.fccc.gov.fj,none
mail.fijianmade.gov.fj,Could not resolve host: mail.fijianmade.gov.fj,none
mail.fijifiu.gov.fj,Could not resolve host: mail.fijifiu.gov.fj,none
mail.fisheries.gov.fj,Could not resolve host: mail.fisheries.gov.fj,none
mail.fpib.gov.fj,Operation timed out after 3000 milliseconds with 0 bytes received,none
mail.hris.mitt.gov.fj,Could not resolve host: mail.hris.mitt.gov.fj,none
mail.judgments.ag.gov.fj,Could not resolve host: mail.judgments.ag.gov.fj,none
mail.mcttt.gov.fj,301,none
mail.mitt.gov.fj,Could not resolve host: mail.mitt.gov.fj,none
mail.rbf.gov.fj,Could not resolve host: mail.rbf.gov.fj,none
mail.rise.gov.fj,Could not resolve host: mail.rise.gov.fj,none
mail.statsfiji.gov.fj,200,none
mail.youthawards.gov.fj,Could not resolve host: mail.youthawards.gov.fj,none
mcs.gov.fj,Connection timed out after 3000 milliseconds,none
mcsmoodle.gov.fj,Could not resolve host: mcsmoodle.gov.fj,none
mcttt.gov.fj,301,none
mdm.met.gov.fj,Failed to connect to mdm.met.gov.fj port 443 after 882 ms: Could not connect to server,none
met.gov.fj,Could not resolve host: met.gov.fj,none
mitt.gov.fj,Could not resolve host: mitt.gov.fj,none
mlg.gov.fj,Connection timed out after 3002 milliseconds,none
mowe.gov.fj,Connection timed out after 3001 milliseconds,10 cust62323-1.in.mailcontrol.com.; 10 cust62323-2.in.mailcontrol.com.
msme.mcttt.gov.fj,Could not resolve host: msme.mcttt.gov.fj,none
msme.mitt.gov.fj,Could not resolve host: msme.mitt.gov.fj,none
myleaseinfo.lands.gov.fj,Connection timed out after 3000 milliseconds,none
necregistration.gov.fj,Could not resolve host: necregistration.gov.fj,none
nes.mcttt.gov.fj,500,none
odds.fijifiu.gov.fj,200,none
oldsite.commcomm.gov.fj,Could not resolve host: oldsite.commcomm.gov.fj,none
pcm.fccc.gov.fj,526,none
phin.digitalfiji.gov.fj,Connection timed out after 3000 milliseconds,none
police.gov.fj,Connection timed out after 3001 milliseconds,none
portal.rbf.gov.fj,302,none
ppsr.gov.fj,200,none
presidentsoffice.gov.fj,Connection timed out after 3000 milliseconds,10 cust62323-1.in.mailcontrol.com.; 10 cust62323-2.in.mailcontrol.com.
qaeservices.e.gov.fj,Connection timed out after 3000 milliseconds,none
rbf.gov.fj,307,none
recruitmentportal.gov.fj,Connection timed out after 3000 milliseconds,10 cust62323-1.in.mailcontrol.com.; 10 cust62323-2.in.mailcontrol.com.
registryportal.economy.gov.fj,Could not resolve host: registryportal.economy.gov.fj,none
reregistration.justice.gov.fj,Connection timed out after 3000 milliseconds,none
rise.gov.fj,Operation timed out after 3000 milliseconds with 0 bytes received,none
saac.gov.fj,Connection timed out after 3001 milliseconds,10 cust62323-2.in.mailcontrol.com.; 10 cust62323-1.in.mailcontrol.com.
servc.met.gov.fj,Connection timed out after 3000 milliseconds,none
server.fccc.gov.fj,526,none
simoli.met.gov.fj,Could not resolve host: simoli.met.gov.fj,none
site1.mcttt.gov.fj,500,none
site2.mcttt.gov.fj,404,none
site3.mcttt.gov.fj,Could not resolve host: site3.mcttt.gov.fj,none
sormas.gov.fj,Connection timed out after 3001 milliseconds,none
statistics.rbf.gov.fj,Operation timed out after 3002 milliseconds with 0 bytes received,none
stats.rbf.gov.fj,Could not resolve host: stats.rbf.gov.fj,none
stormsurge.met.gov.fj,Connection timed out after 3000 milliseconds,none
submission.mitt.gov.fj,Could not resolve host: submission.mitt.gov.fj,none
sugar.gov.fj,Connection timed out after 3001 milliseconds,none
survey.mcttt.gov.fj,200,none
survey.mitt.gov.fj,Could not resolve host: survey.mitt.gov.fj,none
