hostname,score,sources,label,level,http_status,mx
minmol.tatarstan.ru,7,wikidata;wikidata,Ministry of youth affairs of the Republic of Tatarstan,central-1,HttpConnectTimeoutException: HTTP connect timed out,none
minobr.rkomi.ru,7,wikidata;wikidata,Ministry of Education and Youth Policy of the Republic of Komi,central-1,HttpConnectTimeoutException: HTTP connect timed out,10 mx2.rkomi.ru.; 10 mx3.rkomi.ru.
minzdrav.tatarstan.ru,7,wikidata;wikidata,Ministry of Health of the Republic of Tatarstan,central-1,HttpConnectTimeoutException: HTTP connect timed out,none
mk-chr.ru,7,wikidata;wikidata,Q16676553,,200,10 emx.mail.ru.
mon.tatarstan.ru,7,wikidata;wikidata;wikidata;wikidata,Ministry of Education and Science of the Republic of Tatarstan,central-1,HttpConnectTimeoutException: HTTP connect timed out,none
morb.ru,7,wikidata;wikidata,Ministry of Education,central-1,HttpConnectTimeoutException: HTTP connect timed out,none
mosoblduma.ru,7,wikidata;wikidata,Moscow Oblast Duma,central-1,301,10 mail.mosoblduma.ru.
mpr.rkomi.ru,7,wikidata;wikidata,Ministry of Natural Resources and Environmental Protection of the Komi Republic,central-1,HttpConnectTimeoutException: HTTP connect timed out,none
mpt.tatarstan.ru,7,wikidata;wikidata;wikidata;wikidata;wikidata;wikidata,Republic of Tatarstan Ministry of Trade and Industry,central-1,HttpConnectTimeoutException: HTTP connect timed out,none
mtsz.tatarstan.ru,7,wikidata;wikidata,"Ministry of Labour, Employment and Social Services of the Republic of Tatarstan",central-1,HttpConnectTimeoutException: HTTP connect timed out,none
mvdrd.ru,7,wikidata;wikidata,Ministry of Internal Affairs of Dagestan,,HttpTimeoutException: request timed out,none
mzio.tatarstan.ru,7,wikidata;wikidata,Ministry of Land and Property Relations,central-1,HttpConnectTimeoutException: HTTP connect timed out,none
nsrd.ru,7,wikidata;wikidata,People's Assembly of the Republic of Dagestan,central-1,403,10 mx.yandex.net.
ojm.tatarstan.ru,7,wikidata;wikidata;wikidata;wikidata,State Committee of the Republic of Tatarstan for Biological Resources,central-1,HttpConnectTimeoutException: HTTP connect timed out,none
parlamentchr.ru,7,wikidata;wikidata,Parliament of the Chechen Republic,central-1,200,20 dns2.yandex.net.; 10 mx.yandex.ru.; 20 mx2.beget.com.; 30 dns1.yandex.net.; 10 mx1.beget.com.
parlamentri.ru,7,wikidata;wikidata,People's Assembly of the Republic of Ingushetia,central-1,200,10 emx.mail.ru.
prlib.ru,7,wikidata;wikidata,Boris Yeltsin Presidential Library,,301,8 fe2cgp.prlib.ru.; 6 mx2.prlib.ru.; 50 msg02.prlib.ru.; 30 msg03.prlib.ru.; 10 msg06.prlib.ru.; 40 msg01.prlib.ru.; 5 mx1.prlib.ru.; 7 fe1cgp.prlib.ru.; 20 msg07.prlib.ru.
roscosmos.ru,7,wikidata;wikidata,Roscosmos State Corporation,,403,10 mx1.roscosmos.ru.; 10 mx2.roscosmos.ru.
rospotrebnadzor.ru,7,wikidata;wikidata,Federal Service for the Oversight of Consumer Protection and Welfare,,HttpConnectTimeoutException: HTTP connect timed out,10 smtp.sup.gsen.ru.
rsl.ru,7,wikidata;wikidata,Russian State Library,,301,10 relay.rsl.ru.
saamisups.ucoz.ru,7,wikidata;wikidata,Sami Parliament of Russia,,200,none
sledcom.ru,7,wikidata;wikidata,Investigative Committee of Russia,central,403,10 mail.sledcom.ru.
udmgossovet.ru,7,wikidata;wikidata,State Council of the Udmurt Republic,central-1,ConnectException,none
udmurt.ru,7,wikidata;wikidata,Q25686230,central-1,HttpConnectTimeoutException: HTTP connect timed out,10 mail.udmurt.ru.; 20 mail.udmurt.ru.
udprf.ru,7,wikidata;wikidata,Administrative Directorate of the President of the Russian Federation,central,200,none
volgograd.ru,7,wikidata;wikidata,administration of the Volgograd oblast,central-1,HttpConnectTimeoutException: HTTP connect timed out,none
zaksob.ru,7,wikidata;wikidata,Legislative Assembly of Orenburg Oblast,central-1,200,10 mx1.masterhost.ru.
zskaluga.ru,7,wikidata;wikidata;wikidata,Regional parliament of Kaluga,central-1,HttpConnectTimeoutException: HTTP connect timed out,none
zsso.ru,7,wikidata;wikidata,Legislative Assembly of Sverdlovsk Oblast,central-1,HttpConnectTimeoutException: HTTP connect timed out,30 smtp.zsso.ru.
khural.org,6,wikidata;wikidata;wikidata,Great Khural of Tuva,central-1,HttpConnectTimeoutException: HTTP connect timed out,none
petrovka-38.org,6,wikidata;wikidata,Moscow City Police,central-1,301,none
russland.ahk.de,6,wikidata;wikidata,German-Russian Chamber of Commerce Abroad,,HttpConnectTimeoutException: HTTP connect timed out,10 mail.russland.ahk.de.
xn--b1aew.xn--p1ai,6,wikidata;wikidata,Q4530598 | Q4339429,,HttpConnectTimeoutException: HTTP connect timed out,10 mail.mvd.ru.
gov.admhmao.ru,5,wikidata,Government of the Khanty-Mansiysk Autonomous Okrug - Ugra,central-1,447,200 mail03.admhmao.ru.; 200 relay02.admhmao.ru.; 200 mail02.admhmao.ru.; 200 mail01.admhmao.ru.; 200 relay01.admhmao.ru.; 200 mail04.admhmao.ru.; 10 mx01.admhmao.ru.
gov.cap.ru,5,wikidata,State Council of the Chuvash Republic,central-1,HttpConnectTimeoutException: HTTP connect timed out,none
parliament.mari.ru,5,wikidata,State Assembly of the Mari El Republic,central-1,ConnectException,none
01.mvd.ru,4,wikidata,Ministry of Internal Affairs of Adygea,,HttpConnectTimeoutException: HTTP connect timed out,none
06.mvd.ru,4,wikidata,Ministry of Internal Affairs,,HttpConnectTimeoutException: HTTP connect timed out,none
07.mvd.ru,4,wikidata,Ministry of Internal Affairs of Kabardino-Balkaria,,HttpConnectTimeoutException: HTTP connect timed out,none
08.mvd.ru,4,wikidata,Ministry of Internal Affairs of Kalmykia,,HttpConnectTimeoutException: HTTP connect timed out,none
09.mvd.ru,4,wikidata,Ministry of Internal Affairs of Karachay-Cherkessia,,HttpConnectTimeoutException: HTTP connect timed out,none
10.mvd.ru,4,wikidata,Ministry of Internal Affairs of the Republic of Karelia,,HttpConnectTimeoutException: HTTP connect timed out,none
12.mvd.ru,4,wikidata,Ministry of Internal Affairs of Mari El,,HttpConnectTimeoutException: HTTP connect timed out,none
13.mvd.ru,4,wikidata,Ministry of Internal Affairs of Mordovia,,HttpConnectTimeoutException: HTTP connect timed out,none
14.mvd.ru,4,wikidata,Ministry of Internal Affairs of Sakha Republic,,HttpConnectTimeoutException: HTTP connect timed out,none
15.mvd.ru,4,wikidata,Ministry of Internal Affairs of North Ossetia-Alania,,HttpConnectTimeoutException: HTTP connect timed out,none
16.mvd.ru,4,wikidata,Ministry of Internal Affairs in the Republic of Tatarstan,,HttpConnectTimeoutException: HTTP connect timed out,none
18.mvd.ru,4,wikidata,Ministry of Internal Affairs of Udmurtia,,HttpConnectTimeoutException: HTTP connect timed out,none
21.mvd.ru,4,wikidata,Ministry of Internal Affairs of Chuvashia,central-1,HttpConnectTimeoutException: HTTP connect timed out,none
22.mvd.ru,4,wikidata,Altai Krai Police,,HttpConnectTimeoutException: HTTP connect timed out,none
41.mvd.ru,4,wikidata,Kamchatka Krai Police,central-1,HttpConnectTimeoutException: HTTP connect timed out,none
79.mvd.ru,4,wikidata,Directorate for Internal Affairs,,HttpConnectTimeoutException: HTTP connect timed out,none
82.mvd.ru,4,wikidata,Ministry of Interior in the Republic of Crimea,central-1,HttpConnectTimeoutException: HTTP connect timed out,none
92.mvd.ru,4,wikidata,Sevastopol Police,central-1,HttpConnectTimeoutException: HTTP connect timed out,none
agro.tatarstan.ru,4,wikidata,Q52732615,central-1,HttpConnectTimeoutException: HTTP connect timed out,none
algerianembassy.ru,4,wikidata,"Embassy of Algeria, Moscow",central,200,none
ambacam.ru,4,wikidata,"Embassy of Cameroon, Moscow",central,SSLHandshakeException: (certificate_expired) PKIX path validation failed: java.security.cert.CertPathValidatorException: validity check failed,5 mx02.nicmail.ru.; 10 mx01.nicmail.ru.; 20 mx03.nicmail.ru.
ambamadagascar.ru,4,wikidata,"Embassy of Madagascar, Moscow",central,200,10 mx1.hosting.reg.ru.; 20 mx2.hosting.reg.ru.
ambassenmos.ru,4,wikidata,"Embassy of Senegal, Moscow",central,200,10 _dc-mx.80f99666f9f1.ambassenmos.ru.; 20 _dc-mx.80f99666f9f1.ambassenmos.ru.
ambmaroc.ru,4,wikidata,"Embassy of Morocco, Moscow",central,200,none
angolarussia.ru,4,wikidata,"Embassy of Angola, Moscow",central,526,none
archive06.ru,4,wikidata,Q130488281,,200,10 mail.archive06.ru.
arheologpskov.ru,4,wikidata,"State Budgetary Institution of Culture of Pskov Oblast ""Archaeological Center of Pskov Oblast""",,SSLHandshakeException: (handshake_failure) Received fatal alert: handshake_failure,20 mx03.nicmail.ru.; 10 mx01.nicmail.ru.; 5 mx02.nicmail.ru.
assembly.spb.ru,4,wikidata,Legislative Assembly of Saint Petersburg,central-1,HttpConnectTimeoutException: HTTP connect timed out,35 relay.la.spb.ru.; 10 mail.assembly.spb.ru.; 20 mail.la.spb.ru.; 25 relay.assembly.spb.ru.
astroblduma.ru,4,wikidata,Duma of the Astrakhan Region,central-1,HttpConnectTimeoutException: HTTP connect timed out,8 mxs.armgs.team.
azembassy.msk.ru,4,wikidata,"Embassy of Azerbaijan, Moscow",central,SSLHandshakeException: (certificate_expired) PKIX path validation failed: java.security.cert.CertPathValidatorException: validity check failed,0 mail.azembassy.msk.ru.
bangladeshembassy.ru,4,wikidata,"Embassy of Bangladesh, Moscow",central,200,none
bolivia-rusia.ru,4,wikidata,"Embassy of Bolivia, Moscow",central,ConnectException,none
burundiemb.ru,4,wikidata,"Embassy of Burundi, Moscow",central,200,none
cbr.ru,4,wikidata,Central Bank of Russia,central,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,50 mx.cbr.ru.
center-albreht.ru,4,wikidata,Federal Scientific Center for the Rehabilitation of the Disabled by G.A. Albrecht of the Ministry of Labor and Social Protection of the Russian Federation,,200,10 mailbox.center-albreht.ru.
chem.ras.ru,4,wikidata,Department of Chemistry and Material Sciences,,ConnectException,none
chinaconsulate.khb.ru,4,wikidata,Consulate General of PRC in Vladivostok,,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching chinaconsulate.khb.ru found.,none
chkalovsky.svd.sudrf.ru,4,wikidata,Chkalovsky Districtional Court (Yekaterinburg),,200,none
cons-ua.ru,4,wikidata,Consulate-General of Ukraine in Saint Petersburg,,HttpConnectTimeoutException: HTTP connect timed out,none
cspfmba.ru,4,wikidata,"Federal State Budgetary Institution ""Centre for Strategic Planning and Management of Biomedical Health Risks"" of the Federal Medical and Biological Agency",,ConnectException,10 mail.cspfmba.ru.
culture.gov-murman.ru,4,wikidata,Q126485196,,200,none
dit.mos.ru,4,wikidata,Department of Information Technology in Moscow,central-1,HttpConnectTimeoutException: HTTP connect timed out,none
duma.chukotka.ru,4,wikidata,Duma of Chukotka Autonomous Okrug,central-1,HttpConnectTimeoutException: HTTP connect timed out,none
duma.khv.ru,4,wikidata,Legislative Duma of Khabarovsk Krai,central-1,ConnectException,5 duma-exch13.duma.khv.ru.; 20 relay.redcom.ru.
duma.murman.ru,4,wikidata,Murmansk Oblast Duma,central-1,ConnectException,none
duma.tomsk.ru,4,wikidata,Legislative Duma of Tomsk Oblast,central-1,200,3 duma.tomsk.ru.
duma.yar.ru,4,wikidata,Yaroslavl Oblast Duma,central-1,HttpTimeoutException: request timed out,10 mail.yarduma.ru.
duma32.ru,4,wikidata,Bryansk Oblast Duma,central-1,403,20 mail.duma32.ru.
duma39.ru,4,wikidata,Legislative Assembly of Kaliningrad Oblast,central-1,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,10 mail.duma39.ru.; 30 mx1.spaceweb.ru.; 20 mx1.gazinter.net.
dumasakhalin.ru,4,wikidata,Sakhalin Oblast Duma,central-1,HttpConnectTimeoutException: HTTP connect timed out,10 mail.dumasakhalin.ru.
dumask.ru,4,wikidata,Regional Parliament of Stavropol Krai,central-1,HttpConnectTimeoutException: HTTP connect timed out,10 mail.dumask.ru.
elkurultay.ru,4,wikidata,State Assembly of the Altai Republic,central-1,HttpConnectTimeoutException: HTTP connect timed out,20 mx2.timeweb.ru.; 10 mx1.timeweb.ru.
emb-abkhazia.ru,4,wikidata,"Embassy of Abkhazia, Moscow",central,200,10 mx1.spaceweb.ru.; 20 mx2.spaceweb.ru.
embaguate.ru,4,wikidata,"Embassy of Guatemala, Moscow",central,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,20 mx2.spaceweb.ru.; 10 mx1.spaceweb.ru.
embajadadom.ru,4,wikidata,embassy of the Dominican Republic in Russia,central,HttpConnectTimeoutException: HTTP connect timed out,20 _dc-mx.a04b9d5716e7.embajadadom.ru.; 10 _dc-mx.a04b9d5716e7.embajadadom.ru.
embapanamarusia.ru,4,wikidata,embassy of Panama in Russia,central,303,10 mx4.masterhost.ru.
embapar.ru,4,wikidata,"Embassy of Paraguay, Moscow",central,HttpConnectTimeoutException: HTTP connect timed out,none
embassybel.ru,4,wikidata,"Embassy of Belarus, Moscow",central,HttpConnectTimeoutException: HTTP connect timed out,10 mail.embassybel.ru.
english.gpntb.ru,4,wikidata,Russian National Public Library for Science and Technology,,HttpConnectTimeoutException: HTTP connect timed out,none
faprid.ru,4,wikidata,"Federal Agency for Legal Protection of Military Results, Special and Dual Purpose",,HttpConnectTimeoutException: HTTP connect timed out,10 mx1.timeweb.ru.; 20 mx2.timeweb.ru.
fgup-ohrana.ru,4,wikidata,Federal State Unitary Enterprise Guard (Russia),,HttpConnectTimeoutException: HTTP connect timed out,50 mx02.fgup-ohrana.ru.; 60 mx666.fgup-ohrana.ru.; 9 mx03.fgup-ohrana.ru.; 5 mx66.fgup-ohrana.ru.; 10 mx01.fgup-ohrana.ru.
frccsc.ru,4,wikidata,Federal Research Center “Computer Science and Control” of the Russian Academy of Sciences,,HttpConnectTimeoutException: HTTP connect timed out,10 postal.frccsc.ru.
gorduma.nnov.ru,4,wikidata,Nizhny Novgorod City Duma,,301,10 mail.r52.ru.
gpad.ac.ru,4,wikidata,Physical Sciences Division,,200,10 emx.mail.ru.
grants.extech.ru,4,wikidata,Council for Grants of the President of the Russian Federation,,200,dig error
gs.sev.sudrf.ru,4,wikidata,Q48941903,,HttpTimeoutException: request timed out,none
gsrm.ru,4,wikidata,State Assembly of the Republic of Mordovia,central-1,200,10 mail.gsrm.ru.
hamovnichesky.msk.sudrf.ru,4,wikidata,Khamovniki Districtional Court of Moscow,,200,none
health.bashkortostan.ru,4,wikidata,Ministry of Health (Bashkortostan),,HttpConnectTimeoutException: HTTP connect timed out,none
igps.ru,4,wikidata,Federal state educational institution of higher professional education of the Saint-Petersburg University of State fire service of EMERCOM of Russia,,ConnectException,10 emx.mail.ru.
jekatyerinburg.mfa.gov.hu,4,wikidata,"Consulate General of Hungary, Yekaterinburg",,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,none
kbs.spb.sudrf.ru,4,wikidata,Kuibyshevsky districtional court,,200,none
kenemb.ru,4,wikidata,"Embassy of Kenya, Moscow",central,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,20 mx2.spaceweb.ru.; 10 mx1.spaceweb.ru.
kgv.spb.sudrf.ru,4,wikidata,Q104774086,,200,none
