subdomain,parent_domain,http_status
100vjet.bashkiakorce.gov.al,gov.al,"Could not resolve host: 100vjet.bashkiakorce.gov.al"
absa.gov.al,gov.al,"Could not resolve host: absa.gov.al"
admin.drshdurres.gov.al,gov.al,"Could not resolve host: admin.drshdurres.gov.al"
admin.qnk.gov.al,gov.al,"Could not resolve host: admin.qnk.gov.al"
administrata.gov.al,gov.al,"Could not resolve host: administrata.gov.al"
akad.gov.al,gov.al,"200"
akbn.gov.al,gov.al,"SSL certificate problem: unable to get local issuer certificate"
akce.gov.al,gov.al,"Could not resolve host: akce.gov.al"
akreditim.dpa.gov.al,gov.al,"500"
akshi.gov.al,gov.al,"200"
albadentgroup.srd.gov.al,gov.al,"Could not resolve host: albadentgroup.srd.gov.al"
albarchive.gov.al,gov.al,"Could not resolve host: albarchive.gov.al"
albis.justice.gov.al,gov.al,"Could not resolve host: albis.justice.gov.al"
amf.gov.al,gov.al,"403"
amvv.qeverisjavendore.gov.al,gov.al,"Could not resolve host: amvv.qeverisjavendore.gov.al"
app.gov.al,gov.al,"200"
aqtn.gov.al,gov.al,"200"
arrsh.gov.al,gov.al,"301"
ars.qkev.gov.al,gov.al,"403"
arsimi.gov.al,gov.al,"200"
asd.gov.al,gov.al,"200"
ashr.gov.al,gov.al,"Could not resolve host: ashr.gov.al"
asp.gov.al,gov.al,"200"
ata.gov.al,gov.al,"403"
atelie.shkodrarinore.gov.al,gov.al,"Could not resolve host: atelie.shkodrarinore.gov.al"
atk-kredi.gov.al,gov.al,"SSL: no alternative certificate subject name matches target hostname 'atk-kredi.gov.al'"
atrako.gov.al,gov.al,"200"
autodiscover.absa.gov.al,gov.al,"Could not resolve host: autodiscover.absa.gov.al"
autodiscover.app.gov.al,gov.al,"Failed to connect to autodiscover.app.gov.al port 443 after 93 ms: Could not connect to server"
autodiscover.asd.gov.al,gov.al,"Failed to connect to autodiscover.asd.gov.al port 443 after 251 ms: Could not connect to server"
autodiscover.bashkiacerrik.gov.al,gov.al,"Could not resolve host: autodiscover.bashkiacerrik.gov.al"
autodiscover.bashkiadelvine.gov.al,gov.al,"Could not resolve host: autodiscover.bashkiadelvine.gov.al"
autodiscover.bashkiadevoll.gov.al,gov.al,"Failed to connect to autodiscover.bashkiadevoll.gov.al port 443 after 231 ms: Could not connect to server"
autodiscover.bashkiadivjake.gov.al,gov.al,"Failed to connect to autodiscover.bashkiadivjake.gov.al port 443 after 236 ms: Could not connect to server"
autodiscover.bashkiadropull.gov.al,gov.al,"Could not resolve host: autodiscover.bashkiadropull.gov.al"
