domain,label,level,name
gov.uk,aldhamsuffolk-pc,local,
gov.uk,aldingbourne-pc,local,
gov.uk,aldinghamparishcouncil,local,
gov.uk,aldingtonandbonnington-pc,local,
gov.uk,aldsworthparishcouncil,local,
gov.uk,aldwickparishcouncil,local,Aldwick Parish Council
gov.uk,aldwincleparishcouncil,local,
gov.uk,aldworth-pc,local,
gov.uk,alfoldparishcouncil,local,
gov.uk,alfordtowncouncil,local,
gov.uk,alfretontowncouncil,local,
gov.uk,algarkirkparishcouncil,local,
gov.uk,alkboroughwalcotparishcouncil,local,Alkborough
gov.uk,alkingtonparishcouncil,local,
gov.uk,allbrook-pc,local,
gov.uk,allcannings-pc,local,
gov.uk,allendaleparish,local,
gov.uk,allerdale,local,Allerdale Borough Council
gov.uk,allerparishcouncil,local,
gov.uk,allerthorpeparishcouncil,local,
gov.uk,allertonbywaterparishcouncil,local,
gov.uk,allesleyparishcouncil,local,
gov.uk,allhallows-pc,local,
gov.uk,allhallowskent-pc,local,
gov.uk,allingtonboscombewilts-pc,local,
gov.uk,allithwaiteandcartmel-pc,local,
gov.uk,allostockparishcouncil,local,
gov.uk,allsaints-pc,local,
gov.uk,allstrettonsmethcottwoolstaston-pc,local,
gov.uk,almeleyparishcouncil,local,
gov.uk,almondsburyparishcouncil,local,
gov.uk,alneparishcouncil,local,
gov.uk,alnwick-tc,local,Alnwick Town Council
gov.uk,alphetonparish,local,
gov.uk,alpingtonwithyelverton-pc,local,
gov.uk,alresfordparishcouncil,local,
gov.uk,alrewasparishcouncil,local,
gov.uk,alsagertowncouncil,local,
gov.uk,alstonmoorparish,local,
gov.uk,altarnunparishcouncil,local,
gov.uk,altham-pc,local,
gov.uk,althorneparishcouncil,local,
gov.uk,alton,local,Alton Town Council
gov.uk,altonsandhoneystreet-pc,local,
gov.uk,alveleyandromsley-pc,local,
gov.uk,alvescotparishcouncil,local,
gov.uk,alveston-pc,local,
gov.uk,alvingtonparishcouncil,local,
gov.uk,alwingtonparish,local,
gov.uk,alwintonparishcouncil,local,
gov.uk,alwoodleyparishcouncil,local,
gov.uk,amberhill-pc,local,
gov.uk,amberhillparishcouncil,local,
gov.uk,ambervalley,local,Amber Valley Borough Council
gov.uk,ambleston-cc,local,
gov.uk,amersham-tc,local,Amersham Town Council
gov.uk,amesburytowncouncil,local,
gov.uk,ammanford-tc,local,
gov.uk,amotherby-pc,local,
gov.uk,ampfieldparish,local,
gov.uk,ampleforth-pc,local,
gov.uk,ampneycrucis-pc,local,
gov.uk,amporthantsparishcouncil,local,
gov.uk,ampthill-tc,local,
gov.uk,ancaster-pc,local,
gov.uk,ancroftparishcouncil,local,
gov.uk,anderton-with-marbury-pc,local,
gov.uk,andover-tc,local,Andover Town Council
gov.uk,andoversfordparish,local,
gov.uk,anglecommunitycouncil,local,
gov.uk,anglesey,local,Isle of Anglesey County Council
gov.uk,angleseystaffs-pc,local,
gov.uk,angmering-pc,local,Angmering Parish Council
gov.uk,anlaby-common-pc,local,
gov.uk,annesleyparishcouncil,local,
