subdomain,http_status
go.gov.ao,"SSL: no alternative certificate subject name matches target hostname 'go.gov.ao'"
economia.gov.ao,"SSL: no alternative certificate subject name matches target hostname 'economia.gov.ao'"
huambo.gov.ao,"Could not resolve host: huambo.gov.ao"
hpl.gov.ao,"Could not resolve host: hpl.gov.ao"
huila.gov.ao,"Could not resolve host: huila.gov.ao"
ianorq.gov.ao,"Could not resolve host: ianorq.gov.ao"
iaac.gov.ao,"Could not resolve host: iaac.gov.ao"
ggpdtbo.gov.ao,"Could not resolve host: ggpdtbo.gov.ao"
formacao-distancia.gov.ao,"SSL: no alternative certificate subject name matches target hostname 'formacao-distancia.gov.ao'"
fimaangola.gov.ao,"SSL: no alternative certificate subject name matches target hostname 'fimaangola.gov.ao'"
formacao.gov.ao,"SSL: no alternative certificate subject name matches target hostname 'formacao.gov.ao'"
hmc.gov.ao,"Could not resolve host: hmc.gov.ao"
gueonline.gov.ao,"Could not resolve host: gueonline.gov.ao"
gueadmin.gov.ao,"Could not resolve host: gueadmin.gov.ao"
iln.gov.ao,"Could not resolve host: iln.gov.ao"
enad.gov.ao,"SSL: no alternative certificate subject name matches target hostname 'enad.gov.ao'"
expo-industria.mind.gov.ao,"SSL: no alternative certificate subject name matches target hostname 'expo-industria.mind.gov.ao'"
gabinetedequadros.gov.ao,"SSL: no alternative certificate subject name matches target hostname 'gabinetedequadros.gov.ao'"
gabpcl.gov.ao,"SSL: no alternative certificate subject name matches target hostname 'gabpcl.gov.ao'"
idn.gov.ao,"Could not resolve host: idn.gov.ao"
iemp.gov.ao,"Could not resolve host: iemp.gov.ao"
gmece.gov.ao,"SSL: no alternative certificate subject name matches target hostname 'gmece.gov.ao'"
grecima.gov.ao,"SSL: no alternative certificate subject name matches target hostname 'grecima.gov.ao'"
gpiaa.gov.ao,"SSL: no alternative certificate subject name matches target hostname 'gpiaa.gov.ao'"
gpl.gov.ao,"SSL: no alternative certificate subject name matches target hostname 'gpl.gov.ao'"
gtr.gov.ao,"SSL: no alternative certificate subject name matches target hostname 'gtr.gov.ao'"
hospitalpsiquiatricodeluanda.gov.ao,"SSL: no alternative certificate subject name matches target hostname 'hospitalpsiquiatricodeluanda.gov.ao'"
fwpal01.oapr.gov.ao,"Could not resolve host: fwpal01.oapr.gov.ao"
idia.gov.ao,"SSL: no alternative certificate subject name matches target hostname 'idia.gov.ao'"
inabge.gov.ao,"Failed to connect to inabge.gov.ao port 443 after 342 ms: Could not connect to server"
autodiscover.imprensanacional.gov.ao,"302"
icoloebengo.luanda.gov.ao,"SSL: no alternative certificate subject name matches target hostname 'icoloebengo.luanda.gov.ao'"
ifal.gov.ao,"SSL: no alternative certificate subject name matches target hostname 'ifal.gov.ao'"
fada.gov.ao,"Could not resolve host: fada.gov.ao"
inadec.gov.ao,"Could not resolve host: inadec.gov.ao"
inema.gov.ao,"Could not resolve host: inema.gov.ao"
fadcom.gov.ao,"200"
igeo.gov.ao,"SSL: no alternative certificate subject name matches target hostname 'igeo.gov.ao'"
infotur.gov.ao,"Could not resolve host: infotur.gov.ao"
inar.gov.ao,"Could not resolve host: inar.gov.ao"
imprensanacional.gov.ao,"SSL: no alternative certificate subject name matches target hostname 'imprensanacional.gov.ao'"
hospitaldoprenda.gov.ao,"SSL: no alternative certificate subject name matches target hostname 'hospitaldoprenda.gov.ao'"
inis.gov.ao,"Could not resolve host: inis.gov.ao"
inamet.gov.ao,"SSL: no alternative certificate subject name matches target hostname 'inamet.gov.ao'"
inaarees.gov.ao,"SSL certificate problem: certificate has expired"
iaca.gov.ao,"SSL: no alternative certificate subject name matches target hostname 'iaca.gov.ao'"
gp.gov.ao,"200"
ife.minec.gov.ao,"SSL: no alternative certificate subject name matches target hostname 'ife.minec.gov.ao'"
ife.gov.ao,"SSL: no alternative certificate subject name matches target hostname 'ife.gov.ao'"
inovar.gov.ao,"Could not resolve host: inovar.gov.ao"
angolaonline.gov.ao,"SSL: no alternative certificate subject name matches target hostname 'angolaonline.gov.ao'"
intranet-qa.gov.ao,"Could not resolve host: intranet-qa.gov.ao"
itel.gov.ao,"Could not resolve host: itel.gov.ao"
gov.ao,"302"
inicc.gov.ao,"Could not resolve host: inicc.gov.ao"
inh.gov.ao,"Could not resolve host: inh.gov.ao"
igca.gov.ao,"301"
enapp.gov.ao,"301"
inabe.gov.ao,"SSL: no alternative certificate subject name matches target hostname 'inabe.gov.ao'"
inclusaodigital.gov.ao,"SSL: no alternative certificate subject name matches target hostname 'inclusaodigital.gov.ao'"
inea.gov.ao,"SSL: no alternative certificate subject name matches target hostname 'inea.gov.ao'"
iprocac.gov.ao,"Could not resolve host: iprocac.gov.ao"
inee.gov.ao,"SSL: no alternative certificate subject name matches target hostname 'inee.gov.ao'"
inpc.gov.ao,"Could not resolve host: inpc.gov.ao"
irsem.gov.ao,"Could not resolve host: irsem.gov.ao"
inefop.gov.ao,"SSL: no alternative certificate subject name matches target hostname 'inefop.gov.ao'"
dret.agt.minfin.gov.ao,"Could not resolve host: dret.agt.minfin.gov.ao"
inapem.gov.ao,"200"
inide.med.gov.ao,"Could not resolve host: inide.med.gov.ao"
incubadora.maptss.gov.ao,"Could not resolve host: incubadora.maptss.gov.ao"
inip.gov.ao,"SSL: no alternative certificate subject name matches target hostname 'inip.gov.ao'"
ipa.gov.ao,"Could not resolve host: ipa.gov.ao"
inotu.gov.ao,"SSL: no alternative certificate subject name matches target hostname 'inotu.gov.ao'"
initi.gov.ao,"SSL certificate problem: certificate has expired"
ciddema.gov.ao,"SSL certificate problem: certificate has expired"
kuandokubango.gov.ao,"Could not resolve host: kuandokubango.gov.ao"
gue.gov.ao,"302"
inee.med.gov.ao,"Could not resolve host: inee.med.gov.ao"
fatca.agt.minfin.gov.ao,"Could not resolve host: fatca.agt.minfin.gov.ao"
infqe.med.gov.ao,"Could not resolve host: infqe.med.gov.ao"
inagbe.gov.ao,"200"
infosi.gov.ao,"Could not resolve host: infosi.gov.ao"
benguela.gov.ao,"200"
lancoq.gov.ao,"Could not resolve host: lancoq.gov.ao"
ipgul.gov.ao,"SSL: no alternative certificate subject name matches target hostname 'ipgul.gov.ao'"
luis.gov.ao,"Could not resolve host: luis.gov.ao"
irse.gov.ao,"SSL: no alternative certificate subject name matches target hostname 'irse.gov.ao'"
