field,text
country_name,"Republic of South Sudan"
government_type,"presidential republic"
capital,"Juba"
chief_of_state,"President Salva KIIR Mayardit (since 9 July 2011)"
head_of_government,"President Salva KIIR Mayardit (since 9 July 2011)"
judicial_highest_courts,"Supreme Court of South Sudan (consists of a chief justice, deputy chief justice, and 5 additional justices); the 2011 Transitional Constitution of South Sudan calls for 9, rather than 5 additional justices"
constitution_history,"previous 2005 (pre-independence); latest signed 7 July 2011, effective 9 July 2011 (Transitional Constitution of the Republic of South Sudan, 2011)"
