hostname,score,sources,label,level
parlement.vs.ch,8,wikidata;wikidata,Grand Council of Valais,central-1
ag.ch,7,wikidata;wikidata,Grand Council of Aargau,central-1
ai.ch,7,wikidata;wikidata;wikidata,Landsgemeinde Appenzell Innerrhoden | Grand Council of Appenzell Innerrhoden,central-1
ar.ch,7,wikidata;wikidata,Cantonal Council of Appenzell Ausserrhoden,central-1
baselland.ch,7,wikidata;wikidata,Landrat of Basel-Landschaft,central-1
fr.ch,7,wikidata;wikidata;wikidata;wikidata,Grand Council of Fribourg,central-1
ge.ch,7,wikidata;wikidata,Grand Council of Geneva,central-1
gl.ch,7,wikidata;wikidata,Landrat of Glarus,central-1
gr.ch,7,wikidata;wikidata,Grand Council of Grisons,central-1
lu.ch,7,wikidata;wikidata,Cantonal Council of Lucerne,central-1
nw.ch,7,wikidata;wikidata,Landrat of Nidwalden,central-1
ow.ch,7,wikidata;wikidata,Cantonal Council of Obwalden,central-1
sg.ch,7,wikidata;wikidata,Cantonal Council of Sankt Gallen,central-1
sh.ch,7,wikidata;wikidata,Cantonal Council of Schaffhausen,central-1
sz.ch,7,wikidata;wikidata;wikidata;wikidata,Cantonal Council of Schwyz,central-1
www4.ti.ch,7,wikidata;wikidata,Grand Council of Ticino,central-1
zg.ch,7,wikidata;wikidata,Cantonal Council of Zug,central-1
allschwil.ch,7,wikidata;wikidata;wikidata;wikidata,Q114859480,local
biel-bienne.ch,7,wikidata;wikidata,Q137886745,local
gemeinderat-zuerich.ch,7,wikidata;wikidata,Zurich City Parliament,local
gemeinderat.winterthur.ch,7,wikidata;wikidata,Winterthur Municipal Council,local
lausanne.ch,7,wikidata;wikidata,Q71801799,local
stadt-schaffhausen.ch,7,wikidata;wikidata,Q131731590,local
sion.ch,4,wikidata,Q135560728,local
stadt-zuerich.ch,4,wikidata,Zurich City Council,local
