hostname,http_status,mx
nairobi.mfa.gov.hu,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,none
ndma.go.ke,200,40 alt4.aspmx.l.google.com.; 20 alt1.aspmx.l.google.com.; 10 aspmx.l.google.com.; 40 alt3.aspmx.l.google.com.; 30 alt2.aspmx.l.google.com.
nema.go.ke,200,1 mail.nema.go.ke.
norway.no,301,0 mx.domeneshop.no.
nrf.go.ke,HttpConnectTimeoutException: HTTP connect timed out,0 nrf-go-ke.mail.protection.outlook.com.
ombudsman.go.ke,200,0 ombudsman-go-ke.mail.protection.outlook.com.
parliament.go.ke,200,0 parliament-go-ke.mail.protection.outlook.com.
pharmacyboardkenya.org,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,5 alt1.aspmx.l.google.com.; 10 alt4.aspmx.l.google.com.; 10 alt3.aspmx.l.google.com.; 1 aspmx.l.google.com.; 5 alt2.aspmx.l.google.com.
posta.co.ke,200,0 mx-in-01.posta.co.ke.; 5 mx-in-02.posta.co.ke.
publicservice.go.ke,301,5 mail.publicservice.go.ke.
rba.go.ke,403,10 rba-go-ke.mail.protection.outlook.com.
russembkenya.mid.ru,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,none
seaturtle.wildlifedirect.org,ConnectException,none
sportsheritage.go.ke,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching sportsheritage.go.ke found.,0 sportsheritage-go-ke.mail.protection.outlook.com.
swedenabroad.se,301,none
transport.go.ke,200,0 mx3.govmail.ke.; 0 mx1.govmail.ke.; 0 mx2.govmail.ke.
treasury.go.ke,200,5 mx2.govmail.ke.; 5 mx3.govmail.ke.; 5 mx1.govmail.ke.; 5 mx4.govmail.ke.
unesco.go.ke,200,0 unesco-go-ke.mail.protection.outlook.com.
wajir.go.ke,200,5 smtp02.safaricombusiness.co.ke.; 0 rat-01.safaricombusiness.co.ke.; 0 rat-02.safaricombusiness.co.ke.; 5 smtp01.safaricombusiness.co.ke.
waterfund.go.ke,200,0 waterfund-go-ke.mail.protection.outlook.com.
wrti.go.ke,200,5 mx2.govmail.ke.; 5 mx1.govmail.ke.; 5 mx3.govmail.ke.
