hostname,score,sources,label,level,http_status,mx
gistda.or.th,7,wikidata;wikidata,Geo-Informatics and Space Technology Development Agency,,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,1 aspmx.l.google.com.; 10 alt4.aspmx.l.google.com.; 100 gistda-or-th.mail.protection.outlook.com.; 5 alt1.aspmx.l.google.com.; 5 alt2.aspmx.l.google.com.; 10 alt3.aspmx.l.google.com.
royaloffice.th,7,wikidata;wikidata,Bureau of the Royal Household,central,308,10 mx2.workd.go.th.; 0 mx1.workd.go.th.
constitutionalcourt.or.th,6,wikidata,Constitutional Court of Thailand,,302,0 mx2.workd.go.th.; 0 mx1.workd.go.th.
office.constitutionalcourt.or.th,6,wikidata,Office of the Constitutional Court of Thailand,,HttpConnectTimeoutException: HTTP connect timed out,none
aerothai.co.th,4,wikidata,Aeronautical Radio of Thailand,,200,0 aerothai-co-th.mail.protection.outlook.com.
bangkok.mfa.gov.hu,4,wikidata,embassy of Hungary to Thailand,central,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,none
biotec.or.th,4,wikidata,BIOTEC,,HttpConnectTimeoutException: HTTP connect timed out,10 biotec-or-th.mail.protection.outlook.com.
bot.or.th,4,wikidata,Bank of Thailand,,HttpConnectTimeoutException: HTTP connect timed out,20 mxb-0050d802.gslb.pphosted.com.; 20 mxa-0050d802.gslb.pphosted.com.
cicot.or.th,4,wikidata,Central Islamic Council of Thailand,,HttpConnectTimeoutException: HTTP connect timed out,10 ALT4.ASPMX.L.GOOGLE.COM.; 1 ASPMX.L.GOOGLE.COM.; 5 ALT1.ASPMX.L.GOOGLE.COM.; 10 ALT3.ASPMX.L.GOOGLE.COM.; 5 ALT2.ASPMX.L.GOOGLE.COM.
en.thaihealth.or.th,4,wikidata,Thai Health Promotion Foundation,,200,none
glo.or.th,4,wikidata,Thai Government Lottery Office,,ConnectException,10 rmx10.readyidc.com.; 20 rmx20.readyidc.com.
gpo.or.th,4,wikidata,Government Pharmaceutical Organization,,200,dig error
ksp.or.th,4,wikidata,Teachers' Council of Thailand,,ConnectException,0 ksp-or-th.mail.protection.outlook.com.
