qid,label
Q200938,Loreto Department
Q201162,Amazonas Department
Q205057,Cusco Department
Q205068,Arequipa Department
Q205078,Cajamarca Department
Q205089,Áncash Department
Q205104,Puno Department
Q205112,Ayacucho Department
Q205126,La Libertad Department
Q207413,Tacna Department
Q207424,Ucayali Department
Q207973,Junín Department
Q208182,Moquegua Department
Q208183,Piura Department
Q208185,Apurímac Department
Q208186,Ica Department
Q209597,Tumbes Department
Q210061,Lambayeque Department
Q210896,Madre de Dios Department
Q211208,Pasco Department
Q211793,San Martin Department
Q211795,Lima Department
Q215221,Huanuco Department
Q2634400,Constitutional Province of Callao
Q505220,Huancavelica Department
