field,text
country_name,"Republic of India"
government_type,"federal parliamentary republic"
capital,"New Delhi"
chief_of_state,"President Droupadi MURMU (since 25 July 2022)"
head_of_government,"Prime Minister Narendra MODI (since 26 May 2014)"
judicial_highest_courts,"Supreme Court (consists of 28 judges, including the chief justice)"
constitution_history,"previous 1935 (pre-independence); latest draft completed 4 November 1949, adopted 26 November 1949, effective 26 January 1950"
