hostname,score,sources,label,level
parlamento.ao,8,wikidata;wikidata,National Assembly of Angola,central
minjud.gv.ao,7,wikidata;wikidata,Ministry of Youth and Sports,central
franciscanos.org.br,6,wikidata;wikidata,Q10354750,
tribunalconstitucional.ao,6,wikidata,Constitutional Court of Angola,
ao.usembassy.gov,4,wikidata,"Embassy of the United States, Luanda",central
bna.ao,4,wikidata,National Bank of Angola,
luanda.mfa.gov.hu,4,wikidata,Embassy of Hungary to Luanda,central
mofaic.gov.ae,4,wikidata,"Embassy of the United Arab Emirates, Luanda",central
trluanda.ao,4,wikidata,Q131156237,
angola.mid.ru,3,wikidata,embassy of Russia in Angola,central
ao.ambafrance.org,3,wikidata,"Embassy of France, Luanda",central
ao.chineseembassy.org,3,wikidata,"Embassy of the People's Republic of China, Luanda",central
cisacaxito.org,3,wikidata,Centro de Investigação em Saúde de Angola,
eeas.europa.eu,3,wikidata,Delegation of the European Union to Angola,
embaixada-de-cabo-verde-em-angola.odoo.com,3,wikidata,"Embassy of Cape Verde, Luanda",central
ghanaembassy-angola.com,3,wikidata,embassy of Ghana in Angola,central
kenyaembassyangola.com,3,wikidata,"Embassy of Kenya, Luanda",central
luanda.diplo.de,3,wikidata,"Embassy of Germany, Luanda",central
luanda.mae.ro,3,wikidata,embassy of Romania in Angola,central
nationallibraryofangola.org,3,wikidata,National Library of Angola,
norway.no,3,wikidata,"Embassy of Norway, Luanda",central
sinseangola.com,3,wikidata,Q20061241,central
