subdomain,http_status,mx
cpanel.cps-industries.gouv.ml,Could not resolve host: cpanel.cps-industries.gouv.ml,none
cpanel.crsikasso.gouv.ml,Could not resolve host: cpanel.crsikasso.gouv.ml,none
cpanel.ctrca.gouv.ml,Could not resolve host: cpanel.ctrca.gouv.ml,none
cpanel.decentralisation-oise.gouv.ml,Could not resolve host: cpanel.decentralisation-oise.gouv.ml,none
cpanel.defense.gouv.ml,Could not resolve host: cpanel.defense.gouv.ml,none
cpanel.developpementlocal.gouv.ml,Could not resolve host: cpanel.developpementlocal.gouv.ml,none
cpanel.dfmeducation.gouv.ml,Could not resolve host: cpanel.dfmeducation.gouv.ml,none
cpanel.dgce.gouv.ml,Could not resolve host: cpanel.dgce.gouv.ml,none
cpanel.dgct.gouv.ml,Could not resolve host: cpanel.dgct.gouv.ml,none
cpanel.diplomatie.gouv.ml,Could not resolve host: cpanel.diplomatie.gouv.ml,none
cpanel.dnat.gouv.ml,Could not resolve host: cpanel.dnat.gouv.ml,none
cpanel.economienumerique.gouv.ml,Could not resolve host: cpanel.economienumerique.gouv.ml,none
cpanel.education.gouv.ml,Could not resolve host: cpanel.education.gouv.ml,none
cpanel.energie.gouv.ml,200,none
cpanel.enseignementsuperieur.gouv.ml,200,none
cpanel.equipement.gouv.ml,Could not resolve host: cpanel.equipement.gouv.ml,none
cpanel.fonctionpublique.gouv.ml,Could not resolve host: cpanel.fonctionpublique.gouv.ml,none
cpanel.fp.gouv.ml,Resolving timed out after 3000 milliseconds,none
cpanel.infj.gouv.ml,Could not resolve host: cpanel.infj.gouv.ml,none
cpanel.investir.gouv.ml,SSL: no alternative certificate subject name matches target hostname 'cpanel.investir.gouv.ml',none
cpanel.justice.gouv.ml,200,none
cpanel.kayes.gouv.ml,Could not resolve host: cpanel.kayes.gouv.ml,none
cpanel.maliens-exterieur.gouv.ml,Could not resolve host: cpanel.maliens-exterieur.gouv.ml,none
cpanel.malinumerique2020.gouv.ml,Could not resolve host: cpanel.malinumerique2020.gouv.ml,none
cpanel.matp.gouv.ml,Could not resolve host: cpanel.matp.gouv.ml,none
cpanel.mct.gouv.ml,Could not resolve host: cpanel.mct.gouv.ml,none
cpanel.mef.gouv.ml,Could not resolve host: cpanel.mef.gouv.ml,none
cpanel.miic.gouv.ml,200,none
cpanel.mines.gouv.ml,403,none
cpanel.mj.gouv.ml,Could not resolve host: cpanel.mj.gouv.ml,none
cpanel.mopti.gouv.ml,Could not resolve host: cpanel.mopti.gouv.ml,none
cpanel.mpfef.gouv.ml,Could not resolve host: cpanel.mpfef.gouv.ml,none
cpanel.omvf.gouv.ml,Could not resolve host: cpanel.omvf.gouv.ml,none
cpanel.pme.gouv.ml,Could not resolve host: cpanel.pme.gouv.ml,none
cpanel.portail.gouv.ml,Could not resolve host: cpanel.portail.gouv.ml,none
cpanel.reconciliation.gouv.ml,Could not resolve host: cpanel.reconciliation.gouv.ml,none
cpanel.reforme-justice.gouv.ml,Resolving timed out after 3000 milliseconds,none
cpanel.reformes.gouv.ml,Could not resolve host: cpanel.reformes.gouv.ml,none
cpanel.seagriculture.gouv.ml,Could not resolve host: cpanel.seagriculture.gouv.ml,none
cpanel.securite.gouv.ml,308,none
cpanel.sgg.gouv.ml,Could not resolve host: cpanel.sgg.gouv.ml,none
cpanel.solidarite.gouv.ml,Could not resolve host: cpanel.solidarite.gouv.ml,none
cpanel.tourisme.gouv.ml,SSL: no alternative certificate subject name matches target hostname 'cpanel.tourisme.gouv.ml',none
cpanel.transport.gouv.ml,Could not resolve host: cpanel.transport.gouv.ml,none
cpcalendars.adm.gouv.ml,Could not resolve host: cpcalendars.adm.gouv.ml,none
cpcalendars.anict.gouv.ml,Could not resolve host: cpcalendars.anict.gouv.ml,none
cpcalendars.archivesmali.gouv.ml,Could not resolve host: cpcalendars.archivesmali.gouv.ml,none
cpcalendars.artisanat.gouv.ml,SSL: no alternative certificate subject name matches target hostname 'cpcalendars.artisanat.gouv.ml',none
cpcalendars.budget.gouv.ml,Could not resolve host: cpcalendars.budget.gouv.ml,none
cpcalendars.cerclesegou.gouv.ml,Could not resolve host: cpcalendars.cerclesegou.gouv.ml,none
cpcalendars.certification.gouv.ml,Could not resolve host: cpcalendars.certification.gouv.ml,none
cpcalendars.cigma.gouv.ml,Could not resolve host: cpcalendars.cigma.gouv.ml,none
cpcalendars.cnlcp.gouv.ml,Could not resolve host: cpcalendars.cnlcp.gouv.ml,none
cpcalendars.cps-industries.gouv.ml,Could not resolve host: cpcalendars.cps-industries.gouv.ml,none
cpcalendars.crsikasso.gouv.ml,Could not resolve host: cpcalendars.crsikasso.gouv.ml,none
cpcalendars.ctrca.gouv.ml,Could not resolve host: cpcalendars.ctrca.gouv.ml,none
cpcalendars.decentralisation-oise.gouv.ml,Could not resolve host: cpcalendars.decentralisation-oise.gouv.ml,none
cpcalendars.developpementlocal.gouv.ml,Could not resolve host: cpcalendars.developpementlocal.gouv.ml,none
cpcalendars.dgce.gouv.ml,Could not resolve host: cpcalendars.dgce.gouv.ml,none
cpcalendars.dgct.gouv.ml,Could not resolve host: cpcalendars.dgct.gouv.ml,none
cpcalendars.diplomatie.gouv.ml,Could not resolve host: cpcalendars.diplomatie.gouv.ml,none
cpcalendars.fonctionpublique.gouv.ml,Could not resolve host: cpcalendars.fonctionpublique.gouv.ml,none
cpcalendars.fp.gouv.ml,Resolving timed out after 3000 milliseconds,none
cpcalendars.infj.gouv.ml,Could not resolve host: cpcalendars.infj.gouv.ml,none
cpcalendars.investir.gouv.ml,SSL: no alternative certificate subject name matches target hostname 'cpcalendars.investir.gouv.ml',none
cpcalendars.kayes.gouv.ml,Could not resolve host: cpcalendars.kayes.gouv.ml,none
cpcalendars.maliens-exterieur.gouv.ml,Could not resolve host: cpcalendars.maliens-exterieur.gouv.ml,none
cpcalendars.miic.gouv.ml,Could not resolve host: cpcalendars.miic.gouv.ml,none
cpcalendars.mines.gouv.ml,Could not resolve host: cpcalendars.mines.gouv.ml,none
cpcalendars.mopti.gouv.ml,Could not resolve host: cpcalendars.mopti.gouv.ml,none
cpcalendars.mpfef.gouv.ml,Could not resolve host: cpcalendars.mpfef.gouv.ml,none
cpcalendars.pme.gouv.ml,Could not resolve host: cpcalendars.pme.gouv.ml,none
cpcalendars.reforme-justice.gouv.ml,Could not resolve host: cpcalendars.reforme-justice.gouv.ml,none
cpcalendars.reformes.gouv.ml,Could not resolve host: cpcalendars.reformes.gouv.ml,none
cpcalendars.seagriculture.gouv.ml,Could not resolve host: cpcalendars.seagriculture.gouv.ml,none
cpcalendars.securite.gouv.ml,401,none
cpcalendars.tourisme.gouv.ml,Could not resolve host: cpcalendars.tourisme.gouv.ml,none
cpcontacts.adm.gouv.ml,Could not resolve host: cpcontacts.adm.gouv.ml,none
cpcontacts.anict.gouv.ml,Could not resolve host: cpcontacts.anict.gouv.ml,none
cpcontacts.archivesmali.gouv.ml,Could not resolve host: cpcontacts.archivesmali.gouv.ml,none
cpcontacts.artisanat.gouv.ml,SSL: no alternative certificate subject name matches target hostname 'cpcontacts.artisanat.gouv.ml',none
cpcontacts.budget.gouv.ml,Could not resolve host: cpcontacts.budget.gouv.ml,none
cpcontacts.cerclesegou.gouv.ml,Could not resolve host: cpcontacts.cerclesegou.gouv.ml,none
