hostname,mentions,evidence
heritagefund.org.uk,1,National Lottery Heritage Fund (Other)
hesa.ac.uk,1,Higher Education Statistics Agency (Other)
hfea.gov.uk,1,Human Fertilisation and Embryology Authority (Executive non-departmental public body)
historicengland.org.uk,1,Historic England (Executive non-departmental public body)
hmgcc.gov.uk,1,HM Government Communications Centre (Other)
horniman.ac.uk,1,Horniman Public Museum and Public Park Trust (Executive non-departmental public body)
housing-ombudsman.org.uk,1,Housing Ombudsman (Executive non-departmental public body)
hra.nhs.uk,1,Health Research Authority (Executive non-departmental public body)
hrp.org.uk,1,Historic Royal Palaces (Public corporation)
hscbusiness.hscni.net,1,HSC Business Services Organisation (Northern Ireland) (Executive non-departmental public body)
hse.gov.uk,1,Health and Safety Executive (Executive non-departmental public body)
hssib.org.uk,1,Health Services Safety Investigations Body (Executive non-departmental public body)
hta.gov.uk,1,Human Tissue Authority (Executive non-departmental public body)
iapdeathsincustody.independent.gov.uk,1,Independent Advisory Panel on Deaths in Detention (Advisory non-departmental public body)
ibca.org.uk,1,Infected Blood Compensation Authority (Other)
icai.independent.gov.uk,1,Independent Commission for Aid Impact (Advisory non-departmental public body)
ico.org.uk,1,Information Commissioner's Office (Executive non-departmental public body)
icrev.org.uk,1,Independent Complaints Reviewer (Other)
icrir.independent-inquiry.uk,1,The Independent Commission for Reconciliation and Information Recovery (Executive non-departmental public body)
ima-citizensrights.org.uk,1,Independent Monitoring Authority for the Citizens’ Rights Agreements (Executive non-departmental public body)
imb.org.uk,1,Independent Monitoring Boards (Other)
infrastructure-ni.gov.uk,1,Department for Infrastructure (Northern Ireland) (Other)
investni.com,1,Invest Northern Ireland (Other)
ipco.org.uk,1,Investigatory Powers Commissioner's Office (Other)
ipt-uk.com,1,Investigatory Powers Tribunal (Tribunal)
iraqinquiry.org.uk,1,Iraq Inquiry (Other)
iwm.org.uk,1,Imperial War Museum (Executive non-departmental public body)
jncc.defra.gov.uk,1,Joint Nature Conservation Committee (Executive non-departmental public body)
