subdomain,parent_domain,http_status
cpanel.scholarships.gov.tt,gov.tt,Could not resolve host: cpanel.scholarships.gov.tt
cpanel.sport.gov.tt,gov.tt,Could not resolve host: cpanel.sport.gov.tt
cpanel.tradeind.gov.tt,gov.tt,Could not resolve host: cpanel.tradeind.gov.tt
cpcalendars.cisl.gov.tt,gov.tt,Could not resolve host: cpcalendars.cisl.gov.tt
cpcalendars.cityofportofspain.gov.tt,gov.tt,Could not resolve host: cpcalendars.cityofportofspain.gov.tt
cpcalendars.cso.gov.tt,gov.tt,200
cpcalendars.hdc.gov.tt,gov.tt,Could not resolve host: cpcalendars.hdc.gov.tt
cpcalendars.msya.gov.tt,gov.tt,Could not resolve host: cpcalendars.msya.gov.tt
cpcalendars.prison.gov.tt,gov.tt,Could not resolve host: cpcalendars.prison.gov.tt
cpcalendars.sport.gov.tt,gov.tt,Could not resolve host: cpcalendars.sport.gov.tt
cpcalendars.tradeind.gov.tt,gov.tt,Could not resolve host: cpcalendars.tradeind.gov.tt
cpcontacts.cisl.gov.tt,gov.tt,503
cpcontacts.cityofportofspain.gov.tt,gov.tt,Could not resolve host: cpcontacts.cityofportofspain.gov.tt
cpcontacts.cso.gov.tt,gov.tt,200
cpcontacts.hdc.gov.tt,gov.tt,Could not resolve host: cpcontacts.hdc.gov.tt
cpcontacts.msya.gov.tt,gov.tt,TLS connect error: error:0A000458:SSL routines::tlsv1 unrecognized name
cpcontacts.prison.gov.tt,gov.tt,Could not resolve host: cpcontacts.prison.gov.tt
cpcontacts.sport.gov.tt,gov.tt,Could not resolve host: cpcontacts.sport.gov.tt
cpcontacts.tradeind.gov.tt,gov.tt,Could not resolve host: cpcontacts.tradeind.gov.tt
crdv.gov.tt,gov.tt,SSL certificate problem: self-signed certificate
crm.social.gov.tt,gov.tt,Could not resolve host: crm.social.gov.tt
cso.gov.tt,gov.tt,200
curriculum.moe.gov.tt,gov.tt,Connection timed out after 3001 milliseconds
d0001eca01.gov.tt,gov.tt,Could not resolve host: d0001eca01.gov.tt
d0001eca02.gov.tt,gov.tt,Could not resolve host: d0001eca02.gov.tt
d0002eca01.gov.tt,gov.tt,Could not resolve host: d0002eca01.gov.tt
d0002eca02.gov.tt,gov.tt,Could not resolve host: d0002eca02.gov.tt
da.nalis.gov.tt,gov.tt,Could not resolve host: da.nalis.gov.tt
data.gov.tt,gov.tt,200
delta.social.gov.tt,gov.tt,Could not resolve host: delta.social.gov.tt
dev.sport.gov.tt,gov.tt,Could not resolve host: dev.sport.gov.tt
dhsstha.gov.tt,gov.tt,Could not resolve host: dhsstha.gov.tt
dhwfd.gov.tt,gov.tt,Could not resolve host: dhwfd.gov.tt
dialin.mpa.gov.tt,gov.tt,Could not resolve host: dialin.mpa.gov.tt
digitization.planning.gov.tt,gov.tt,Connection timed out after 3000 milliseconds
dppexchange.dpp.gov.tt,gov.tt,302
e-gate.gov.tt,gov.tt,TLS connect error: error:0A000102:SSL routines::unsupported protocol
eas.mpsd.gov.tt,gov.tt,Could not resolve host: eas.mpsd.gov.tt
eas.social.gov.tt,gov.tt,Could not resolve host: eas.social.gov.tt
ec.gov.tt,gov.tt,200
ecp.social.gov.tt,gov.tt,Could not resolve host: ecp.social.gov.tt
edh.energy.gov.tt,gov.tt,Connection timed out after 3000 milliseconds
eduid.gov.tt,gov.tt,SSL: no alternative certificate subject name matches target hostname 'eduid.gov.tt'
email.gov.tt,gov.tt,302
email.mpsd.gov.tt,gov.tt,Connection timed out after 3002 milliseconds
email.social.gov.tt,gov.tt,302
emis.moe.gov.tt,gov.tt,Connection timed out after 3001 milliseconds
emm.mns.gov.tt,gov.tt,Could not resolve host: emm.mns.gov.tt
encryption-service.ird.gov.tt,gov.tt,Could not resolve host: encryption-service.ird.gov.tt
energy.gov.tt,gov.tt,SSL: no alternative certificate subject name matches target hostname 'energy.gov.tt'
epos.gov.tt,gov.tt,Connection timed out after 3002 milliseconds
epsilon.social.gov.tt,gov.tt,Could not resolve host: epsilon.social.gov.tt
equalopportunity.gov.tt,gov.tt,200
eris.ttps.gov.tt,gov.tt,Could not resolve host: eris.ttps.gov.tt
eros.ttps.gov.tt,gov.tt,Could not resolve host: eros.ttps.gov.tt
etax.ird.gov.tt,gov.tt,Could not resolve host: etax.ird.gov.tt
ews.mpsd.gov.tt,gov.tt,Connection timed out after 3000 milliseconds
ews.social.gov.tt,gov.tt,SSL: no alternative certificate subject name matches target hostname 'ews.social.gov.tt'
exams.moe.gov.tt,gov.tt,Operation timed out after 3000 milliseconds with 0 bytes received
exch-cas.ag.gov.tt,gov.tt,Could not resolve host: exch-cas.ag.gov.tt
exch.ag.gov.tt,gov.tt,Could not resolve host: exch.ag.gov.tt
exchcas01.poscorp.gov.tt,gov.tt,Could not resolve host: exchcas01.poscorp.gov.tt
extranet.auditorgeneral.gov.tt,gov.tt,Could not resolve host: extranet.auditorgeneral.gov.tt
extranet.finance.gov.tt,gov.tt,SSL: no alternative certificate subject name matches target hostname 'extranet.finance.gov.tt'
extranet2.finance.gov.tt,gov.tt,SSL: no alternative certificate subject name matches target hostname 'extranet2.finance.gov.tt'
fablab.niherst.gov.tt,gov.tt,404
fairshare.gov.tt,gov.tt,SSL certificate problem: unable to get local issuer certificate
fatca.ird.gov.tt,gov.tt,Could not resolve host: fatca.ird.gov.tt
fern.social.gov.tt,gov.tt,SSL: no alternative certificate subject name matches target hostname 'fern.social.gov.tt'
finance.gov.tt,gov.tt,301
