qid,label
Q12919,Majuro
Q152225,Bikini Atoll
Q152754,Ebon Atoll
Q168576,Jaluit Atoll
Q175931,Wotho Atoll
Q260549,Aur Atoll
Q309172,Kwajalein Atoll
Q376862,Lib Island
Q405164,Ailinginae Atoll
Q405165,Ailinglaplap Atoll
Q405378,Ailuk Atoll
Q518210,Wotje Atoll
Q518353,Likiep Atoll
Q542619,Rongelap Atoll
Q567926,Maloelap Atoll
Q649190,Enewetak Atoll
Q694057,Arno Atoll
Q697802,Ujae Atoll
Q697805,Jabat Island
Q697812,Bikar Atoll
Q697819,Namdrik Atoll
Q697826,Rongerik Atoll
Q697832,Kili Island
Q700015,Utirik Atoll
Q700051,Mili Atoll
Q700138,Bokak Atoll
Q703543,Mejit Island
Q703587,Toke Atoll
Q703596,Ujelang Atoll
Q703618,Erikub Atoll
Q703627,Namu Atoll
Q715830,Jemo Island
Q741121,Lae Atoll
