field,text
country_name,"Republic of Korea"
government_type,"presidential republic"
capital,"Seoul"
chief_of_state,"President LEE Jae-myung (since 4 June 2025)"
head_of_government,"Prime Minister KIM Min-seok (since 3 July 2025)"
judicial_highest_courts,"Supreme Court (consists of a chief justice and 13 justices); Constitutional Court (consists of a court head and 8 justices)"
constitution_history,"several previous; latest passed by National Assembly 12 October 1987, approved in referendum 28 October 1987, effective 25 February 1988"
