field,text
country_name,"none"
government_type,"parliamentary constitutional monarchy"
capital,"Tokyo"
chief_of_state,"Emperor NARUHITO (since 1 May 2019)"
head_of_government,"Prime Minister Sanae TAKAICHI (since 21 October 2025)"
judicial_highest_courts,"Supreme Court or Saiko saibansho (consists of the chief justice and 14 associate justices)"
constitution_history,"previous 1890; latest approved 6 October 1946, adopted 3 November 1946, effective 3 May 1947"
