subdomain,http_status
bt.gob.ve,"Could not resolve host: bt.gob.ve"
alcaldiasimonrodriguez.gob.ve,"Could not resolve host: alcaldiasimonrodriguez.gob.ve"
aula.anzoategui.gob.ve,"SSL: no alternative certificate subject name matches target hostname 'aula.anzoategui.gob.ve'"
academia.fundacite-amazonas.gob.ve,"Could not resolve host: academia.fundacite-amazonas.gob.ve"
actividades.ona.gob.ve,"Could not resolve host: actividades.ona.gob.ve"
box.austria.gob.ve,"Could not resolve host: box.austria.gob.ve"
bermudez.cgesucre.gob.ve,"Could not resolve host: bermudez.cgesucre.gob.ve"
alcaldiasucre-portuguesa.gob.ve,"Could not resolve host: alcaldiasucre-portuguesa.gob.ve"
bigbluebutton.mppp.gob.ve,"Could not resolve host: bigbluebutton.mppp.gob.ve"
anzoategui.gob.ve,"200"
alcaldiadecamatagua.gob.ve,"Could not resolve host: alcaldiadecamatagua.gob.ve"
alcaldiamirandacalabozo.gob.ve,"Could not resolve host: alcaldiamirandacalabozo.gob.ve"
alcaldiamunicipiosucre.gob.ve,"302"
autodiscover.sedebats.gob.ve,"Could not resolve host: autodiscover.sedebats.gob.ve"
casadelartista.gob.ve,"Could not resolve host: casadelartista.gob.ve"
cdn.sahum.gob.ve,"Could not resolve host: cdn.sahum.gob.ve"
autodiscover.alcaldiadecamatagua.gob.ve,"Could not resolve host: autodiscover.alcaldiadecamatagua.gob.ve"
car.caracas.gob.ve,"Could not resolve host: car.caracas.gob.ve"
bienes.ona.gob.ve,"Could not resolve host: bienes.ona.gob.ve"
certificados.fundacite-barinas.gob.ve,"Could not resolve host: certificados.fundacite-barinas.gob.ve"
bomberos.bomberosmerida.gob.ve,"Could not resolve host: bomberos.bomberosmerida.gob.ve"
bustrujillo.gob.ve,"Could not resolve host: bustrujillo.gob.ve"
bandes.gob.ve,"SSL certificate problem: unable to get local issuer certificate"
cescloud.cgesucre.gob.ve,"Could not resolve host: cescloud.cgesucre.gob.ve"
cmcarvajal.gob.ve,"Could not resolve host: cmcarvajal.gob.ve"
admin.alcaldiasanfelipe.gob.ve,"Could not resolve host: admin.alcaldiasanfelipe.gob.ve"
cmsp.gob.ve,"Could not resolve host: cmsp.gob.ve"
censo.zecarabobo.gob.ve,"403"
alcaldiaromulogallegoscojedes.gob.ve,"Could not resolve host: alcaldiaromulogallegoscojedes.gob.ve"
alcaldiabrion.gob.ve,"Could not resolve host: alcaldiabrion.gob.ve"
circuitorrb.gob.ve,"Could not resolve host: circuitorrb.gob.ve"
adminer.nuevaesparta.gob.ve,"Could not resolve host: adminer.nuevaesparta.gob.ve"
citasmarcelroche.fundacite-barinas.gob.ve,"Could not resolve host: citasmarcelroche.fundacite-barinas.gob.ve"
cne.gob.ve,"Could not resolve host: cne.gob.ve"
chacao.gob.ve,"200"
caracas.gob.ve,"Could not resolve host: caracas.gob.ve"
autodiscover.cmblcaracas.gob.ve,"Could not resolve host: autodiscover.cmblcaracas.gob.ve"
clave.desarrollominero.gob.ve,"Could not resolve host: clave.desarrollominero.gob.ve"
alcaldiadeguaicaipuro.gob.ve,"200"
autodiscover.carrizal-miranda.gob.ve,"Could not resolve host: autodiscover.carrizal-miranda.gob.ve"
