hostname,http_status,mx
casaccia.enea.it,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching casaccia.enea.it found.,none
ccm-network.it,ConnectException,none
cedrav.org,HttpConnectTimeoutException: HTTP connect timed out,1 smtp.google.com.
centronazionalesangue.it,HttpConnectTimeoutException: HTTP connect timed out,none
centroricerchealtolazio.it,HttpConnectTimeoutException: HTTP connect timed out,none
centroricerchemarine.it,301,10 mx.centroricerchemarine.it.
centrostudi.alumbria.it,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,none
cgsse.it,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,none
cinema.beniculturali.it,HttpConnectTimeoutException: HTTP connect timed out,none
cirps.it,301,none
cmcc.it,301,1 ASPMX.L.GOOGLE.COM.; 10 ALT4.ASPMX.L.GOOGLE.COM.; 5 ALT1.ASPMX.L.GOOGLE.COM.; 5 ALT2.ASPMX.L.GOOGLE.COM.; 10 ALT3.ASPMX.L.GOOGLE.COM.
cnel.it,HttpTimeoutException: request timed out,10 cnel-it.mail.protection.outlook.com.
cni.it,HttpConnectTimeoutException: HTTP connect timed out,none
cnr.it,301,10 cnr-it.mail.protection.outlook.com.
colosseo.it,HttpConnectTimeoutException: HTTP connect timed out,none
comolecco.camcom.it,HttpConnectTimeoutException: HTTP connect timed out,10 aspmx3.googlemail.com.; 1 aspmx.l.google.com.; 5 alt1.aspmx.l.google.com.; 10 aspmx2.googlemail.com.; 5 alt2.aspmx.l.google.com.
comune.ancona.it,302,none
comunelecceneimarsi.it,HttpConnectTimeoutException: HTTP connect timed out,none
consiglio.basilicata.it,200,5 gwetrust.rete.basilicata.it.
consiglio.marche.it,HttpConnectTimeoutException: HTTP connect timed out,5 consiglio-marche-it.mail.protection.outlook.com.
consiglio.puglia.it,HttpConnectTimeoutException: HTTP connect timed out,10 mail.consiglio.puglia.it.
consiglio.regione.abruzzo.it,HttpConnectTimeoutException: HTTP connect timed out,none
