hostname,score,sources,label,level
al.ac.leg.br,7,wikidata;wikidata,Legislative Assembly of Acre,
al.al.leg.br,7,wikidata;wikidata,Legislative Assembly of Alagoas,
al.go.leg.br,7,wikidata;wikidata,Legislative Assembly of Goiás,
al.ma.leg.br,7,wikidata;wikidata,Legislative Assembly of Maranhão,
al.pb.leg.br,7,wikidata;wikidata,Legislative Assembly of Paraíba,
al.pi.leg.br,7,wikidata;wikidata,Legislative Assembly of Piauí,
al.ro.leg.br,7,wikidata;wikidata,Legislative Assembly of Rondônia,
al.rr.leg.br,7,wikidata;wikidata,Legislative Assembly of Roraima,
cearamirim.rn.leg.br,7,wikidata;wikidata,Q118353169,
congressonacional.leg.br,7,wikidata;wikidata,National Congress of Brazil,
hortolandia.sp.leg.br,7,wikidata;wikidata,Q137124048,
franciscanos.org.br,4,wikidata,Q10354750,
jesuitasbrasil.org.br,4,wikidata,Brazilian Province of the Society of Jesus,
laranjalpaulista.sp.leg.br,4,wikidata,Town Council of Laranjal Paulista,
prefeituradeatibaia.com.br,4,wikidata,Q97936697,
saofidelis.rj.leg.br,4,wikidata,Q138736739,
araucaria.atende.net,3,wikidata,Q104848034,
escolapiosbrasilbolivia.org,3,wikidata,Piarist province of Brazil-Bolivia,
marechalcandidorondon.atende.net,3,wikidata,Q97936438,
pinhais.atende.net,3,wikidata,Pinhais City Hall,
