domain,level,source,name
ac.gov.br,central-1,manual,Acre
al.gov.br,central-1,manual,Alagoas
am.gov.br,central-1,manual,Amazonas
ap.gov.br,central-1,manual,Amapá
ba.gov.br,central-1,manual,Bahia
ce.gov.br,central-1,manual,Ceará
df.gov.br,central-1,manual,Distrito Federal
es.gov.br,central-1,manual,Espírito Santo
go.gov.br,central-1,manual,Goiás
gov.br,central,manual,
ma.gov.br,central-1,manual,Maranhão
mg.gov.br,central-1,manual,Minas Gerais
ms.gov.br,central-1,manual,Mato Grosso do Sul
mt.gov.br,central-1,manual,Mato Grosso
pa.gov.br,central-1,manual,Pará
pb.gov.br,central-1,manual,Paraíba
pe.gov.br,central-1,manual,Pernambuco
pi.gov.br,central-1,manual,Piauí
pr.gov.br,central-1,manual,Paraná
rj.gov.br,central-1,manual,Rio de Janeiro
rn.gov.br,central-1,manual,Rio Grande do Norte
ro.gov.br,central-1,manual,Rondônia
rr.gov.br,central-1,manual,Roraima
rs.gov.br,central-1,manual,Rio Grande do Sul
sc.gov.br,central-1,manual,Santa Catarina
se.gov.br,central-1,manual,Sergipe
sp.gov.br,central-1,manual,São Paulo
to.gov.br,central-1,manual,Tocantins
