domain,level,name
ac.gov.br,central-1,Acre
al.gov.br,central-1,Alagoas
am.gov.br,central-1,Amazonas
ap.gov.br,central-1,Amapá
ba.gov.br,central-1,Bahia
ce.gov.br,central-1,Ceará
df.gov.br,central-1,Distrito Federal
es.gov.br,central-1,Espírito Santo
go.gov.br,central-1,Goiás
gov.br,central,
ma.gov.br,central-1,Maranhão
mg.gov.br,central-1,Minas Gerais
ms.gov.br,central-1,Mato Grosso do Sul
mt.gov.br,central-1,Mato Grosso
pa.gov.br,central-1,Pará
pb.gov.br,central-1,Paraíba
pe.gov.br,central-1,Pernambuco
pi.gov.br,central-1,Piauí
pr.gov.br,central-1,Paraná
rj.gov.br,central-1,Rio de Janeiro
rn.gov.br,central-1,Rio Grande do Norte
ro.gov.br,central-1,Rondônia
rr.gov.br,central-1,Roraima
rs.gov.br,central-1,Rio Grande do Sul
sc.gov.br,central-1,Santa Catarina
se.gov.br,central-1,Sergipe
sp.gov.br,central-1,São Paulo
to.gov.br,central-1,Tocantins
