field,text
country_name,"United Mexican States"
government_type,"federal presidential republic"
capital,"Mexico City (Ciudad de Mexico)"
chief_of_state,"President Claudia SHEINBAUM Pardo (since 1 October 2024)"
head_of_government,"President Claudia SHEINBAUM Pardo (since 1 October 2024)"
judicial_highest_courts,"Supreme Court of Justice or Suprema Corte de Justicia de la Nación (consists of the chief justice and 11 justices and organized into civil, criminal, administrative, and labor panels) and the Electoral Tribunal of the Federal Judiciary (organized into the superior court, with 7 judges including the court president, and 5 regional courts, each with 3 judges)"
constitution_history,"several previous; latest approved 5 February 1917"
