subdomain,http_status
api.sgeg.sg.gov.cn,"Connection timed out after 3002 milliseconds"
api.tjgaj.gov.cn,"Could not resolve host: api.tjgaj.gov.cn"
api.zhiji.gov.cn,"Connection timed out after 3002 milliseconds"
app.chinatax.gov.cn,"Could not resolve host: app.chinatax.gov.cn"
app.csrc.gov.cn,"Could not resolve host: app.csrc.gov.cn"
app.dg.gov.cn,"Resolving timed out after 3000 milliseconds"
app.dtdjzx.gov.cn,"403"
app.fjxzjd.gov.cn,"Could not resolve host: app.fjxzjd.gov.cn"
app.fyjky.gov.cn,"Could not resolve host: app.fyjky.gov.cn"
app.gd-info.gov.cn,"Could not resolve host: app.gd-info.gov.cn"
app.gdep.gov.cn,"Could not resolve host: app.gdep.gov.cn"
app.gtjzh.gov.cn,"Could not resolve host: app.gtjzh.gov.cn"
app.gzgjj.gov.cn,"Connection timed out after 3001 milliseconds"
app.hlbrga.gov.cn,"Resolving timed out after 3000 milliseconds"
app.hpjy.gov.cn,"Could not resolve host: app.hpjy.gov.cn"
app.huiyang.gov.cn,"Could not resolve host: app.huiyang.gov.cn"
app.hyx.gov.cn,"TLS connect error: error:0A000126:SSL routines::unexpected eof while reading"
app.jsxzhrss.gov.cn,"Connection timed out after 3000 milliseconds"
app.lgxc.gov.cn,"Could not resolve host: app.lgxc.gov.cn"
app.liangjiang.gov.cn,"Could not resolve host: app.liangjiang.gov.cn"
app.masgjj.gov.cn,"Could not resolve host: app.masgjj.gov.cn"
app.mirror.gov.cn,"Resolving timed out after 3000 milliseconds"
app.nbmsa.gov.cn,"Could not resolve host: app.nbmsa.gov.cn"
app.nsjc.gov.cn,"Could not resolve host: app.nsjc.gov.cn"
app.qingdao.gov.cn,"Connection timed out after 3000 milliseconds"
app.qjqzx.gov.cn,"Could not resolve host: app.qjqzx.gov.cn"
app.sdjcgafj.gov.cn,"403"
app.sdtax.gov.cn,"Could not resolve host: app.sdtax.gov.cn"
app.stc.gov.cn,"Could not resolve host: app.stc.gov.cn"
app.szswjw.gov.cn,"Could not resolve host: app.szswjw.gov.cn"
app.tjcaw.gov.cn,"Could not resolve host: app.tjcaw.gov.cn"
