type,label,website,hostname
ministry,"Ministry of Housing","https://housing.gov.bh/",housing.gov.bh
ministry,"Ministry of Interior","http://www.interior.gov.bh",interior.gov.bh
ministry,"Q117359504","https://mopa.gov.bh/",mopa.gov.bh
ministry,"Ministry of Labour","https://www.mlsd.gov.bh/",mlsd.gov.bh
ministry,"Ministry of Foreign Affairs of Bahrain","http://www.mofa.gov.bh",mofa.gov.bh
ministry,"Ministry of Social Development","https://www.social.gov.bh/",social.gov.bh
ministry,"Ministry of Industry and Commerce","https://www.moic.gov.bh/",moic.gov.bh
ministry,"Ministry of Finance","http://www.mof.gov.bh/",mof.gov.bh
ministry,"Ministry of Legal Affairs","https://www.mola.gov.bh",mola.gov.bh
ministry,"Ministry of Works","http://www.works.gov.bh/",works.gov.bh
ministry,"Ministry of Justice","http://www.moj.gov.bh",moj.gov.bh
ministry,"Ministry of Justice, Islamic Affairs and Endowment","https://www.islam.gov.bh/",islam.gov.bh
ministry,"Ministry of Health","http://www.moh.gov.bh/en/",moh.gov.bh
