hostname,indegree,indegree_tech
boe.es,70,0
administracion.gob.es,48,0
transparencia.gob.es,39,0
clave.gob.es,36,0
administracionelectronica.gob.es,28,1
aepd.es,28,0
planderecuperacion.gob.es,27,0
sedelectronica.es,27,0
aemet.es,22,0
hacienda.gob.es,21,0
datos.gob.es,20,0
sede.gob.es,16,0
mineco.gob.es,14,0
firmaelectronica.gob.es,13,0
minetur.gob.es,13,0
red.es,13,0
carpetaciudadana.gob.es,11,0
digital.gob.es,11,0
educacion.gob.es,10,0
educacionyfp.gob.es,10,0
espanadigital.gob.es,10,0
miteco.gob.es,10,0
mpr.gob.es,10,1
comunidad.madrid,9,0
face.gob.es,9,0
seg-social.gob.es,9,0
agenciatributaria.gob.es,8,0
fnmt.gob.es,8,0
interior.gob.es,8,0
lamoncloa.gob.es,8,0
madrid.org,8,1
cultura.gob.es,7,0
defensa.gob.es,7,0
sedeagpd.gob.es,7,0
seg-social.es,7,0
sepe.gob.es,7,0
asturias.es,6,1
csd.gob.es,6,0
dgt.es,6,1
educacionfpydeportes.gob.es,6,1
ine.es,6,0
juntadeandalucia.es,6,0
mdsocialesa2030.gob.es,6,0
mincotur.gob.es,6,0
mscbs.gob.es,6,0
sanidad.gob.es,6,0
serviciosmin.gob.es,6,0
aesan.gob.es,5,0
becaseducacion.gob.es,5,0
culturaydeporte.gob.es,5,0
dsca.gob.es,5,0
igualdad.gob.es,5,0
inclusion.gob.es,5,0
mapa.gob.es,5,1
mecd.gob.es,5,0
mintur.gob.es,5,2
mites.gob.es,5,0
mjusticia.gob.es,5,0
sedecatastro.gob.es,5,0
carm.es,4,0
ciencia.gob.es,4,0
csic.es,4,0
dgt.gob.es,4,0
exteriores.gob.es,4,0
gobiernodecanarias.org,4,1
gva.es,4,1
industria.gob.es,4,0
mitma.gob.es,4,0
mpt.gob.es,4,0
poderjudicial.es,4,0
transportes.gob.es,4,3
castillalamancha.es,3,2
consumo.gob.es,3,0
dsn.gob.es,3,0
erasmusplus.gob.es,3,0
generaciond.gob.es,3,0
ign.es,3,1
industriaconectada40.gob.es,3,0
jccm.es,3,1
msssi.gob.es,3,0
navarra.es,3,0
ordenacionjuego.es,3,0
ordenacionjuego.gob.es,3,0
sett.gob.es,3,0
transparencialocal.gob.es,3,0
universidades.gob.es,3,0
zaragoza.es,3,0
administraciondejusticia.gob.es,2,0
administracionespublicas.gob.es,2,1
aemps.gob.es,2,0
agendadigital.gob.es,2,0
alia.gob.es,2,0
aragon.es,2,0
bonoculturajoven.gob.es,2,0
bonosocial.gob.es,2,0
clasespasivas.gob.es,2,0
cmt.gob.es,2,0
empleate.gob.es,2,0
energia.gob.es,2,0
euskadi.eus,2,0
fega.gob.es,2,0
fondoseuropeos.gob.es,2,0
ine.gob.es,2,0
inmujeres.gob.es,2,0
mapama.gob.es,2,0
minhap.gob.es,2,0
mir.gob.es,2,0
mivau.gob.es,2,0
mptfp.gob.es,2,0
mptmd.gob.es,2,0
plataformavidas.gob.es,2,0
policia.es,2,0
policia.gob.es,2,0
rpdiscapacidad.gob.es,2,0
sedeminhap.gob.es,2,0
turismo.gob.es,2,0
xunta.gal,2,0
acelerapyme.gob.es,1,0
aemet.gob.es,1,0
aica.gob.es,1,0
algoritmosverdes.gob.es,1,0
avancedigital.gob.es,1,0
ayto-fuentealamo.es,1,0
ayto-parres.es,1,0
bilbao.eus,1,0
buscadorcdi.gob.es,1,0
caib.es,1,0
cantabria.es,1,0
ccyl.es,1,0
celad.gob.es,1,0
certificaps.gob.es,1,0
comercio.gob.es,1,0
csic.gob.es,1,0
derechosdigitales.gob.es,1,0
donostia.eus,1,0
emnspain.gob.es,1,0
empleo.gob.es,1,0
espanaenlibertad.gob.es,1,0
espanaglobal.gob.es,1,0
estrategiadesinstitucionalizacion.gob.es,1,0
estudiodesinstitucionalizacion.gob.es,1,0
formacioncodi.gob.es,1,0
funciona.gob.es,1,0
guardiacivil.es,1,0
guardiacivil.gob.es,1,0
icac.gob.es,1,0
idae.gob.es,1,0
infoartisticas.gob.es,1,0
juntaex.es,1,0
juventudeinfancia.gob.es,1,0
larioja.org,1,0
losyebenes.es,1,0
madrid.es,1,0
maec.gob.es,1,0
magrama.gob.es,1,0
minetad.gob.es,1,0
minhafp.gob.es,1,0
oeitss.gob.es,1,0
one.gob.es,1,0
parlament.cat,1,0
portalclasespasivas.gob.es,1,0
presidente.gal,1,0
red.gob.es,1,0
registrodelicitadores.gob.es,1,0
sedeaepd.gob.es,1,0
sededgsfp.gob.es,1,0
sedefondoscomunitarios.gob.es,1,0
subvenciones.gob.es,1,0
transicionjusta.gob.es,1,0
tribunalconstitucional.es,1,0
vitoria-gasteiz.org,1,0
