domain,http_status,mx
abc.gob.ar,200,
agcba.gob.ar,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching agcba.gob.ar found.,
agip.gob.ar,308,
apos.gob.ar,HttpConnectTimeoutException: HTTP connect timed out,
asip.gob.ar,ConnectException,
ater.gob.ar,404,
atm.gob.ar,ConnectException,
buenosaires.gob.ar,302,
buenosairescompras.gob.ar,200,
cafesg.gob.ar,301,
catamarca.gob.ar,403,
cba.gob.ar,ConnectException,
cesba.gob.ar,301,
chaco.gob.ar,200,
chubut.gob.ar,200,
complejoteatral.gob.ar,200,
comunicaciontucuman.gob.ar,301,
corrientes.gob.ar,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,
corrientesexporta.gob.ar,HttpConnectTimeoutException: HTTP connect timed out,
corrientesprensa.gob.ar,ConnectException,
corrientesturismo.gob.ar,ConnectException,
defensoriaformosa.gob.ar,200,
defensoriatucuman.gob.ar,200,
defensorsantiago.gob.ar,ConnectException,
digestomisiones.gob.ar,200,
dondevotociudad.gob.ar,HttpConnectTimeoutException: HTTP connect timed out,
dprneuquen.gob.ar,200,
economianqn.gob.ar,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,
eleccionesciudad.gob.ar,200,
electoralsde.gob.ar,HttpConnectTimeoutException: HTTP connect timed out,
electoraltucuman.gob.ar,200,
energianeuquen.gob.ar,HttpTimeoutException: request timed out,
entrerios.gob.ar,302,
envdiputadossantafe.gob.ar,ConnectException,
epec.gob.ar,ConnectException,
espaciosantafesino.gob.ar,HttpConnectTimeoutException: HTTP connect timed out,
estadisticaciudad.gob.ar,302,
formosa.gob.ar,HttpTimeoutException: request timed out,
gba.gob.ar,200,
haciendanqn.gob.ar,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,
hospitalsantojanni.gob.ar,HttpConnectTimeoutException: HTTP connect timed out,
iasep.gob.ar,200,
infuetur.gob.ar,HttpConnectTimeoutException: HTTP connect timed out,
insssep.gob.ar,500,
iosper.gob.ar,200,
ischigualasto.gob.ar,HttpTimeoutException: request timed out,
issn.gob.ar,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching issn.gob.ar found.,
issys.gob.ar,ConnectException,
jujuy.gob.ar,200,
jusbaires.gob.ar,HttpConnectTimeoutException: HTTP connect timed out,
jusrionegro.gob.ar,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching jusrionegro.gob.ar found.,
jussantacruz.gob.ar,HttpConnectTimeoutException: HTTP connect timed out,
justiciachaco.gob.ar,HttpConnectTimeoutException: HTTP connect timed out,
justiciacordoba.gob.ar,HttpConnectTimeoutException: HTTP connect timed out,
justiciajujuy.gob.ar,403,
justicialapampa.gob.ar,HttpConnectTimeoutException: HTTP connect timed out,
justicialarioja.gob.ar,200,
lapampa.gob.ar,HttpConnectTimeoutException: HTTP connect timed out,
larioja.gob.ar,200,
legiscba.gob.ar,301,
legislaturadetucuman.gob.ar,200,
legislaturaformosa.gob.ar,200,
legislaturaneuquen.gob.ar,200,
legislaturasde.gob.ar,ConnectException,
legisrn.gob.ar,200,
legnqn.gob.ar,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,
loteriaderionegro.gob.ar,200,
loteriadesantacruz.gob.ar,200,
mendoza.gob.ar,ConnectException,
minedujujuy.gob.ar,ConnectException,
misiones.gob.ar,200,
msalsgo.gob.ar,302,
museobrigadierlopez.gob.ar,ConnectException,
museomarc.gob.ar,301,
museorosagalisteo.gob.ar,200,
neuquen.gob.ar,301,
patrimoniosde.gob.ar,ConnectException,
policialp.gob.ar,ConnectException,
policiamisiones.gob.ar,200,
rentascordoba.gob.ar,301,
rentasjujuy.gob.ar,200,
rentasjujuyonline.gob.ar,200,
rionegro.gob.ar,HttpConnectTimeoutException: HTTP connect timed out,
salta.gob.ar,301,
saludmentalragone.gob.ar,ConnectException,
saludnqn.gob.ar,ConnectException,
sanjuan.gob.ar,301,
sanluis.gob.ar,ConnectException,
santacruz.gob.ar,200,
santacruzpatagonia.gob.ar,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching santacruzpatagonia.gob.ar found.,
santafe.gob.ar,301,
santafelavieja.gob.ar,301,
sde.gob.ar,200,
senadodecatamarca.gob.ar,200,
sisanjuan.gob.ar,200,
tclarioja.gob.ar,ConnectException,
tcpsantafe.gob.ar,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,
tcptdf.gob.ar,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,
tierradelfuego.gob.ar,302,
tramitescorrientes.gob.ar,ConnectException,
tribcuentasmendoza.gob.ar,HttpConnectTimeoutException: HTTP connect timed out,
tucuman.gob.ar,302,
turismocatamarca.gob.ar,ConnectException,
tvrionegrina.gob.ar,ConnectException,
viviendacatamarca.gob.ar,ConnectException,
