subdomain,parent_domain,http_status
freepbx.103.gov.kg,gov.kg,"Connection timed out after 3002 milliseconds"
frr.gov.kg,gov.kg,"Resolving timed out after 3000 milliseconds"
fs.tunduk.gov.kg,gov.kg,"Connection timed out after 3001 milliseconds"
fsa.gov.kg,gov.kg,"200"
g-docs.e.gov.kg,gov.kg,"Could not resolve host: g-docs.e.gov.kg"
gaos.e.gov.kg,gov.kg,"Could not resolve host: gaos.e.gov.kg"
gaubk.gov.kg,gov.kg,"Could not resolve host: gaubk.gov.kg"
gbd.mlsp.gov.kg,gov.kg,"200"
geonode.water.gov.kg,gov.kg,"Operation timed out after 3000 milliseconds with 0 bytes received"
gis-demo.water.gov.kg,gov.kg,"Operation timed out after 3001 milliseconds with 0 bytes received"
gis.water.gov.kg,gov.kg,"301"
git.emed.gov.kg,gov.kg,"Could not resolve host: git.emed.gov.kg"
git.hmfd.mes.gov.kg,gov.kg,"Could not resolve host: git.hmfd.mes.gov.kg"
gittest.it.gov.kg,gov.kg,"Connection timed out after 3002 milliseconds"
gknb.gov.kg,gov.kg,"403"
gkpen.e.gov.kg,gov.kg,"Could not resolve host: gkpen.e.gov.kg"
gosuslugi.nas.gov.kg,gov.kg,"SSL certificate problem: unable to get local issuer certificate"
gov.kg,gov.kg,"Could not resolve host: gov.kg"
gp.it.gov.kg,gov.kg,"Connection timed out after 3002 milliseconds"
graylog.tunduk.gov.kg,gov.kg,"Could not resolve host: graylog.tunduk.gov.kg"
grs.gov.kg,gov.kg,"SSL certificate problem: self-signed certificate"
gsin.gov.kg,gov.kg,"200"
gsm.e.gov.kg,gov.kg,"SSL certificate problem: self-signed certificate"
gts.e.gov.kg,gov.kg,"SSL certificate problem: self-signed certificate"
gvfi.gov.kg,gov.kg,"SSL certificate problem: unable to get local issuer certificate"
help.emed.gov.kg,gov.kg,"Resolving timed out after 3001 milliseconds"
help.zakupki.gov.kg,gov.kg,"SSL: no alternative certificate subject name matches target hostname 'help.zakupki.gov.kg'"
ias.tunduk.gov.kg,gov.kg,"Could not resolve host: ias.tunduk.gov.kg"
ibilim.edu.gov.kg,gov.kg,"200"
ict.e.gov.kg,gov.kg,"SSL certificate problem: self-signed certificate"
ilim.edu.gov.kg,gov.kg,"SSL certificate problem: unable to get local issuer certificate"
imap.ordo.gov.kg,gov.kg,"Could not resolve host: imap.ordo.gov.kg"
indicators.water.gov.kg,gov.kg,"502"
input.gamsumo.gov.kg,gov.kg,"Could not resolve host: input.gamsumo.gov.kg"
invest.gov.kg,gov.kg,"307"
isuo.edu.gov.kg,gov.kg,"Could not resolve host: isuo.edu.gov.kg"
it.gov.kg,gov.kg,"SSL certificate problem: self-signed certificate"
je.e.gov.kg,gov.kg,"SSL certificate problem: self-signed certificate"
join.transcom.gov.kg,gov.kg,"Resolving timed out after 3000 milliseconds"
joldor.gov.kg,gov.kg,"200"
kabinet.balabakcha.edu.gov.kg,gov.kg,"Could not resolve host: kabinet.balabakcha.edu.gov.kg"
kairylman.mlsp.gov.kg,gov.kg,"Could not resolve host: kairylman.mlsp.gov.kg"
karta.gamsumo.gov.kg,gov.kg,"Could not resolve host: karta.gamsumo.gov.kg"
kca.gov.kg,gov.kg,"200"
kg.gvfi.gov.kg,gov.kg,"Could not resolve host: kg.gvfi.gov.kg"
