hostname,mentions,evidence
isst.fraunhofer.de,1,Fraunhofer-Institut für Software- und Systemtechnik
ist.fraunhofer.de,1,Fraunhofer-Institut für Schicht- und Oberflächentechnik
isw-isb.de,2,Institut für Städtebau Berlin | Institut für Städtebau und Wohnungswesen München
item.fraunhofer.de,1,Fraunhofer-Institut für Toxikologie und Experimentelle Medizin ITEM
itwm.fraunhofer.de,1,Fraunhofer-Institut für Techno- und Wirtschaftsmathematik
itzbund.de,1,Informationstechnikzentrum Bund
iud.bundeswehr.de,1,Bundeswehrverwaltungsstelle in den USA und Kanada
iuf-duesseldorf.de,1,IUF - Leibniz-Institut für umweltmedizinische Forschung gGmbH
ivi.fraunhofer.de,1,Fraunhofer-Institut für Verkehrs- und Infrastruktursysteme IVI
ivv.fraunhofer.de,1,Fraunhofer-Institut für Verfahrenstechnik und Verpackung
iwes.fraunhofer.de,1,Fraunhofer-Institut für Windenergiesysteme IWES
iwh-halle.de,1,Leibniz-Institut für Wirtschaftsforschung Halle
iwm-tuebingen.de,1,Leibniz-Institut für Wissensmedien
iwm.fraunhofer.de,1,Fraunhofer-Institut für Werkstoffmechanik
iws.fraunhofer.de,1,Fraunhofer-Institut für Werkstoff- und Strahltechnik
iwu.fraunhofer.de,1,Fraunhofer-Institut für Werkzeugmaschinen und Umformtechnik
izb.fraunhofer.de,1,Fraunhofer-Institutszentrum Schloss Birlinghoven IZB
izfp.fraunhofer.de,1,Fraunhofer-Institut für Zerstörungsfreie Prüfverfahren IZFP
izi.fraunhofer.de,1,Fraunhofer-Institut für Zelltherapie und Immunologie
izm.fraunhofer.de,1,Fraunhofer-Institut für Zuverlässigkeit und Mikrointegration
izw-berlin.de,1,Leibniz-Institut für Zoo- und Wildtierforschung im Forschungsverbund Berlin e.V.
jmberlin.de,1,Stiftung Jüdisches Museum Berlin
julius-kuehn.de,1,"Julius-Kühn Institut, Bundesforschungsinstitut für Kulturpflanzen"
juris.de,1,juris GmbH
kas.de,1,Konrad-Adenauer-Stiftung e. V.
katholische-militaerseelsorge.de,1,Katholisches Militärbischofsamt
kba.de,1,Kraftfahrt-Bundesamt
kbb.eu,1,Kulturveranstaltungen des Bundes in Berlin GmbH
kbs.de,1,Deutsche Rentenversicherung Knappschaft-Bahn-See
kbv.de,1,Kassenärztliche Bundesvereinigung
kfw-ipex-bank.de,1,Kreditanstalt für Wiederaufbau IPEX-Bank
kgst.de,1,Kommunale Gemeinschaftsstelle für Verwaltungsmanagement
kit.edu,1,Karlsruher Institut für Technologie
klassik-stiftung.de,1,Klassik Stiftung Weimar
kloster-marienthal.de,1,Klosterstift St. Marienthal
koblenz.bwkrankenhaus.de,1,Bundeswehrzentralkrankenhaus Koblenz
kofo.mpg.de,1,Max-Planck-Institut für Kohlenforschung
kommando.streitkraeftebasis.de,1,Zentrum Kraftfahrwesen der Bundeswehr
ktbl.de,1,Kuratorium für Technik und Bauwesen in der Landwirtschaft e. V.
kulturforum.info,1,Deutsches Kulturforum östliches Europa e. V.
kulturgutverluste.de,1,Stiftung Deutsches Zentrum Kulturgutverluste
kulturrat.de,1,Deutscher Kulturrat e. V.
kulturstaatsminister.de,1,Beauftragter der Bundesregierung für Kultur und Medien
kulturstiftung-des-bundes.de,1,Kulturstiftung des Bundes
kunstforum.net,1,Kunstforum Ostdeutsche Galerie
kunstverwaltung.bund.de,1,Kunstverwaltung des Bundes
kvb.bund.de,1,Krankenversorgung der Bundesbahnbeamten
kwf-online.de,1,Kuratorium für Waldarbeit und Forsttechnik e. V.
kzbv.de,1,Kassenzahnärztliche Bundesvereinigung
landkreistag.de,1,Deutscher Landkreistag
lba.de,1,Luftfahrt-Bundesamt
lbf.fraunhofer.de,1,Fraunhofer-Institut für Betriebsfestigkeit und Systemzuverlässigkeit
leibniz-fli.de,1,Leibniz-Institut für Alternsforschung - Fritz-Lipmann-Institut e. V.
leibniz-fmp.de,1,Leibniz-Forschungsinstitut für Molekulare Pharmakologie im Forschungsverbund Berlin e. V.
leibniz-gemeinschaft.de,1,Leibniz-Gemeinschaft - Wissenschaftsgemeinschaft Gottfried Wilhelm Leibniz e. V.
leibniz-hki.de,1,Leibniz-Institut für Naturstoff-Forschung und Infektionsbiologie - Hans-Knöll-Institut e. V.
leibniz-ifl.de,1,Leibniz-Institut für Länderkunde e. V.
leibniz-ipn.de,1,Leibniz-Institut für die Pädagogik der Naturwissenschaften und Mathematik
leibniz-kis.de,1,Institut für Sonnenphysik
leibniz-lib.de,1,Leibniz-Institut zur Analyse des Biodiversitätswandels
leibniz-liv.de,1,Leibniz-Institut für Virologie
leibniz-lsb.de,1,Leibniz-Institut für Lebensmittel-Systembiologie an der Technischen Universität München
leibniz-psychology.org,1,Leibniz-Institut für Psychologie
leibniz-zmt.de,1,Leibniz-Zentrum für Marine Tropenökologie
leopoldina.org,1,Deutsche Akademie der Naturforscher Leopoldina
lifbi.de,1,Leibniz-Institut für Bildungsverläufe e. V.
lin-magdeburg.de,1,Leibniz-Institut für Neurobiologie Magdeburg
martin-opitz-bibliothek.de,1,Stiftung Martin-Opitz-Bibliothek
maxweberstiftung.de,1,Max Weber Stiftung - Deutsche Geisteswissenschaftliche Institute im Ausland
mbi-berlin.de,1,Max-Born-Institut für Nichtlineare Optik und Kurzzeitspektroskopie im Forschungsverbund Berlin e. V.
mdc-berlin.de,1,Max-Delbrück-Centrum für Molekulare Medizin in der Helmholtz-Gemeinschaft
mfo.de,1,Mathematisches Forschungsinstitut Oberwolfach gGmbH
mh-stiftung.de,1,Bundesstiftung Magnus Hirschfeld
monopolkommission.de,1,Monopolkommission
mpg.de,1,Max-Planck-Gesellschaft zur Förderung der Wissenschaften e. V.
mpie.de,1,Max-Planck-Institut für Nachhaltige Materialien GmbH
mpinb.mpg.de,1,Max-Planck-Institut für Neurobiologie des Verhaltens - caesar
mri.bund.de,1,"Max Rubner-Institut, Bundesforschungsinstitut für Ernährung und Lebensmittel"
museum-karlshorst.de,1,Museum Berlin-Karlshorst e.V.
museumfuernaturkunde.berlin,1,Museum für Naturkunde - Leibniz-Institut für Evolutions- und Biodiversitätsforschung
museumgoerlitz.senckenberg.de,1,Senckenberg Museum für Naturkunde Görlitz
museumsstiftung.de,1,Museumsstiftung Post und Telekommunikation
musikrat.de,2,Deutscher Musikrat e. V. | Deutscher Musikrat gGmbH
na-bibb.de,1,Nationale Agentur beim Bundesinstitut für Berufsbildung
nada.de,1,Nationale Anti-Doping Agentur
normenkontrollrat.bund.de,1,Nationaler Normenkontrollrat
orchesterversorgung.de,1,Versorgungsanstalt der deutschen Kulturorchester
ostbeauftragte.de,1,Beauftragte der Bundesregierung für Ostdeutschland
ostpreussisches-landesmuseum.de,1,Ostpreußisches Landesmuseum
ostrecht.de,1,Institut für Ostrecht e. V.
patentanwalt.de,1,Patentanwaltskammer
patientenbeauftragter.de,1,Beauftragter der Bundesregierung für die Belange der Patientinnen und Patienten
pbeakk.de,1,Postbeamtenkrankenkasse
pd-g.de,1,PD - Berater der öffentlichen Hand GmbH
pdi-berlin.de,1,Paul-Drude-Institut für Festkörperelektronik - Leibniz Institut im Forschungsverbund Berlin e.V.
pei.de,1,Paul Ehrlich Institut Bundesinstitut für Impfstoffe und biomedizinische Arzneimittel
pensionskasse-eisenbahnen.de,1,Pensionskasse Deutscher Eisenbahnen und Straßenbahnen VVaG
pflegebevollmaechtigte.de,1,Bevollmächtigte der Bundesregierung für Pflege
pik-potsdam.de,1,Potsdam-Institut für Klimafolgenforschung e. V.
pommersches-landesmuseum.de,1,Pommersches Landesmuseum
porta-polonica.de,1,Dokumentationsstelle zur Kultur und Geschichte der Pol:innen in Deutschland - Porta Polonica
preussischer-kulturbesitz.de,1,Stiftung Preußischer Kulturbesitz
prif.org,1,Leibniz-Institut für Friedens- und Konfliktforschung
profamilia.de,1,"pro familia Deutsche Gesellschaft für Familienplanung, Sexualpädagogik und Sexualberatung e. V."
ptb.de,1,Physikalisch-Technische Bundesanstalt
ptj.de,1,Projektträger Jülich
rki.de,1,Robert Koch-Institut
rosalux.de,1,Rosa-Luxemburg-Stiftung - Gesellschaftsanalyse und Politische Bildung e. V.
rwi-essen.de,1,RWI - Leibniz-Institut für Wirtschaftsforschung
sachverstaendigenrat-wirtschaft.de,1,Sachverständigenrat zur Begutachtung der gesamtwirtschaftlichen Entwicklung
scai.fraunhofer.de,1,Fraunhofer-Institut für Algorithmen und Wissenschaftliches Rechnen
schlesisches-museum.de,1,Schlesisches Museum zu Görlitz
sdw.de,1,Schutzgemeinschaft Deutscher Wald - Bundesverband e. V.
senckenberg.de,2,Senckenberg Gesellschaft für Naturforschung | Senckenberg Naturhistorische Sammlungen Dresden
sit.fraunhofer.de,1,Fraunhofer-Institut für Sichere Informationstechnologie
staedtetag.de,1,Deutscher Städtetag
stepv.de,1,Stiftung für ehemalige politisch Verfolgte
stifterverein.de,1,Adalbert-Stifter-Verein e. V.
stiftung-bayerische-gedenkstaetten.de,1,Stiftung Bayerische Gedenkstätten (KZ-Gedenkstätten Dachau und Flossenbürg)
stiftung-bg.de,1,Stiftung Brandenburgische Gedenkstätten
stiftung-denkmal.de,1,Stiftung Denkmal für die ermordeten Juden Europas
stiftung-evz.de,1,"Stiftung Erinnerung, Verantwortung und Zukunft"
stiftung-geld-und-waehrung.de,1,Stiftung Geld und Währung
stiftung-genshagen.de,1,Berlin-Brandenburgisches Institut für deutsch-französische Zusammenarbeit - Stiftung Genshagen
stiftung-ng.de,1,Stiftung niedersächsische Gedenkstätten
stsg.de,1,Stiftung Sächsische Gedenkstätten zur Erinnerung an die Opfer politischer Gewaltherrschaft
studierendenwerk-augsburg.de,1,StudierendenWerk Augsburg A.d.ö.R.
svlfg.de,1,"Sozialversicherung für Landwirtschaft, Forsten und Gartenbau"
swp-berlin.org,1,Stiftung Wissenschaft und Politik
tab-beim-bundestag.de,1,Büro für Technikfolgenabschätzung beim Deutschen Bundestag
testamentsregister.de,1,Zentrales Testamentsregister
theodor-heuss-haus.de,1,Stiftung Bundespräsident-Theodor-Heuss-Haus
thuenen.de,1,"Johann Heinrich von Thünen-Institut, Bundesforschungsinstitut für Ländliche Räume, Wald und Fischerei"
thw-bv.de,1,THW- Bundesvereinigung e. V.
thw-jugend.de,1,THW-Jugend e. V.
thw.de,1,Bundesanstalt Technisches Hilfswerk
tib.eu,1,Technische Informationsbibliothek
tk.de,1,Techniker Krankenkasse
tolstoi.de,1,Tolstoi Hilfs- und Kulturwerk e. V.
topographie.de,1,Stiftung Topographie des Terrors
trier.ilw.de,1,Industrie-Lehrwerkstatt Trier eG
tropos.de,1,Leibniz-Institut für Troposphärenforschung e. V.
tuv.com,1,TÜV Rheinland
ufz.de,1,Helmholtz-Zentrum für Umweltforschung GmbH - UFZ
ukrat.de,1,Unabhängiger Kontrollrat
ulm.bwkrankenhaus.de,1,Bundeswehrkrankenhaus Ulm
umsicht.fraunhofer.de,1,"Fraunhofer-Institut für Umwelt-, Sicherheits- und Energietechnik"
umweltberatung-info.de,1,Bundesverband für Umweltberatung e. V.
umweltbundesamt.de,1,Umweltbundesamt
umweltrat.de,1,Sachverständigenrat für Umweltfragen
unesco.de,1,Deutsche UNESCO-Kommission e. V.
unibw.de,1,Universität der Bundeswehr München
uv-bund-bahn.de,1,Unfallversicherung Bund und Bahn
vbg.de,1,Verwaltungs-Berufsgenossenschaft
vbl.de,1,Versorgungsanstalt des Bundes und der Länder
vebeg.de,1,VEBEG - Das Verwertungsunternehmen des Bundes
verfassungsschutz.de,1,Bundesamt für Verfassungsschutz
verpackungsregister.org,1,Stiftung Zentrale Stelle Verpackungsregister
vertreter-des-bundesinteresses.de,1,Vertreter des Bundesinteresses beim Bundesverwaltungsgericht
villamassimo.de,1,Deutsche Akademie Rom Villa Massimo
voeb.de,1,Bundesverband Öffentlicher Banken Deutschlands e. V.
vorsorgeregister.de,1,Zentrales Vorsorgeregister
vzbv.de,1,Verbraucherzentrale Bundesverband e. V.
wbgu.de,1,Wissenschaftlicher Beirat der Bundesregierung Globale Umweltveränderungen
web.rgzm.de,1,Römisch-Germanisches Zentralmuseum - Leibniz-Forschungsinstitut für Archäologie
westerstede.bwkrankenhaus.de,1,Bundeswehrkrankenhaus Westerstede
wias-berlin.de,1,Weierstraß-Institut für Angewandte Analysis und Stochastik - Leibniz-Institut im Forschungsverbund Berlin e. V.
willy-brandt.de,1,Bundeskanzler-Willy-Brandt-Stiftung
wissenschaftsrat.de,1,Wissenschaftsrat
wki.fraunhofer.de,1,"Fraunhofer-Institut für Holzforschung, Wilhelm-Klauditz-Institut WKI"
wna-aschaffenburg.wsv.de,1,Wasserstraßen-Neubauamt Aschaffenburg
wna-berlin.wsv.de,1,Wasserstraßen-Neubauamt Berlin
wna-datteln.wsv.de,2,Fachstelle Maschinenwesen West (beim WNA Datteln) | Wasserstraßen-Neubauamt Datteln
wna-hannover.wsv.de,1,Wasserstraßen-Neubauamt Hannover
wna-heidelberg.wsv.de,1,Wasserstraßen-Neubauamt Heidelberg
wna-helmstedt.wsv.de,1,Wasserstraßen-Neubauamt Helmstedt
wna-magdeburg.wsv.de,1,Wasserstraßen-Neubauamt Magdeburg
wna-nord-ostsee-kanal.wsv.de,1,Wasserstraßen-Neubauamt Nord-Ostsee-Kanal
wpk.de,1,Wirtschaftsprüferkammer
wsa-donau-mdk.wsv.de,3,Fachstelle Maschinenwesen Süd beim WSA Donau MDK | Wasserstraßen- und Schifffahrtsamt Donau MDK (Dienstort Nürnberg) | Wasserstraßen- und Schifffah...
wsa-elbe-nordsee.wsv.de,3,Wasserstraßen- und Schifffahrtsamt Elbe Nordsee (Dienstort Tönning) | Wasserstraßen- und Schifffahrtsamt Elbe-Nordsee (Dienstort Cuxhaven) | Wasser...
wsa-elbe.wsv.de,3,Wasserstraßen- und Schifffahrtsamt Elbe (Dienstort Dresden) | Wasserstraßen- und Schifffahrtsamt Elbe (Dienstort Lauenburg) | Wasserstraßen- und Sc...
wsa-ems-nordsee.wsv.de,2,Wasserstraßen- und Schifffahrtsamt Ems-Nordsee (Dienstort Emden) | Wasserstraßen- und Schifffahrtsamt Ems-Nordsee (Dienstort Meppen)
wsa-main.wsv.de,2,Wasserstraßen- und Schifffahrtsamt Main (Aschaffenburg) | Wasserstraßen- und Schifffahrtsamt Main (Dienstort Schweinfurt)
wsa-mittellandkanal-elbe-seitenkanal.wsv.de,2,Wasserstraßen- und Schifffahrtsamt Mittellandkanal / Elbe-Seitenkanal (Dienstort Minden) | Wasserstraßen- und Schifffahrtsamt Mittellandkanal/Elbe-...
wsa-mosel-saar-lahn.wsv.de,4,Fachstelle Maschinenwesen Südwest (beim WSA Mosel-Saar-Lahn) | Wasserstraßen- und Schifffahrtsamt Mosel-Saar-Lahn (Dienstort Koblenz) | Wasserstraß...
wsa-neckar.wsv.de,2,Wasserstraßen- und Schifffahrtsamt Neckar (Dienstort Heidelberg) | Wasserstraßen- und Schifffahrtsamt Neckar (Dienstort Stuttgart)
wsa-nord-ostsee-kanal.wsv.de,3,Fachstelle Maschinenwesen Nord (beim WSA Nord-Ostsee-Kanal) | Wasserstraßen- und Schifffahrtsamt Nordsee-Ostsee-Kanal (Dienstort Brunsbüttel) | Was...
wsa-oberrhein.wsv.de,2,Wasserstraßen- und Schifffahrtsamt Oberrhein (Dienstort Freiburg) | Wasserstraßen- und Schifffahrtsamt Oberrhein (Dienstort Mannheim)
wsa-oder-havel.wsv.de,1,Wasserstraßen- und Schifffahrtsamt Oder-Havel
wsa-ostsee.wsv.de,1,Wasserstraßen- und Schifffahrtsamt Ostsee (Dienstort Stralsund)
wsa-rhein.wsv.de,3,Wasserstraßen- und Schifffahrtsamt Rhein (Dienstort Bingen) | Wasserstraßen- und Schifffahrtsamt Rhein (Dienstort Köln) | Wasserstraßen- und Schiff...
wsa-spree-havel.wsv.de,2,Wasserstraßen- und Schifffahrtsamt Spree-Havel (Dienstort Brandenburg) | Wasserstraßen-und Schifffahrtsamt Spree-Havel (Dienstort Berlin)
wsa-weser-jade-nordsee.wsv.de,3,Wasserstraßen- und Schifffahrtsamt Weser-Jade-Nordsee (Dienstort Bremen) | Wasserstraßen- und Schifffahrtsamt Weser-Jade-Nordsee (Dienstort Bremerh...
wsa-weser.wsv.de,2,Wasserstraßen- und Schifffahrtsamt Weser (Dienstort Hannoversch Münden) | Wasserstraßen- und Schifffahrtsamt Weser (Dienstort Verden)
wsa-westdeutsche-kanaele.wsv.de,2,Wasserstraßen- und Schifffahrtsamt Westdeutsche Kanäle (Dienstort Duisburg-Meiderich) | Wasserstraßen- und Schifffahrtsamt Westdeutsche Kanäle (Die...
www1.ids-mannheim.de,1,Leibniz-Institut für Deutsche Sprache
www3.arbeitsagentur.de,8,Bundesagentur für Arbeit - Regionaldirektion Baden-Württemberg | Bundesagentur für Arbeit - Regionaldirektion Bayern | Bundesagentur für Arbeit - R...
wzb.eu,1,Wissenschaftszentrum Berlin für Sozialforschung
z-u-g.org,1,Zukunft-Umwelt-Gesellschaft gGmbH
zalf.de,1,Leibniz-Zentrum für Agrarlandschaftsforschung e. V.
zbg.uni-hohenheim.de,1,Zentrum für Betriebswirtschaft im Gartenbau e. V.
zbmed.de,1,Informationszentrum Lebenswissenschaften
zbw.eu,1,ZBW - Leibniz Informationszentrum Wirtschaft
zew.de,1,Zentrum für Europäische Wirtschaftsforschung GmbH
zitis.bund.de,1,Zentrale Stelle für Informationstechnik im Sicherheitsbereich
zla.de,2,Zusatzversorgungskasse für Arbeitnehmer in der Land- und Forstwirtschaft | Zusatzversorgungswerk für Arbeitnehmer in der Land- und Forstwirtschaft
zms.bundeswehr.de,1,Zentrum für Militärgeschichte und Sozialwissenschaften der Bundeswehr
zoll.de,52,Bildungs- und Wissenschaftszentrum der Bundesfinanzverwaltung | Generalzolldirektion | Hauptzollamt Aachen | Hauptzollamt Augsburg | Hauptzollamt B...
zrb.bund.de,5,Bundeskasse Dienstort Halle | Bundeskasse Dienstort Kiel | Bundeskasse Dienstort Trier | Bundeskasse Dienstort Weiden | Zentrales Finanzwesen des B...
zukunftsforum-familie.de,1,Zukunftsforum Familie e. V.
zwst.org,1,Zentralwohlfahrtsstelle der Juden in Deutschland e. V.
zzf-potsdam.de,1,Leibniz-Zentrum für Zeithistorische Forschung Potsdam e.V.
