hostname,mentions,evidence
bmfsfj.de,2,"Beauftragter der Bundesregierung gegen Antiziganismus und für das Leben der Sinti und Roma in Deutschland | Bundesministerium für Bildung, Familie,..."
bmftr.bund.de,1,"Bundesministerium für Forschung, Technologie und Raumfahrt"
bmi.bund.de,3,Beauftragte der Bundesregierung für die Behandlung von Zahlungen an die Konversionskasse | Beauftragter der Bundesregierung für jüdisches Leben in ...
bmj.de,1,Beauftragter der Bundesregierung für die Anliegen von Betroffenen von terroristischen und extremistischen Anschlägen im Inland
bmjv.de,1,Bundesministerium der Justiz und für Verbraucherschutz
bmleh.de,1,"Bundesministerium für Landwirtschaft, Ernährung und Heimat"
bmv.de,1,Bundesministerium für Verkehr
bmvg.de,1,Bundesministerium der Verteidigung
bmwk.de,4,Beauftragter der Bundesregierung für Mittelstand | Koordinator der Bundesregierung für Maritime Wirtschaft und Tourismus | Koordinator der Bundesre...
bmwsb.bund.de,1,"Bundesministerium für Wohnen, Stadtentwicklung und Bauwesen"
bmz.de,3,Beauftragter der Bundesregierung für Religions- und Weltanschauungsfreiheit | Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung ...
bnd.bund.de,1,Bundesnachrichtendienst
bnitm.de,1,Bernhard-Nocht-Institut für Tropenmedizin
bnotk.de,1,Bundesnotarkammer
boeckler.de,1,Hans-Böckler-Stiftung
boell.de,1,Heinrich-Böll-Stiftung e. V.
bonn.leibniz-lib.de,1,Zoologisches Forschungsmuseum Alexander König - Leibniz-Institut für Biodiversität der Tiere
bpb.de,1,Bundeszentrale für politische Bildung
brak.de,1,Bundesrechtsanwaltskammer
bsg.bund.de,1,Bundessozialgericht
bsh.de,1,Bundesamt für Seeschifffahrt und Hydrographie
bsi.bund.de,1,Bundesamt für Sicherheit in der Informationstechnik
bstbk.de,1,Bundessteuerberaterkammer
bsu-bund.de,1,Bundesstelle für Seeunfalluntersuchung
buchenwald.de,1,Stiftung Gedenkstätten Buchenwald und Mittelbau-Dora
buehnenversorgung.de,1,Versorgungsanstalt der Deutschen Bühnen
bund-der-vertriebenen.de,1,Bund der Vertriebenen e. V.
bundesamtsozialesicherung.de,1,Bundesamt für Soziale Sicherung
bundesanzeiger.de,1,Bundesanzeiger Verlag GmbH
bundesarbeitsgericht.de,1,Bundesarbeitsgericht
bundesarchiv.de,1,Bundesarchiv
bundesbank.de,1,Deutsche Bundesbank
