subdomain,http_status
clearpass.guests.mni.gov.il,Could not resolve host: clearpass.guests.mni.gov.il
clms.health.gov.il,Could not resolve host: clms.health.gov.il
club.shivyon.gov.il,Connection timed out after 3001 milliseconds
cma.gov.il,Connection timed out after 3001 milliseconds
cmc.mot.gov.il,Connection timed out after 3002 milliseconds
cmm.mot.gov.il,Connection timed out after 3002 milliseconds
committees.justice.gov.il,Could not resolve host: committees.justice.gov.il
committes.justice.gov.il,Could not resolve host: committes.justice.gov.il
community.csc.gov.il,Could not resolve host: community.csc.gov.il
community.health.gov.il,Connection timed out after 3002 milliseconds
con.sheba.health.gov.il,Could not resolve host: con.sheba.health.gov.il
conanim105.police.gov.il,Could not resolve host: conanim105.police.gov.il
connect.pim.gov.il,Connection timed out after 3002 milliseconds
consularappointment.mfa.gov.il,302
consultation.gov.il,Connection timed out after 3002 milliseconds
contactinfo.mof.gov.il,Could not resolve host: contactinfo.mof.gov.il
court.gov.il,Recv failure: Connexion ré-initialisée par le correspondant
cpa-sc.justice.gov.il,Could not resolve host: cpa-sc.justice.gov.il
cpa.justice.gov.il,302
cpanel.abarbanel.health.gov.il,Could not resolve host: cpanel.abarbanel.health.gov.il
cpanel.ad.caa.gov.il,Could not resolve host: cpanel.ad.caa.gov.il
cpanel.caa.gov.il,Resolving timed out after 3000 milliseconds
cpanel.edutoolbox.edu.gov.il,Could not resolve host: cpanel.edutoolbox.edu.gov.il
cpanel.en.caa.gov.il,Resolving timed out after 3001 milliseconds
cpanel.jda.gov.il,Could not resolve host: cpanel.jda.gov.il
cpanel.lapam.gov.il,Could not resolve host: cpanel.lapam.gov.il
cpcalendars.edutoolbox.edu.gov.il,Could not resolve host: cpcalendars.edutoolbox.edu.gov.il
cpcalendars.jda.gov.il,Could not resolve host: cpcalendars.jda.gov.il
cpcontacts.edutoolbox.edu.gov.il,Could not resolve host: cpcontacts.edutoolbox.edu.gov.il
cpcontacts.jda.gov.il,Could not resolve host: cpcontacts.jda.gov.il
cppm.guest.pmo.gov.il,Could not resolve host: cppm.guest.pmo.gov.il
