qid,label
Q1061,Gujarat
Q1159,Andhra Pradesh
Q1162,Arunachal Pradesh
Q1164,Assam
Q1165,Bihar
Q1168,Chhattisgarh
Q1171,Goa
Q1174,Haryana
Q1177,Himachal Pradesh
Q1184,Jharkhand
Q1185,Karnataka
Q1186,Kerala
Q1188,Madhya Pradesh
Q1191,Maharashtra
Q1193,Manipur
Q1195,Meghalaya
Q120971341,Chandigarh
Q1353,Delhi
Q1356,West Bengal
Q1363,Tripura
Q1437,Rajasthan
Q1445,Tamil Nadu
Q1498,Uttar Pradesh
Q1499,Uttarakhand
Q1502,Mizoram
Q1505,Sikkim
Q1599,Nagaland
Q200667,Ladakh
Q22048,Odisha
Q22424,Punjab
Q26927,Lakshadweep
Q40888,Andaman and Nicobar Islands
Q46107,Dadra and Nagar Haveli district
Q66278313,Jammu and Kashmir
Q66743,Puducherry
Q677037,Telangana
Q77997266,Dadra and Nagar Haveli and Daman and Diu
