domain,http_status,mx
aarogyasri.gov.in,HttpConnectTimeoutException: HTTP connect timed out,
accountsgoa.gov.in,HttpConnectTimeoutException: HTTP connect timed out,
adibasikalyan.gov.in,200,
anagrasarkalyan.gov.in,200,
andaman.gov.in,HttpConnectTimeoutException: HTTP connect timed out,
ap.gov.in,HttpConnectTimeoutException: HTTP connect timed out,
apcommercialtaxes.gov.in,ConnectException,
apct.gov.in,HttpConnectTimeoutException: HTTP connect timed out,
apdcl.gov.in,ConnectException,
apfinance.gov.in,200,
apgenco.gov.in,200,
apindustries.gov.in,HttpConnectTimeoutException: HTTP connect timed out,
aponline.gov.in,HttpConnectTimeoutException: HTTP connect timed out,
apspsc.gov.in,HttpConnectTimeoutException: HTTP connect timed out,
apsrtc.gov.in,HttpConnectTimeoutException: HTTP connect timed out,
aptransco.gov.in,HttpConnectTimeoutException: HTTP connect timed out,
arunachalpradesh.gov.in,200,
arunachaltenders.gov.in,200,
assam.gov.in,HttpConnectTimeoutException: HTTP connect timed out,
assamtenders.gov.in,200,
banglarmukh.gov.in,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching banglarmukh.gov.in found.,
bihar.gov.in,HttpConnectTimeoutException: HTTP connect timed out,
biharcommercialtax.gov.in,HttpConnectTimeoutException: HTTP connect timed out,
biharpolice.gov.in,HttpConnectTimeoutException: HTTP connect timed out,
biharregd.gov.in,HttpConnectTimeoutException: HTTP connect timed out,
cctnsup.gov.in,HttpConnectTimeoutException: HTTP connect timed out,
cg.gov.in,HttpConnectTimeoutException: HTTP connect timed out,
cgeprocurement.gov.in,ConnectException,
cgg.gov.in,301,
cgstate.gov.in,HttpConnectTimeoutException: HTTP connect timed out,
chandigarh.gov.in,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,
chips.gov.in,HttpConnectTimeoutException: HTTP connect timed out,
cmkarnataka.gov.in,HttpConnectTimeoutException: HTTP connect timed out,
cmofficehry.gov.in,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,
cooptex.gov.in,301,
cseb.gov.in,ConnectException,
ctdbihar.gov.in,ConnectException,
dd.gov.in,HttpConnectTimeoutException: HTTP connect timed out,
