hostname,indegree,indegree_tech
bka.gv.at,9,0
oesterreich.gv.at,8,1
bmi.gv.at,4,0
id-austria.gv.at,4,0
ida.gv.at,4,0
bmf.gv.at,3,0
bundeskanzleramt.gv.at,3,0
ams.at,2,0
bak.gv.at,2,0
bmj.gv.at,2,0
data.gv.at,2,0
dsb.gv.at,2,0
dsn.gv.at,2,0
help.gv.at,2,0
jobboerse.gv.at,2,0
justizonline.gv.at,2,0
noel.gv.at,2,0
parlament.gv.at,2,0
polizei.gv.at,2,0
statistik.at,2,0
steiermark.at,2,0
amtsweg.gv.at,1,0
bad-gleichenberg.gv.at,1,0
bfa.gv.at,1,0
bgld.gv.at,1,0
bildung-bgld.gv.at,1,0
bildung-ooe.gv.at,1,0
bildung-stmk.gv.at,1,0
bildung-wien.gv.at,1,0
bmb.gv.at,1,0
bmimi.gv.at,1,0
bml.gv.at,1,0
bmlrt.gv.at,1,0
bmluk.gv.at,1,0
bmlv.gv.at,1,0
bmwet.gv.at,1,0
burgenland.at,1,0
digitalaustria.gv.at,1,0
efre.gv.at,1,0
ehyd.gv.at,1,0
finanznavi.gv.at,1,0
fundamt.gv.at,1,0
hilfe-bei-gewalt.gv.at,1,0
hora.gv.at,1,0
justiz.gv.at,1,0
krems.gv.at,1,0
land-oberoesterreich.gv.at,1,0
lvwg-ooe.gv.at,1,0
lvwg-tirol.gv.at,1,0
magwien.gv.at,1,0
noe-landtag.gv.at,1,0
oegovwiki.gv.at,1,0
oerok.gv.at,1,0
ogh.gv.at,1,0
onlinesicherheit.gv.at,1,0
ooe.gv.at,1,0
polizeikarriere.gv.at,1,0
salzburg.gv.at,1,0
sicherheitsverwaltung.gv.at,1,0
signaturpruefung.gv.at,1,0
st-poelten.gv.at,1,0
steiermark.gv.at,1,0
stmk.gv.at,1,0
usp.gv.at,1,0
vfgh.gv.at,1,0
volksanwaltschaft.gv.at,1,0
vorarlberg.gv.at,1,0
vstv.gv.at,1,0
wiener-neustadt.gv.at,1,0
