field,text
country_name,"People's Republic of China"
government_type,"communist party-led state"
capital,"Beijing"
chief_of_state,"President XI Jinping (since 14 March 2013)"
head_of_government,"Premier LI Qiang (since 11 March 2023)"
judicial_highest_courts,"Supreme People's Court (consists of over 340 judges, including the chief justice and 13 grand justices organized into a civil committee and tribunals for civil, economic, administrative, complaint and appeal, and communication and transportation cases)"
constitution_history,"several previous; latest promulgated 4 December 1982"
