domain,label,level,name
gov.in,aarogyasri,central-1,Aarogyasri Health Care Trust (Andhra Pradesh/Telangana)
gov.in,accountsgoa,central-1,Directorate of Accounts (Goa)
gov.in,adibasikalyan,central-1,Tribal Development Department (West Bengal)
gov.in,anagrasarkalyan,central-1,Backward Classes Welfare Department (West Bengal)
gov.in,andaman,central-1,Andaman and Nicobar Islands
gov.in,ap,central-1,Andhra Pradesh
gov.in,apcommercialtaxes,central-1,Commercial Taxes Department (Andhra Pradesh)
gov.in,apct,central-1,Commercial Taxes Department (Andhra Pradesh)
gov.in,apdcl,central-1,Assam Power Distribution Company Limited
gov.in,apfinance,central-1,Finance Department (Andhra Pradesh)
gov.in,apgenco,central-1,Andhra Pradesh Power Generation Corporation
gov.in,apindustries,central-1,Industries Department (Andhra Pradesh)
gov.in,aponline,central-1,APOnline e-services portal (Andhra Pradesh)
gov.in,apspsc,central-1,Andhra Pradesh Public Service Commission
gov.in,apsrtc,central-1,Andhra Pradesh State Road Transport Corporation
gov.in,aptransco,central-1,Transmission Corporation of Andhra Pradesh
gov.in,arunachalpradesh,central-1,Arunachal Pradesh
gov.in,arunachaltenders,central-1,Arunachal Pradesh e-procurement
gov.in,assam,central-1,Assam
gov.in,assamtenders,central-1,Assam e-procurement
gov.in,banglarmukh,central-1,Banglar Mukh state portal (West Bengal)
gov.in,bihar,central-1,Bihar
gov.in,biharcommercialtax,central-1,Commercial Taxes Department (Bihar)
gov.in,biharpolice,central-1,Bihar Police
gov.in,biharregd,central-1,Registration Department (Bihar)
gov.in,cctnsup,central-1,Uttar Pradesh Police CCTNS
gov.in,cg,central-1,Chhattisgarh
gov.in,cgeprocurement,central-1,Chhattisgarh e-procurement
gov.in,cgg,central-1,Centre for Good Governance (Telangana)
gov.in,cgstate,central-1,Chhattisgarh
gov.in,chandigarh,central-1,Chandigarh
gov.in,chips,central-1,Chhattisgarh infotech Promotion Society
gov.in,cmkarnataka,central-1,Chief Minister of Karnataka
gov.in,cmofficehry,central-1,Chief Minister's Office (Haryana)
gov.in,cooptex,central-1,Tamil Nadu Handloom Weavers' Cooperative Society
gov.in,cseb,central-1,Chhattisgarh State Electricity Board
gov.in,ctdbihar,central-1,Commercial Taxes Department (Bihar)
gov.in,dd,central-1,Daman and Diu
gov.in,ddd,central-1,Dadra and Nagar Haveli and Daman and Diu
gov.in,dded,central-1,Daman and Diu Electricity Department
gov.in,delhi,central-1,Delhi (National Capital Territory)
gov.in,delhiexcise,central-1,Excise Department (Delhi)
gov.in,djb,central-1,Delhi Jal Board
gov.in,dnh,central-1,Dadra and Nagar Haveli
gov.in,dtemaharashtra,central-1,Directorate of Technical Education (Maharashtra)
gov.in,dvat,central-1,Department of Trade and Taxes (Delhi)
gov.in,dvet,central-1,Directorate of Vocational Education and Training (Maharashtra)
gov.in,dwsspunjab,central-1,Department of Water Supply and Sanitation (Punjab)
gov.in,eassemblygoa,central-1,Goa Legislative Assembly e-Assembly
gov.in,emitra,central-1,e-Mitra citizen services (Rajasthan)
gov.in,employmentbankwb,central-1,Employment Bank (West Bengal)
gov.in,eprocpbpwd,central-1,Public Works Department e-procurement (Punjab)
gov.in,eserviceshp,central-1,e-Services portal (Himachal Pradesh)
gov.in,esiwb,central-1,Directorate of ESI Scheme (West Bengal)
gov.in,finance-jharkhand,central-1,Finance Department (Jharkhand)
