domain,level,source
aeldremin.dk,central,manual
bm.dk,central,manual
denmark.dk,central,manual
em.dk,central,manual
fm.dk,central,manual
fmn.dk,central,manual
folkatingid.dk,central,manual
folketingi.dk,central,manual
ft.dk,central,manual
ism.dk,central,manual
justitsministeriet.dk,central,manual
kefm.dk,central,manual
km.dk,central,manual
kum.dk,central,manual
mgtp.dk,central,manual
mssb.dk,central,manual
regeringen.dk,central,manual
skm.dk,central,manual
stm.dk,central,manual
thedanishparliament.dk,central,manual
trm.dk,central,manual
