domain,http_status,mx
aguascalientes.gob.mx,403,
ase-sinaloa.gob.mx,301,
aseh.gob.mx,200,
asenl.gob.mx,HttpConnectTimeoutException: HTTP connect timed out,
aseoaxaca.gob.mx,HttpConnectTimeoutException: HTTP connect timed out,
aseqroo.gob.mx,ConnectException,
aseslp.gob.mx,200,
auditoriachihuahua.gob.mx,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,
bajacalifornia.gob.mx,HttpConnectTimeoutException: HTTP connect timed out,
bcs.gob.mx,301,
cadpemichoacan.gob.mx,ConnectException,
campeche.gob.mx,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,
catastrodecoahuila.gob.mx,HttpConnectTimeoutException: HTTP connect timed out,
cccedomex.gob.mx,HttpConnectTimeoutException: HTTP connect timed out,
cdmx.gob.mx,HttpConnectTimeoutException: HTTP connect timed out,
ceaqueretaro.gob.mx,ConnectException,
cescdmx.gob.mx,HttpConnectTimeoutException: HTTP connect timed out,
cesp-yucatan.gob.mx,HttpConnectTimeoutException: HTTP connect timed out,
cespcampeche.gob.mx,302,
cespe.gob.mx,ConnectException,
cespnay.gob.mx,HttpConnectTimeoutException: HTTP connect timed out,
cespt.gob.mx,HttpConnectTimeoutException: HTTP connect timed out,
chiapas.gob.mx,200,
chihuahua.gob.mx,HttpConnectTimeoutException: HTTP connect timed out,
coahuila.gob.mx,200,
coesvidgo.gob.mx,ConnectException,
col.gob.mx,301,
comprasbc.gob.mx,ConnectException,
compraver.gob.mx,HttpConnectTimeoutException: HTTP connect timed out,
congresobc.gob.mx,ConnectException,
congresochiapas.gob.mx,200,
congresogro.gob.mx,302,
congresogto.gob.mx,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,
congresooaxaca.gob.mx,200,
culturabcs.gob.mx,302,
culturaqueretaro.gob.mx,ConnectException,
declaranetcoahuila.gob.mx,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching declaranetcoahuila.gob.mx found.,
df.gob.mx,HttpConnectTimeoutException: HTTP connect timed out,
difbc.gob.mx,ConnectException,
difjalisco.gob.mx,200,
difsinaloa.gob.mx,HttpConnectTimeoutException: HTTP connect timed out,
