subdomain,http_status,mx
autodiscover.bmi.gv.at,Failed to connect to autodiscover.bmi.gv.at port 443 after 123 ms: Could not connect to server,none
autodiscover.bmvit.gv.at,Could not resolve host: autodiscover.bmvit.gv.at,none
autodiscover.bmwf.gv.at,Connection timed out after 3002 milliseconds,none
autodiscover.braunau.ooe.gv.at,Failed to connect to autodiscover.braunau.ooe.gv.at port 443 after 218 ms: Could not connect to server,none
autodiscover.brz.gv.at,Could not resolve host: autodiscover.brz.gv.at,none
autodiscover.dimbach.ooe.gv.at,302,none
autodiscover.ebensee.ooe.gv.at,302,none
autodiscover.erb.gv.at,Could not resolve host: autodiscover.erb.gv.at,none
autodiscover.extern.brz.gv.at,Connection timed out after 3002 milliseconds,none
autodiscover.formularservice.gv.at,Could not resolve host: autodiscover.formularservice.gv.at,none
autodiscover.freistadt.ooe.gv.at,Failed to connect to autodiscover.freistadt.ooe.gv.at port 443 after 176 ms: Could not connect to server,none
autodiscover.gallspach.ooe.gv.at,Failed to connect to autodiscover.gallspach.ooe.gv.at port 443 after 139 ms: Could not connect to server,none
autodiscover.garsten.ooe.gv.at,Failed to connect to autodiscover.garsten.ooe.gv.at port 443 after 142 ms: Could not connect to server,none
autodiscover.gesundheit.gv.at,Could not resolve host: autodiscover.gesundheit.gv.at,none
autodiscover.gnas.gv.at,Failed to connect to autodiscover.gnas.gv.at port 443 after 156 ms: Could not connect to server,none
autodiscover.gunskirchen.ooe.gv.at,Failed to connect to autodiscover.gunskirchen.ooe.gv.at port 443 after 142 ms: Could not connect to server,none
autodiscover.help.gv.at,Could not resolve host: autodiscover.help.gv.at,none
autodiscover.hinterstoder.ooe.gv.at,Failed to connect to autodiscover.hinterstoder.ooe.gv.at port 443 after 121 ms: Could not connect to server,none
autodiscover.hinzenbach.ooe.gv.at,Failed to connect to autodiscover.hinzenbach.ooe.gv.at port 443 after 1180 ms: Could not connect to server,none
autodiscover.hirschbach.ooe.gv.at,Failed to connect to autodiscover.hirschbach.ooe.gv.at port 443 after 97 ms: Could not connect to server,none
autodiscover.hofkirchen-traunkreis.ooe.gv.at,Failed to connect to autodiscover.hofkirchen-traunkreis.ooe.gv.at port 443 after 64 ms: Could not connect to server,none
autodiscover.jobboerse.gv.at,Could not resolve host: autodiscover.jobboerse.gv.at,none
autodiscover.kirchberg-wagram.gv.at,Failed to connect to autodiscover.kirchberg-wagram.gv.at port 443 after 1602 ms: Could not connect to server,none
autodiscover.kirchdorf-krems.ooe.gv.at,Failed to connect to autodiscover.kirchdorf-krems.ooe.gv.at port 443 after 106 ms: Could not connect to server,none
autodiscover.korneuburg.gv.at,Could not resolve host: autodiscover.korneuburg.gv.at,none
autodiscover.krems.gv.at,Could not resolve host: autodiscover.krems.gv.at,none
autodiscover.ktn.gv.at,Could not resolve host: autodiscover.ktn.gv.at,none
autodiscover.laakirchen.ooe.gv.at,Failed to connect to autodiscover.laakirchen.ooe.gv.at port 443 after 78 ms: Could not connect to server,none
autodiscover.lenzing.ooe.gv.at,Failed to connect to autodiscover.lenzing.ooe.gv.at port 443 after 88 ms: Could not connect to server,none
autodiscover.lsr-noe.gv.at,Could not resolve host: autodiscover.lsr-noe.gv.at,none
autodiscover.lsr-stmk.gv.at,Could not resolve host: autodiscover.lsr-stmk.gv.at,none
autodiscover.luftenberg.ooe.gv.at,Failed to connect to autodiscover.luftenberg.ooe.gv.at port 443 after 131 ms: Could not connect to server,none
autodiscover.marchtrenk.gv.at,Failed to connect to autodiscover.marchtrenk.gv.at port 443 after 1572 ms: Could not connect to server,none
autodiscover.micheldorf.ooe.gv.at,Connection timed out after 3002 milliseconds,none
autodiscover.muenzbach.ooe.gv.at,Failed to connect to autodiscover.muenzbach.ooe.gv.at port 443 after 55 ms: Could not connect to server,none
autodiscover.neukirchen-voeckla.ooe.gv.at,Failed to connect to autodiscover.neukirchen-voeckla.ooe.gv.at port 443 after 66 ms: Could not connect to server,none
autodiscover.neunkirchen.gv.at,Failed to connect to autodiscover.neunkirchen.gv.at port 443 after 123 ms: Could not connect to server,none
autodiscover.oberneukirchen.ooe.gv.at,Failed to connect to autodiscover.oberneukirchen.ooe.gv.at port 443 after 111 ms: Could not connect to server,none
autodiscover.oeffentlicherdienst.gv.at,Could not resolve host: autodiscover.oeffentlicherdienst.gv.at,none
autodiscover.ofb.bmvit.gv.at,Could not resolve host: autodiscover.ofb.bmvit.gv.at,none
autodiscover.oftering.ooe.gv.at,Failed to connect to autodiscover.oftering.ooe.gv.at port 443 after 152 ms: Could not connect to server,none
autodiscover.onlinesicherheit.gv.at,Could not resolve host: autodiscover.onlinesicherheit.gv.at,none
autodiscover.ooe.gv.at,Could not resolve host: autodiscover.ooe.gv.at,none
autodiscover.perg.ooe.gv.at,Failed to connect to autodiscover.perg.ooe.gv.at port 443 after 217 ms: Could not connect to server,none
autodiscover.piberbach.ooe.gv.at,Failed to connect to autodiscover.piberbach.ooe.gv.at port 443 after 65 ms: Could not connect to server,none
autodiscover.pinsdorf.ooe.gv.at,Failed to connect to autodiscover.pinsdorf.ooe.gv.at port 443 after 94 ms: Could not connect to server,none
autodiscover.polizei.gv.at,Could not resolve host: autodiscover.polizei.gv.at,none
autodiscover.pregarten.ooe.gv.at,Could not resolve host: autodiscover.pregarten.ooe.gv.at,none
autodiscover.regau.ooe.gv.at,Failed to connect to autodiscover.regau.ooe.gv.at port 443 after 108 ms: Could not connect to server,none
